id,count,mean,std,min,25%,50%,75%,max
0,40.0,11.125,21.115297043394136,0.0,0.0,7.0,14.0,130.0
1,49.0,11.795918367346939,22.75410182054796,0.0,0.0,7.0,14.0,151.0
2,50.0,11.0,21.53402623092778,0.0,0.0,7.0,14.0,144.0
3,49.0,10.795918367346939,19.574621741595177,0.0,0.0,7.0,14.0,130.0
4,45.0,13.0,21.541714289848304,0.0,0.0,7.0,14.0,130.0
5,52.0,10.846153846153847,23.589948520324363,0.0,0.0,7.0,7.0,137.0
6,34.0,11.852941176470589,27.965489937617406,0.0,0.0,0.0,7.0,144.0
7,49.0,13.653061224489797,27.797295297390722,0.0,0.0,7.0,14.0,151.0
8,53.0,13.283018867924529,25.250573000726572,0.0,0.0,7.0,14.0,158.0
9,58.0,10.327586206896552,21.059971119283844,0.0,0.0,7.0,14.0,144.0
10,23.0,8.391304347826088,28.3945243287805,0.0,0.0,0.0,7.0,137.0
11,37.0,8.621621621621621,23.50100630392872,0.0,0.0,0.0,7.0,130.0
12,35.0,11.714285714285714,24.927626333484877,0.0,0.0,7.0,14.0,144.0
13,59.0,8.491525423728813,17.89564855734867,0.0,0.0,7.0,7.0,130.0
14,44.0,11.863636363636363,23.38613275156873,0.0,0.0,7.0,14.0,151.0
15,34.0,17.205882352941178,38.98622865776372,0.0,0.0,0.0,14.0,182.0
16,49.0,12.795918367346939,22.192321862749377,0.0,0.0,7.0,14.0,144.0
17,44.0,13.136363636363637,27.339885599776736,0.0,0.0,7.0,14.0,133.0
18,50.0,10.58,23.304628602183605,0.0,0.0,7.0,12.25,151.0
19,51.0,12.980392156862745,20.969015423789862,0.0,3.5,7.0,14.0,137.0
20,46.0,16.82608695652174,25.41941895290649,0.0,0.0,7.0,21.0,144.0
21,47.0,15.72340425531915,31.990964843801958,0.0,0.0,7.0,14.0,182.0
22,36.0,9.055555555555555,23.360460421642188,0.0,0.0,0.0,7.0,137.0
23,43.0,11.162790697674419,22.415906589229316,0.0,0.0,7.0,14.0,137.0
24,49.0,11.938775510204081,21.75565842417525,0.0,0.0,7.0,14.0,144.0
25,36.0,12.75,26.40170449043016,0.0,0.0,3.5,14.0,151.0
26,47.0,13.638297872340425,25.63491634802448,0.0,0.0,7.0,14.0,151.0
27,47.0,15.27659574468085,21.178026068524705,0.0,7.0,7.0,14.0,130.0
28,54.0,10.703703703703704,20.884795977095195,0.0,0.0,7.0,14.0,137.0
