id,count,mean,std,min,25%,50%,75%,max
0,41.0,13.24390243902439,23.117937286666468,0.0,0.0,7.0,21.0,137.0
1,49.0,10.36734693877551,18.832257208434307,0.0,0.0,7.0,14.0,130.0
2,50.0,10.86,24.816066224467225,0.0,0.0,7.0,7.0,144.0
3,50.0,10.44,20.12021016646837,0.0,0.0,7.0,14.0,137.0
4,46.0,10.73913043478261,22.54815566008665,0.0,0.0,7.0,12.25,144.0
5,50.0,10.58,21.566309704854795,0.0,0.0,7.0,14.0,151.0
6,34.0,12.058823529411764,25.326882563634967,0.0,0.0,0.0,12.25,130.0
7,47.0,17.51063829787234,33.426670125375566,0.0,0.0,7.0,17.5,175.0
8,54.0,12.0,21.809639551319744,0.0,0.0,7.0,14.0,144.0
9,58.0,7.672413793103448,20.64179708876728,0.0,0.0,0.0,7.0,151.0
10,24.0,6.875,26.464598995639438,0.0,0.0,0.0,0.0,130.0
11,37.0,7.675675675675675,23.494744157002494,0.0,0.0,0.0,7.0,137.0
12,37.0,12.216216216216216,26.726116165378112,0.0,0.0,7.0,14.0,158.0
13,58.0,8.39655172413793,20.201562954274685,0.0,0.0,0.0,7.0,144.0
14,44.0,13.613636363636363,25.32690077266491,0.0,0.0,7.0,21.0,151.0
15,35.0,13.714285714285714,35.82520590521791,0.0,0.0,7.0,7.0,175.0
16,48.0,11.604166666666666,21.151670708453864,0.0,0.0,7.0,14.0,137.0
17,45.0,12.688888888888888,26.367871481495172,0.0,0.0,7.0,7.0,144.0
18,50.0,13.52,29.048334105172266,0.0,0.0,7.0,14.0,151.0
19,51.0,13.803921568627452,26.261012629251855,0.0,0.0,7.0,14.0,137.0
20,46.0,15.0,23.696225672269225,0.0,0.0,7.0,14.0,130.0
21,46.0,17.58695652173913,49.97402707049445,0.0,0.0,7.0,14.0,322.0
22,37.0,8.243243243243244,23.90188905296609,0.0,0.0,0.0,7.0,137.0
23,45.0,10.977777777777778,23.936933130139447,0.0,0.0,7.0,7.0,144.0
24,48.0,12.916666666666666,24.759982584578943,0.0,0.0,7.0,14.0,158.0
25,36.0,10.416666666666666,24.7759964481754,0.0,0.0,3.5,8.75,144.0
26,47.0,12.446808510638299,23.141162751815493,0.0,0.0,7.0,14.0,151.0
27,48.0,14.958333333333334,23.983113148881586,0.0,0.0,7.0,14.0,130.0
28,53.0,12.622641509433961,20.880821542095973,0.0,0.0,7.0,14.0,137.0
29,54.0,11.61111111111111,26.360645815281956,0.0,0.0,0.0,7.0,144.0
30,41.0,12.390243902439025,24.06436997801988,0.0,0.0,7.0,14.0,144.0
31,24.0,8.916666666666666,27.8129101500453,0.0,0.0,0.0,7.0,137.0
