id,count,mean,std,min,25%,50%,75%,max
0,29.0,22.103448275862068,24.63352075582348,7.0,7.0,14.0,28.0,130.0
1,40.0,29.675,32.62246158707218,7.0,7.0,17.5,29.75,130.0
2,37.0,26.216216216216218,24.96568215141107,7.0,7.0,21.0,28.0,130.0
3,39.0,26.666666666666668,25.717425316549104,7.0,7.0,14.0,38.5,130.0
4,27.0,27.62962962962963,26.128599344467425,7.0,10.5,14.0,35.0,130.0
5,40.0,26.7,27.47791654103159,7.0,7.0,17.5,28.0,130.0
6,23.0,26.956521739130434,31.862600277483438,7.0,7.0,14.0,31.5,130.0
7,41.0,25.024390243902438,33.36801447859765,7.0,7.0,7.0,21.0,147.0
8,35.0,23.714285714285715,26.768694873117813,7.0,7.0,14.0,28.0,130.0
9,39.0,17.871794871794872,24.08010697560987,7.0,7.0,7.0,14.0,130.0
10,11.0,20.09090909090909,36.99311975342049,7.0,7.0,7.0,7.0,130.0
11,14.0,16.285714285714285,32.782332416735066,7.0,7.0,7.0,7.0,130.0
12,24.0,36.625,37.4093832683959,7.0,7.0,21.0,56.0,130.0
13,36.0,15.472222222222221,21.624702952359318,7.0,7.0,7.0,15.75,130.0
14,31.0,34.45161290322581,40.13048609197868,7.0,7.0,14.0,38.5,140.0
15,14.0,44.785714285714285,46.70888331163335,7.0,8.75,28.0,66.5,140.0
16,35.0,29.314285714285713,36.94492835413864,7.0,7.0,14.0,28.0,168.0
17,33.0,49.121212121212125,64.09502592623588,7.0,7.0,35.0,63.0,350.0
18,33.0,24.303030303030305,25.02933884524925,7.0,7.0,14.0,35.0,130.0
19,47.0,19.893617021276597,22.61899359864086,7.0,7.0,14.0,21.0,130.0
20,35.0,28.114285714285714,41.79907923878329,7.0,7.0,7.0,28.0,196.0
21,33.0,49.121212121212125,93.74258556539203,7.0,7.0,14.0,49.0,525.0
22,25.0,13.04,24.50591765268136,7.0,7.0,7.0,7.0,130.0
23,35.0,53.31428571428572,104.83930881243404,7.0,7.0,14.0,52.5,455.0
24,38.0,31.605263157894736,29.815232342858003,7.0,7.0,21.0,42.0,130.0
25,19.0,17.894736842105264,29.914498039954747,7.0,7.0,7.0,7.0,130.0
26,33.0,49.96969696969697,77.06226575328748,7.0,7.0,21.0,42.0,350.0
27,35.0,30.314285714285713,29.295423682539493,7.0,7.0,21.0,52.5,130.0
28,41.0,24.853658536585368,23.401453988598394,7.0,7.0,14.0,35.0,130.0
29,38.0,22.394736842105264,25.342560584043262,7.0,7.0,14.0,28.0,130.0
30,33.0,21.757575757575758,24.813089165587463,7.0,7.0,14.0,21.0,130.0
31,8.0,29.375,43.23337830889462,7.0,7.0,7.0,28.0,130.0
32,37.0,25.45945945945946,27.097144780497732,7.0,7.0,14.0,28.0,130.0
33,9.0,22.22222222222222,40.68100840004392,7.0,7.0,7.0,7.0,130.0
