id,count,mean,std,min,25%,50%,75%,max
0,42.0,10.119047619047619,17.497320186388375,0.0,0.0,7.0,14.0,110.0
1,56.0,9.089285714285714,17.73263738340771,0.0,0.0,3.5,14.0,117.0
2,55.0,9.0,18.76067597297504,0.0,0.0,0.0,7.0,124.0
3,55.0,8.236363636363636,16.271952279195972,0.0,0.0,7.0,7.0,110.0
4,49.0,11.244897959183673,18.002928711097837,0.0,0.0,7.0,14.0,110.0
5,55.0,9.50909090909091,17.919441880438054,0.0,0.0,7.0,7.0,117.0
6,37.0,7.135135135135135,21.663028107510428,0.0,0.0,0.0,7.0,131.0
7,59.0,12.305084745762711,20.787308990797754,0.0,0.0,7.0,21.0,124.0
8,59.0,10.169491525423728,19.264182005932295,0.0,0.0,7.0,14.0,124.0
9,59.0,8.508474576271187,21.39962365231103,0.0,0.0,0.0,7.0,131.0
10,25.0,6.08,23.370066324253337,0.0,0.0,0.0,0.0,117.0
11,36.0,8.11111111111111,19.53572226574806,0.0,0.0,0.0,7.0,110.0
12,45.0,8.511111111111111,19.061649053701117,0.0,0.0,7.0,7.0,124.0
13,62.0,6.629032258064516,15.926299386953543,0.0,0.0,0.0,7.0,117.0
14,56.0,9.839285714285714,20.872580348141206,0.0,0.0,3.5,14.0,138.0
15,37.0,8.45945945945946,19.378674697538866,0.0,0.0,0.0,7.0,110.0
16,54.0,10.333333333333334,17.88854381999832,0.0,0.0,7.0,14.0,124.0
17,56.0,8.964285714285714,16.41724623759947,0.0,0.0,7.0,8.75,117.0
18,56.0,8.089285714285714,15.485214984522596,0.0,0.0,7.0,8.75,110.0
19,56.0,8.464285714285714,17.9422956732402,0.0,0.0,7.0,8.75,131.0
20,56.0,11.089285714285714,19.849686771711664,0.0,0.0,7.0,8.75,124.0
21,55.0,10.272727272727273,19.188590886305857,0.0,0.0,7.0,14.0,131.0
22,37.0,6.756756756756757,21.427403800592213,0.0,0.0,0.0,0.0,124.0
23,55.0,8.618181818181819,19.00047846287513,0.0,0.0,7.0,7.0,131.0
24,55.0,9.50909090909091,16.290047776653587,0.0,0.0,7.0,7.0,110.0
25,36.0,10.444444444444445,20.90720237408896,0.0,0.0,7.0,8.75,117.0
26,54.0,9.814814814814815,18.720460075456412,0.0,0.0,7.0,14.0,131.0
27,55.0,8.872727272727273,16.444130491133535,0.0,0.0,7.0,10.5,117.0
28,60.0,8.133333333333333,17.45353799951646,0.0,0.0,0.0,8.75,124.0
29,58.0,7.568965517241379,15.846978868602934,0.0,0.0,0.0,7.0,110.0
30,44.0,9.340909090909092,18.869124752403753,0.0,0.0,7.0,14.0,124.0
31,24.0,6.625,22.44377031799596,0.0,0.0,0.0,1.75,110.0
32,55.0,6.454545454545454,18.210516072393325,0.0,0.0,0.0,7.0,131.0
33,24.0,6.625,23.79954785832852,0.0,0.0,0.0,1.75,117.0
34,54.0,10.203703703703704,21.30406961709839,0.0,0.0,3.5,7.0,138.0
35,21.0,8.904761904761905,25.402568299100707,0.0,0.0,0.0,7.0,117.0
36,42.0,10.285714285714286,23.620253519101365,0.0,0.0,7.0,12.25,152.0
37,55.0,9.636363636363637,21.903292189856042,0.0,0.0,7.0,10.5,159.0
38,53.0,11.452830188679245,29.535875211821672,0.0,0.0,0.0,14.0,187.0
39,54.0,9.037037037037036,19.30779778240257,0.0,0.0,7.0,7.0,131.0
40,48.0,11.1875,22.672183960349187,0.0,0.0,7.0,8.75,138.0
41,55.0,8.363636363636363,21.9800950663226,0.0,0.0,0.0,10.5,159.0
42,36.0,7.916666666666667,24.960969532452058,0.0,0.0,0.0,7.0,145.0
43,57.0,11.508771929824562,22.787153968078428,0.0,0.0,7.0,14.0,152.0
44,57.0,10.771929824561404,22.73136406555273,0.0,0.0,7.0,14.0,152.0
45,59.0,10.76271186440678,26.38268697137082,0.0,0.0,0.0,7.0,166.0
46,24.0,9.541666666666666,29.01121097642842,0.0,0.0,0.0,1.75,138.0
47,35.0,7.742857142857143,24.843442568522224,0.0,0.0,0.0,7.0,145.0
48,40.0,16.05,25.569362676693913,0.0,0.0,7.0,21.0,138.0
49,60.0,7.2,18.4921421699569,0.0,0.0,0.0,7.0,131.0
50,54.0,11.75925925925926,24.7309562222605,0.0,0.0,7.0,12.25,159.0
51,36.0,8.694444444444445,26.232825069197386,0.0,0.0,0.0,1.75,145.0
52,53.0,12.50943396226415,23.96040214243672,0.0,0.0,7.0,14.0,152.0
53,56.0,8.839285714285714,20.239274857396612,0.0,0.0,7.0,8.75,145.0
54,55.0,9.50909090909091,22.098158736162148,0.0,0.0,7.0,7.0,138.0
55,55.0,9.636363636363637,21.454830791916407,0.0,0.0,7.0,14.0,152.0
56,56.0,11.089285714285714,23.566753767052496,0.0,0.0,7.0,8.75,159.0
57,55.0,9.127272727272727,22.206150754084586,0.0,0.0,7.0,7.0,159.0
58,36.0,8.88888888888889,26.420530737372488,0.0,0.0,0.0,7.0,138.0
59,52.0,14.365384615384615,27.621410313239032,0.0,0.0,7.0,14.0,145.0
60,54.0,10.074074074074074,21.57903581864431,0.0,0.0,7.0,14.0,152.0
61,36.0,10.25,25.152534663528446,0.0,0.0,0.0,8.75,145.0
62,54.0,9.166666666666666,20.225847464578024,0.0,0.0,7.0,14.0,145.0
63,53.0,11.584905660377359,22.469153181694843,0.0,0.0,7.0,14.0,159.0
64,59.0,9.220338983050848,21.06317901523739,0.0,0.0,7.0,7.0,152.0
65,56.0,8.214285714285714,20.1455741006345,0.0,0.0,0.0,7.0,138.0
66,43.0,10.534883720930232,23.15820212325204,0.0,0.0,7.0,7.0,145.0
67,24.0,10.125,29.244564712393846,0.0,0.0,0.0,7.0,138.0
68,54.0,10.722222222222221,23.943657659980957,0.0,0.0,7.0,14.0,173.0
69,22.0,8.818181818181818,32.13607432041557,0.0,0.0,0.0,7.0,152.0
70,54.0,11.88888888888889,22.213939756307422,0.0,0.0,7.0,21.0,152.0
71,21.0,9.904761904761905,31.384557925681797,0.0,0.0,0.0,7.0,145.0
72,42.0,8.952380952380953,25.908801010516775,0.0,0.0,0.0,7.0,166.0
73,55.0,10.781818181818181,26.487377083832683,0.0,0.0,7.0,10.5,187.0
74,49.0,22.53061224489796,48.15517540584134,0.0,0.0,7.0,21.0,278.0
75,53.0,10.924528301886792,24.67780773255113,0.0,0.0,7.0,14.0,166.0
76,47.0,12.46808510638298,34.64343282005721,0.0,0.0,0.0,14.0,222.0
77,55.0,8.236363636363636,26.345962960380938,0.0,0.0,0.0,7.0,194.0
78,36.0,8.5,28.231188426986208,0.0,0.0,0.0,1.75,166.0
79,55.0,14.981818181818182,26.464855038117104,0.0,0.0,7.0,21.0,173.0
80,54.0,14.61111111111111,25.995947918398755,0.0,0.0,7.0,21.0,180.0
81,54.0,12.666666666666666,28.971033028129686,0.0,0.0,7.0,7.0,187.0
82,23.0,9.347826086956522,33.0668863416563,0.0,0.0,0.0,3.5,159.0
83,35.0,11.742857142857142,31.495417833993177,0.0,0.0,0.0,10.5,173.0
84,40.0,17.275,28.822166949976324,0.0,0.0,14.0,21.0,173.0
85,58.0,9.017241379310345,24.18749233051991,0.0,0.0,0.0,12.25,173.0
86,52.0,15.307692307692308,30.778486541508535,0.0,0.0,7.0,21.0,187.0
87,36.0,11.805555555555555,42.81776630221515,0.0,0.0,0.0,7.0,257.0
88,53.0,13.30188679245283,29.571025908727442,0.0,0.0,0.0,14.0,166.0
89,55.0,8.872727272727273,26.565122320548873,0.0,0.0,0.0,7.0,194.0
90,54.0,10.462962962962964,25.488963918159637,0.0,0.0,0.0,12.25,166.0
91,54.0,10.592592592592593,23.944525918328996,0.0,0.0,7.0,14.0,173.0
92,56.0,12.214285714285714,32.23251564701498,0.0,0.0,7.0,14.0,236.0
93,55.0,10.145454545454545,26.545152435899062,0.0,0.0,7.0,7.0,194.0
94,33.0,13.727272727272727,33.509581397781524,0.0,0.0,0.0,7.0,180.0
95,51.0,16.294117647058822,34.97044129984468,0.0,0.0,7.0,7.0,180.0
96,53.0,9.867924528301886,24.28836199297694,0.0,0.0,0.0,14.0,166.0
97,36.0,17.63888888888889,42.15085342486489,0.0,0.0,0.0,7.0,187.0
98,54.0,9.685185185185185,24.680466704613025,0.0,0.0,7.0,14.0,180.0
99,50.0,14.1,28.719082754950833,0.0,0.0,7.0,14.0,187.0
100,57.0,9.666666666666666,22.57948921772442,0.0,0.0,7.0,14.0,166.0
101,55.0,11.036363636363637,24.914642159569414,0.0,0.0,7.0,14.0,173.0
102,42.0,11.285714285714286,28.340512856854712,0.0,0.0,7.0,12.25,180.0
103,24.0,13.333333333333334,34.70329725803746,0.0,0.0,0.0,14.0,166.0
104,54.0,9.166666666666666,25.67558858247662,0.0,0.0,7.0,7.0,187.0
105,22.0,11.045454545454545,33.9221479451423,0.0,0.0,0.0,7.0,159.0
106,54.0,11.11111111111111,25.56948849974056,0.0,0.0,7.0,14.0,180.0
107,21.0,10.238095238095237,34.613443576022256,0.0,0.0,0.0,0.0,159.0
108,42.0,14.785714285714286,33.88181447201988,0.0,0.0,0.0,14.0,208.0
109,54.0,11.62962962962963,31.2272838470465,0.0,0.0,7.0,12.25,222.0
