id,count,mean,std,min,25%,50%,75%,max
0,61.0,33.278688524590166,35.06191245380139,7.0,7.0,21.0,42.0,175.0
1,78.0,37.96153846153846,38.860203095395484,7.0,7.0,24.5,56.0,224.0
2,66.0,39.45454545454545,41.23261659570821,7.0,7.0,21.0,56.0,161.0
3,59.0,44.847457627118644,39.40803942105094,7.0,14.0,35.0,56.0,168.0
4,56.0,33.875,36.72109252682491,7.0,7.0,21.0,49.0,147.0
5,80.0,35.175,36.278729340091914,7.0,7.0,21.0,49.0,168.0
6,28.0,35.5,30.89228598426043,7.0,7.0,28.0,49.0,140.0
7,80.0,35.35,52.45301695176143,7.0,7.0,17.5,42.0,406.0
8,68.0,38.60294117647059,45.21165472047724,7.0,7.0,14.0,57.75,189.0
9,62.0,25.177419354838708,30.53754700098965,7.0,7.0,14.0,28.0,154.0
10,16.0,17.5,33.81321240777535,7.0,7.0,7.0,7.0,140.0
11,34.0,13.382352941176471,22.95055912157414,7.0,7.0,7.0,12.25,140.0
12,53.0,28.79245283018868,38.060861428954524,7.0,7.0,7.0,28.0,168.0
13,69.0,16.130434782608695,18.37590577477688,7.0,7.0,7.0,21.0,140.0
14,67.0,30.507462686567163,38.52798004690616,7.0,7.0,14.0,35.0,217.0
15,30.0,36.86666666666667,31.030278131520834,7.0,7.0,35.0,61.25,140.0
16,71.0,39.140845070422536,38.09472995972311,7.0,10.5,28.0,52.5,154.0
17,63.0,56.22222222222222,86.17320226456985,7.0,7.0,28.0,66.5,525.0
18,78.0,26.384615384615383,27.63219972312124,7.0,7.0,14.0,42.0,140.0
19,75.0,33.32,39.07344435872085,7.0,7.0,14.0,45.5,217.0
20,71.0,26.52112676056338,36.39068136406414,7.0,7.0,7.0,28.0,175.0
21,68.0,55.38235294117647,74.25591677752412,7.0,14.0,28.0,70.0,483.0
22,48.0,18.229166666666668,27.081625696302098,7.0,7.0,7.0,15.75,140.0
23,66.0,50.59090909090909,70.8647633546792,7.0,14.0,24.5,56.0,490.0
24,76.0,31.960526315789473,37.02879628594433,7.0,7.0,14.0,35.0,182.0
25,37.0,16.27027027027027,23.278087751560893,7.0,7.0,7.0,14.0,140.0
26,67.0,51.92537313432836,92.97854321274734,7.0,7.0,21.0,49.0,651.0
27,65.0,40.38461538461539,47.55315851355601,7.0,7.0,14.0,56.0,203.0
28,78.0,34.55128205128205,48.21236771755149,7.0,7.0,7.0,47.25,252.0
29,69.0,28.608695652173914,30.458852374630595,7.0,7.0,14.0,35.0,140.0
30,55.0,35.0,37.406178931056594,7.0,7.0,14.0,49.0,154.0
31,28.0,23.25,30.18661096382768,7.0,7.0,7.0,21.0,140.0
32,63.0,41.666666666666664,42.883187170912144,7.0,7.0,28.0,63.0,231.0
33,19.0,21.0,30.77878056930348,7.0,7.0,14.0,17.5,140.0
34,68.0,33.25,39.14053325241727,7.0,7.0,14.0,36.75,147.0
35,18.0,24.11111111111111,34.05858082927965,7.0,7.0,7.0,21.0,140.0
36,58.0,32.46551724137931,34.33540217778472,7.0,7.0,17.5,42.0,154.0
37,74.0,39.63513513513514,42.35452922500614,7.0,7.0,21.0,49.0,231.0
38,72.0,39.47222222222222,39.129964823710885,7.0,14.0,28.0,42.0,175.0
39,68.0,40.970588235294116,38.89479518118238,7.0,7.0,24.5,57.75,168.0
40,51.0,41.450980392156865,46.53485305681762,7.0,7.0,21.0,56.0,168.0
41,69.0,43.21739130434783,42.73064390327797,7.0,14.0,28.0,56.0,161.0
42,34.0,31.705882352941178,35.24247558786837,7.0,7.0,17.5,42.0,147.0
