id,count,mean,std,min,25%,50%,75%,max
0,23.0,11.695652173913043,15.32210163192283,7.0,7.0,7.0,7.0,80.0
1,25.0,11.6,14.70827431527347,7.0,7.0,7.0,7.0,80.0
2,29.0,11.206896551724139,13.701875029000405,7.0,7.0,7.0,7.0,80.0
3,22.0,12.545454545454545,16.01703638459545,7.0,7.0,7.0,7.0,80.0
4,26.0,10.346153846153847,14.333017289300415,7.0,7.0,7.0,7.0,80.0
5,22.0,10.636363636363637,15.564139045974377,7.0,7.0,7.0,7.0,80.0
6,12.0,14.25,21.093406983743005,7.0,7.0,7.0,7.0,80.0
7,35.0,9.485714285714286,12.37970689706113,7.0,7.0,7.0,7.0,80.0
8,27.0,9.962962962962964,14.06162667436967,7.0,7.0,7.0,7.0,80.0
9,19.0,12.31578947368421,17.130390900316925,7.0,7.0,7.0,7.0,80.0
10,9.0,15.11111111111111,24.333333333333332,7.0,7.0,7.0,7.0,80.0
11,10.0,15.0,22.94437718580403,7.0,7.0,7.0,7.0,80.0
12,16.0,14.1875,18.24360618591255,7.0,7.0,7.0,14.0,80.0
13,28.0,10.357142857142858,13.955522697362998,7.0,7.0,7.0,7.0,80.0
14,23.0,10.782608695652174,15.222461041438168,7.0,7.0,7.0,7.0,80.0
15,12.0,13.666666666666666,20.986287009002865,7.0,7.0,7.0,7.0,80.0
16,27.0,12.037037037037036,14.383434599677189,7.0,7.0,7.0,14.0,80.0
17,27.0,13.851851851851851,15.585258576625701,7.0,7.0,7.0,14.0,80.0
18,22.0,13.181818181818182,16.494259791230583,7.0,7.0,7.0,7.0,80.0
19,28.0,11.857142857142858,14.274334091529937,7.0,7.0,7.0,8.75,80.0
20,30.0,10.6,13.621990335103577,7.0,7.0,7.0,7.0,80.0
21,36.0,13.88888888888889,17.42539653621818,7.0,7.0,7.0,14.0,80.0
22,20.0,11.7,16.27752729184756,7.0,7.0,7.0,7.0,80.0
23,29.0,11.689655172413794,14.046106344758886,7.0,7.0,7.0,7.0,80.0
24,39.0,12.102564102564102,13.43756492624681,7.0,7.0,7.0,7.0,80.0
25,22.0,10.954545454545455,15.557810081931667,7.0,7.0,7.0,7.0,80.0
26,24.0,14.416666666666666,18.160915191138084,7.0,7.0,7.0,14.0,80.0
27,30.0,13.866666666666667,14.642247173806709,7.0,7.0,7.0,14.0,80.0
28,35.0,10.085714285714285,12.415292819676838,7.0,7.0,7.0,7.0,80.0
29,29.0,12.413793103448276,14.087779003142382,7.0,7.0,7.0,14.0,80.0
30,16.0,12.0,18.217207982198225,7.0,7.0,7.0,7.0,80.0
31,11.0,14.909090909090908,21.769035557206227,7.0,7.0,7.0,10.5,80.0
32,32.0,11.6875,14.950320958902305,7.0,7.0,7.0,7.0,80.0
33,5.0,24.4,35.12548932043509,7.0,7.0,7.0,14.0,87.0
34,33.0,10.272727272727273,13.967087937524608,7.0,7.0,7.0,7.0,87.0
35,11.0,16.181818181818183,23.911579545559853,7.0,7.0,7.0,10.5,87.0
36,26.0,13.038461538461538,15.978687728923848,7.0,7.0,7.0,14.0,87.0
37,30.0,11.533333333333333,15.967063801362528,7.0,7.0,7.0,7.0,94.0
38,38.0,11.868421052631579,15.902015939907063,7.0,7.0,7.0,7.0,101.0
39,33.0,12.181818181818182,14.405846351079449,7.0,7.0,7.0,14.0,87.0
40,23.0,15.347826086956522,22.260051244840497,7.0,7.0,7.0,14.0,108.0
41,24.0,11.791666666666666,20.58699286837004,7.0,7.0,7.0,7.0,108.0
42,18.0,13.0,20.390309116890624,7.0,7.0,7.0,7.0,94.0
43,37.0,11.81081081081081,14.664465436781068,7.0,7.0,7.0,14.0,94.0
44,32.0,11.03125,15.492941941413193,7.0,7.0,7.0,7.0,94.0
45,32.0,11.6875,16.67804718977963,7.0,7.0,7.0,8.75,101.0
46,7.0,23.428571428571427,31.55343162984095,7.0,7.0,14.0,17.5,94.0
47,18.0,13.0,23.766016271385592,7.0,7.0,7.0,7.0,108.0
48,17.0,16.235294117647058,24.483487833039394,7.0,7.0,7.0,7.0,101.0
49,28.0,13.357142857142858,20.92351908245003,7.0,7.0,7.0,7.0,101.0
50,26.0,13.846153846153847,20.927861443907368,7.0,7.0,7.0,7.0,101.0
51,16.0,14.1875,23.318715659315373,7.0,7.0,7.0,8.75,101.0
52,19.0,13.421052631578947,23.40302874386059,7.0,7.0,7.0,7.0,108.0
53,28.0,11.857142857142858,19.321287982745073,7.0,7.0,7.0,7.0,108.0
54,35.0,11.685714285714285,17.2929285591325,7.0,7.0,7.0,7.0,108.0
55,39.0,13.35897435897436,17.55515695636137,7.0,7.0,7.0,14.0,108.0
56,39.0,11.205128205128204,16.262937339367188,7.0,7.0,7.0,7.0,108.0
57,31.0,13.419354838709678,19.470959903658894,7.0,7.0,7.0,10.5,108.0
58,17.0,18.294117647058822,28.59144257002948,7.0,7.0,7.0,14.0,108.0
59,22.0,12.545454545454545,23.076946386934615,7.0,7.0,7.0,7.0,115.0
60,44.0,12.0,16.14469457099445,7.0,7.0,7.0,7.0,108.0
61,16.0,15.5,25.66190432008765,7.0,7.0,7.0,7.0,108.0
62,35.0,16.085714285714285,21.549357065025543,7.0,7.0,7.0,14.0,108.0
63,31.0,14.32258064516129,20.252386026958554,7.0,7.0,7.0,14.0,115.0
64,39.0,10.846153846153847,17.38047673856845,7.0,7.0,7.0,7.0,115.0
65,26.0,14.115384615384615,21.33227962141303,7.0,7.0,7.0,14.0,115.0
66,24.0,12.375,21.985790865920652,7.0,7.0,7.0,7.0,115.0
67,9.0,21.333333333333332,35.46124645299429,7.0,7.0,7.0,14.0,115.0
68,30.0,13.166666666666666,21.144956736827314,7.0,7.0,7.0,12.25,122.0
69,7.0,25.428571428571427,42.71165782647302,7.0,7.0,7.0,14.0,122.0
70,36.0,11.75,18.117670931993437,7.0,7.0,7.0,7.0,115.0
71,13.0,17.46153846153846,31.555811362873097,7.0,7.0,7.0,14.0,122.0
72,35.0,13.485714285714286,19.647438732300348,7.0,7.0,7.0,14.0,122.0
73,34.0,13.470588235294118,21.616821864517494,7.0,7.0,7.0,12.25,129.0
74,30.0,15.033333333333333,21.997622651069605,7.0,7.0,7.0,14.0,122.0
75,22.0,15.727272727272727,25.90308276961831,7.0,7.0,7.0,14.0,129.0
76,23.0,15.043478260869565,25.25592326720707,7.0,7.0,7.0,14.0,129.0
77,30.0,13.633333333333333,24.715600731931037,7.0,7.0,7.0,14.0,143.0
78,17.0,15.0,29.57194616524249,7.0,7.0,7.0,7.0,129.0
79,37.0,12.756756756756756,20.664523283214702,7.0,7.0,7.0,7.0,129.0
