crossroad,amount
B,3.0
B,4.2
B,4.2
B,4.8
B,7.199999999999999
A,7.699999999999999
A,7.699999999999999
A,9.1
A,8.399999999999999
A,9.1
A,9.1
D,1.8
D,2.2
D,2.4000000000000004
G,7.8
G,9.6
G,13.2
H,14.0
H,16.799999999999997
H,21.0
H,28.0
H,30.099999999999998
I,16.8
I,19.2
I,18.0
C,10.4
C,12.8
C,17.6
B,13.2
B,15.0
B,19.2
B,21.599999999999998
A,27.299999999999997
D,7.6000000000000005
D,8.6
D,10.0
D,10.600000000000001
G,33.6
G,34.8
H,16.099999999999998
H,14.0
H,13.299999999999999
H,13.299999999999999
I,6.6
I,10.2
I,20.4
C,10.4
C,12.8
C,13.600000000000001
C,16.0
C,18.400000000000002
B,14.399999999999999
A,17.5
A,18.9
A,21.0
D,6.0
D,7.2
D,8.0
G,25.2
H,21.7
I,10.5
I,10.799999999999999
I,13.2
I,14.399999999999999
C,7.2
C,8.0
C,8.8
C,10.4
C,11.200000000000001
C,13.600000000000001
C,14.4
C,16.8
C,18.400000000000002
C,20.0
C,22.400000000000002
B,16.2
B,17.4
B,18.599999999999998
A,23.799999999999997
D,7.2
D,8.200000000000001
D,8.6
D,8.8
D,8.8
D,9.600000000000001
D,10.4
G,31.2
H,9.799999999999999
I,5.1
I,9.299999999999999
I,10.799999999999999
I,13.5
I,16.2
I,17.4
I,20.4
I,25.2
C,12.8
C,14.4
C,15.200000000000001
C,18.400000000000002
C,19.200000000000003
B,14.399999999999999
B,17.4
B,20.4
A,25.2
A,27.299999999999997
D,8.0
D,8.4
D,8.6
D,9.600000000000001
D,9.600000000000001
D,9.600000000000001
G,27.599999999999998
H,18.2
H,22.4
I,3.9
I,5.1
I,6.0
I,7.5
C,22.400000000000002
C,24.8
C,26.400000000000002
C,28.0
B,22.2
B,25.8
A,33.599999999999994
D,11.200000000000001
D,13.200000000000001
D,15.0
G,60.599999999999994
H,2.0999999999999996
H,2.0999999999999996
I,0.8999999999999999
