id,crossroad,crossroad_waiting_time,traffic_waiting_time
0,B,18.0,
0,B,3.0,
0,B,2.0,
0,B,3.0,
0,B,2.0,
0,B,3.0,
0,B,3.0,
0,B,3.0,
0,B,2.0,
0,B,2.0,
0,B,3.0,
0,B,2.0,
0,B,2.0,
0,B,,16.0
0,B,,16.0
0,B,,16.0
0,B,,16.0
0,B,,16.0
0,B,,16.0
0,B,,16.0
0,B,,16.0
0,B,,32.0
0,B,,16.0
0,B,,16.0
0,B,,16.0
0,H,4.0,
0,H,5.0,
0,H,4.0,
0,H,4.0,
0,H,4.0,
0,H,4.0,
0,H,4.0,
0,H,4.0,
0,H,4.0,
0,H,4.0,
0,H,4.0,
0,H,4.0,
0,H,4.0,
0,H,,16.0
0,H,,16.0
0,H,,16.0
0,H,,16.0
0,H,,16.0
0,H,,16.0
0,H,,32.0
0,H,,16.0
0,H,,16.0
0,H,,16.0
0,H,,16.0
0,H,,16.0
0,H,,16.0
0,C,6.0,
0,C,6.0,
0,C,6.0,
0,C,7.0,
0,C,7.0,
0,C,6.0,
0,C,7.0,
0,C,7.0,
0,C,7.0,
0,C,22.0,
0,C,6.0,
0,C,6.0,
0,C,6.0,
0,C,,16.0
0,C,,48.0
0,C,,16.0
0,C,,32.0
0,C,,16.0
0,C,,16.0
0,C,,16.0
0,C,,32.0
0,C,,16.0
0,C,,16.0
0,C,,16.0
0,C,,16.0
0,C,,32.0
0,G,8.0,
0,G,25.0,
0,G,9.0,
0,G,8.0,
0,G,8.0,
0,G,8.0,
0,G,41.0,
0,G,9.0,
0,G,9.0,
0,G,9.0,
0,G,8.0,
0,G,8.0,
0,G,8.0,
0,G,,16.0
0,G,,16.0
0,G,,16.0
0,G,,16.0
0,G,,16.0
0,G,,48.0
0,G,,16.0
0,G,,16.0
0,G,,32.0
0,G,,32.0
0,G,,80.0
0,G,,16.0
0,G,,64.0
0,A,106.0,
0,A,11.0,
0,A,11.0,
0,A,10.0,
0,A,27.0,
0,A,10.0,
0,A,10.0,
0,A,10.0,
0,A,10.0,
0,A,11.0,
0,A,26.0,
0,A,11.0,
0,A,27.0,
0,A,10.0,
0,A,,80.0
0,A,,32.0
0,A,,16.0
0,A,,32.0
0,A,,32.0
0,A,,64.0
0,A,,64.0
0,A,,32.0
0,A,,16.0
0,A,,32.0
0,A,,16.0
0,A,,16.0
0,A,,16.0
0,I,13.0,
0,I,12.0,
0,I,13.0,
0,I,13.0,
0,I,13.0,
0,I,13.0,
0,I,12.0,
0,I,13.0,
0,I,12.0,
0,I,13.0,
0,I,12.0,
0,I,13.0,
0,I,12.0,
0,I,,48.0
0,I,,144.0
0,I,,176.0
0,I,,128.0
0,I,,144.0
0,I,,128.0
0,I,,128.0
0,I,,144.0
0,I,,192.0
0,I,,160.0
0,I,,128.0
0,I,,144.0
0,I,,160.0
1,F,,80.0
1,F,,96.0
1,F,,16.0
1,F,,16.0
1,F,,16.0
1,F,,16.0
1,F,,16.0
1,D,0.0,
1,D,1.0,
1,D,0.0,
1,D,0.0,
1,D,0.0,
1,D,0.0,
1,D,0.0,
1,D,0.0,
1,D,,64.0
1,D,,16.0
1,D,,16.0
1,D,,32.0
1,D,,16.0
1,D,,16.0
1,D,,16.0
1,D,,16.0
1,H,5.0,
1,H,5.0,
1,H,5.0,
1,H,4.0,
1,H,4.0,
1,H,4.0,
1,H,4.0,
1,H,4.0,
1,H,,48.0
1,H,,16.0
1,H,,16.0
1,H,,16.0
1,H,,16.0
1,H,,16.0
1,H,,16.0
1,H,,32.0
1,C,6.0,
1,C,6.0,
1,C,6.0,
1,C,7.0,
1,C,6.0,
1,C,7.0,
1,C,7.0,
1,C,,32.0
1,C,,64.0
1,C,,16.0
1,C,,16.0
1,C,,32.0
1,C,,16.0
1,C,,32.0
1,G,8.0,
1,G,24.0,
1,G,9.0,
1,G,8.0,
1,G,8.0,
1,G,8.0,
1,G,8.0,
1,G,9.0,
1,G,,64.0
1,G,,16.0
1,G,,64.0
1,G,,32.0
1,G,,48.0
1,G,,16.0
1,G,,32.0
1,G,,16.0
1,A,90.0,
1,A,10.0,
1,A,11.0,
1,A,11.0,
1,A,11.0,
1,A,11.0,
1,A,11.0,
1,A,11.0,
1,A,,80.0
1,A,,16.0
1,A,,16.0
1,A,,16.0
1,A,,16.0
1,A,,16.0
1,A,,16.0
1,A,,16.0
1,I,12.0,
1,I,12.0,
1,I,13.0,
1,I,13.0,
1,I,13.0,
1,I,13.0,
1,I,13.0,
1,I,,176.0
1,I,,448.0
1,I,,416.0
1,I,,528.0
1,I,,512.0
1,I,,528.0
1,I,,528.0
2,D,0.0,
2,D,0.0,
2,D,0.0,
2,D,1.0,
2,D,1.0,
2,D,0.0,
2,D,16.0,
2,D,,32.0
2,D,,16.0
2,D,,16.0
2,D,,16.0
2,D,,16.0
2,D,,32.0
2,D,,16.0
2,B,18.0,
2,B,3.0,
2,B,2.0,
2,B,2.0,
2,B,2.0,
2,B,2.0,
2,B,2.0,
2,B,2.0,
2,B,,32.0
2,B,,16.0
2,B,,16.0
2,B,,16.0
2,B,,16.0
2,B,,16.0
2,B,,32.0
2,B,,16.0
2,H,20.0,
2,H,20.0,
2,H,5.0,
2,H,4.0,
2,H,5.0,
2,H,4.0,
2,H,4.0,
2,H,,16.0
2,H,,16.0
2,H,,16.0
2,H,,16.0
2,H,,16.0
2,H,,16.0
2,H,,16.0
2,C,87.0,
2,C,7.0,
2,C,7.0,
2,C,6.0,
2,C,6.0,
2,C,38.0,
2,C,7.0,
2,C,6.0,
2,C,,80.0
2,C,,16.0
2,C,,16.0
2,C,,16.0
2,C,,16.0
2,C,,16.0
2,C,,16.0
2,C,,16.0
2,G,8.0,
2,G,8.0,
2,G,8.0,
2,G,8.0,
2,G,8.0,
2,G,8.0,
2,G,8.0,
2,G,,112.0
2,G,,32.0
2,G,,128.0
2,G,,32.0
2,G,,64.0
2,G,,48.0
2,G,,32.0
2,A,26.0,
2,A,10.0,
2,A,11.0,
2,A,10.0,
2,A,10.0,
2,A,10.0,
2,A,10.0,
2,A,10.0,
2,A,,48.0
2,A,,16.0
2,A,,112.0
2,A,,48.0
2,A,,32.0
2,A,,64.0
2,A,,96.0
2,A,,64.0
2,I,12.0,
2,I,12.0,
2,I,12.0,
2,I,12.0,
2,I,12.0,
2,I,28.0,
2,I,12.0,
2,I,,256.0
2,I,,448.0
2,I,,416.0
2,I,,528.0
2,I,,528.0
2,I,,544.0
2,I,,480.0
3,F,,144.0
3,F,,16.0
3,F,,16.0
3,F,,32.0
3,F,,16.0
3,F,,32.0
3,D,0.0,
3,D,0.0,
3,D,0.0,
3,D,1.0,
3,D,0.0,
3,D,1.0,
3,D,1.0,
3,D,0.0,
3,D,,32.0
3,D,,16.0
3,D,,16.0
3,D,,16.0
3,D,,16.0
3,D,,16.0
3,D,,16.0
3,D,,16.0
3,H,20.0,
3,H,4.0,
3,H,4.0,
3,H,5.0,
3,H,4.0,
3,H,4.0,
3,H,20.0,
3,H,5.0,
3,H,,32.0
3,H,,16.0
3,H,,16.0
3,H,,16.0
3,H,,16.0
3,H,,16.0
3,H,,16.0
3,H,,16.0
3,C,86.0,
3,C,6.0,
3,C,6.0,
3,C,6.0,
3,C,6.0,
3,C,6.0,
3,C,6.0,
3,C,7.0,
3,C,,80.0
3,C,,16.0
3,C,,16.0
3,C,,16.0
3,C,,16.0
3,C,,32.0
3,C,,16.0
3,C,,48.0
3,G,8.0,
3,G,8.0,
3,G,8.0,
3,G,8.0,
3,G,8.0,
3,G,8.0,
3,G,8.0,
3,G,8.0,
3,G,,80.0
3,G,,48.0
3,G,,128.0
3,G,,64.0
3,G,,80.0
3,G,,64.0
3,G,,64.0
3,G,,48.0
3,A,26.0,
3,A,11.0,
3,A,10.0,
3,A,11.0,
3,A,10.0,
3,A,11.0,
3,A,26.0,
3,A,10.0,
3,A,,32.0
3,A,,48.0
3,A,,16.0
3,A,,32.0
3,A,,16.0
3,A,,16.0
3,A,,16.0
3,A,,16.0
3,I,12.0,
3,I,12.0,
3,I,13.0,
3,I,13.0,
3,I,12.0,
3,I,29.0,
3,I,12.0,
3,I,,224.0
3,I,,480.0
3,I,,416.0
3,I,,512.0
3,I,,528.0
3,I,,512.0
3,I,,512.0
4,F,,16.0
4,F,,16.0
4,F,,16.0
4,F,,16.0
4,F,,16.0
4,F,,16.0
4,F,,16.0
4,F,,16.0
4,F,,16.0
4,F,,16.0
4,F,,16.0
4,D,96.0,
4,D,1.0,
4,D,16.0,
4,D,16.0,
4,D,1.0,
4,D,16.0,
4,D,48.0,
4,D,17.0,
4,D,1.0,
4,D,0.0,
4,D,0.0,
4,D,0.0,
4,D,1.0,
4,D,0.0,
4,D,,80.0
4,D,,16.0
4,D,,16.0
4,D,,16.0
4,D,,16.0
4,D,,48.0
4,D,,16.0
4,D,,16.0
4,D,,16.0
4,D,,16.0
4,D,,16.0
4,D,,16.0
4,D,,16.0
4,D,,16.0
4,H,4.0,
4,H,4.0,
4,H,4.0,
4,H,4.0,
4,H,4.0,
4,H,4.0,
4,H,4.0,
4,H,4.0,
4,H,5.0,
4,H,4.0,
4,H,5.0,
4,H,4.0,
4,H,5.0,
4,H,,16.0
4,H,,16.0
4,H,,16.0
4,H,,16.0
4,H,,16.0
4,H,,16.0
4,H,,16.0
4,H,,16.0
4,H,,16.0
4,H,,16.0
4,H,,32.0
4,H,,16.0
4,H,,16.0
4,G,41.0,
4,G,24.0,
4,G,9.0,
4,G,8.0,
4,G,8.0,
4,G,9.0,
4,G,8.0,
4,G,9.0,
4,G,8.0,
4,G,9.0,
4,G,9.0,
4,G,8.0,
4,G,8.0,
4,G,,16.0
4,G,,16.0
4,G,,32.0
4,G,,16.0
4,G,,16.0
4,G,,48.0
4,G,,48.0
4,G,,16.0
4,G,,32.0
4,G,,16.0
4,G,,64.0
4,G,,32.0
4,G,,48.0
4,I,12.0,
4,I,13.0,
4,I,13.0,
4,I,12.0,
4,I,12.0,
4,I,12.0,
4,I,12.0,
4,I,12.0,
4,I,12.0,
4,I,13.0,
4,I,12.0,
4,I,13.0,
4,I,13.0,
4,I,,48.0
4,I,,144.0
4,I,,64.0
4,I,,160.0
4,I,,160.0
4,I,,144.0
4,I,,160.0
4,I,,160.0
4,I,,208.0
4,I,,144.0
4,I,,144.0
4,I,,128.0
4,I,,128.0
4,E,14.0,
4,E,14.0,
4,E,14.0,
4,E,14.0,
4,E,14.0,
4,E,14.0,
4,E,15.0,
4,E,14.0,
4,E,14.0,
4,E,14.0,
4,E,14.0,
4,E,14.0,
4,E,15.0,
4,E,14.0,
4,E,,32.0
4,E,,32.0
4,E,,16.0
4,E,,16.0
4,E,,32.0
4,E,,16.0
4,E,,16.0
4,E,,48.0
4,E,,32.0
4,E,,16.0
4,E,,16.0
