id,count,mean,std,min,25%,50%,75%,max
0,149.0,27.959731543624162,17.74971609770325,16.0,16.0,16.0,32.0,112.0
1,95.0,73.66315789473684,98.5821409882972,16.0,16.0,32.0,80.0,400.0
2,111.0,63.47747747747748,100.0831333394073,16.0,16.0,32.0,32.0,384.0
3,96.0,75.22916666666667,93.84034360401338,16.0,16.0,32.0,96.0,368.0
4,117.0,49.00854700854701,98.46743691807684,16.0,16.0,32.0,48.0,720.0
5,97.0,75.11340206185567,100.53646480761967,16.0,16.0,32.0,80.0,384.0
6,54.0,104.70370370370371,226.16379351137908,16.0,16.0,16.0,44.0,1040.0
7,150.0,43.77333333333333,55.77208494052356,16.0,16.0,16.0,32.0,208.0
8,129.0,44.201550387596896,88.75381856617506,16.0,16.0,32.0,32.0,640.0
9,92.0,76.41304347826087,103.55294363604733,16.0,16.0,16.0,80.0,368.0
10,39.0,144.56410256410257,291.08687389016205,16.0,16.0,16.0,48.0,1264.0
11,155.0,19.238709677419354,7.846815774871733,16.0,16.0,16.0,16.0,70.0
12,116.0,49.1551724137931,50.116490985160425,16.0,16.0,32.0,48.0,208.0
13,114.0,54.36842105263158,96.58617713427768,16.0,16.0,32.0,48.0,688.0
14,135.0,47.214814814814815,51.114210014931516,16.0,16.0,32.0,40.0,224.0
15,52.0,114.26923076923077,241.15637391897735,16.0,16.0,16.0,36.0,1184.0
16,95.0,75.85263157894737,99.07153749121622,16.0,16.0,32.0,80.0,400.0
17,98.0,73.20408163265306,100.53495665161309,16.0,16.0,32.0,77.5,368.0
18,150.0,38.013333333333335,29.903196540018293,16.0,16.0,32.0,48.0,160.0
19,138.0,43.7536231884058,46.641013184366784,16.0,16.0,24.0,48.0,192.0
20,135.0,47.68888888888889,48.59019412570945,16.0,16.0,32.0,48.0,192.0
21,99.0,72.46464646464646,97.8119095802811,16.0,16.0,32.0,67.0,384.0
22,161.0,19.614906832298136,7.815099257048214,16.0,16.0,16.0,16.0,70.0
23,98.0,74.51020408163265,99.71973559932437,16.0,16.0,32.0,68.5,384.0
24,135.0,44.370370370370374,48.96430938086827,16.0,16.0,16.0,48.0,208.0
25,148.0,23.39189189189189,16.097760496262698,16.0,16.0,16.0,16.0,96.0
26,100.0,72.86,99.18587998237848,16.0,16.0,32.0,72.5,352.0
27,136.0,44.86764705882353,47.95411523275131,16.0,16.0,32.0,36.0,224.0
28,94.0,77.68085106382979,128.25153483882838,16.0,16.0,32.0,80.0,736.0
29,153.0,36.326797385620914,28.534796409351706,16.0,16.0,32.0,48.0,176.0
30,150.0,28.30666666666667,16.71672660977206,16.0,16.0,16.0,32.0,96.0
31,114.0,19.280701754385966,7.762524874262029,16.0,16.0,16.0,16.0,70.0
32,110.0,62.45454545454545,95.7073747662837,16.0,16.0,32.0,32.0,352.0
33,115.0,17.304347826086957,6.110350598726661,16.0,16.0,16.0,16.0,70.0
34,180.0,28.211111111111112,16.680363087325635,16.0,16.0,16.0,32.0,96.0
35,86.0,30.953488372093023,17.80608420588092,16.0,16.0,32.0,44.0,96.0
36,147.0,28.122448979591837,17.75360197262843,16.0,16.0,16.0,32.0,86.0
37,95.0,75.01052631578948,98.95663081186089,16.0,16.0,32.0,80.0,352.0
38,108.0,66.12962962962963,98.81211214422855,16.0,16.0,32.0,32.0,368.0
39,96.0,74.22916666666667,99.11306453441699,16.0,16.0,32.0,68.0,384.0
40,113.0,50.31858407079646,106.16179241801551,16.0,16.0,16.0,32.0,672.0
41,95.0,77.2,101.1791753866125,16.0,16.0,32.0,72.0,384.0
42,52.0,123.8076923076923,274.35950642031264,16.0,16.0,16.0,36.0,1104.0
43,147.0,45.64625850340136,56.22981253834217,16.0,16.0,16.0,32.0,224.0
44,127.0,40.61417322834646,76.76412514082618,16.0,16.0,16.0,32.0,720.0
45,92.0,78.67391304347827,110.28525537781829,16.0,16.0,16.0,96.0,384.0
46,38.0,150.89473684210526,293.78966455370335,16.0,16.0,24.0,88.0,1184.0
47,151.0,20.596026490066226,10.425084369249022,16.0,16.0,16.0,16.0,86.0
48,113.0,49.610619469026545,50.78234958208529,16.0,16.0,32.0,32.0,192.0
49,110.0,61.0,110.46947355335755,16.0,16.0,32.0,64.0,848.0
50,131.0,49.51145038167939,50.42532428669818,16.0,16.0,32.0,48.0,208.0
51,52.0,106.88461538461539,231.7437440275953,16.0,16.0,16.0,36.0,1072.0
52,93.0,78.68817204301075,99.03907644423288,16.0,16.0,32.0,96.0,352.0
53,98.0,72.87755102040816,100.85615614882379,16.0,16.0,32.0,64.0,368.0
54,149.0,38.48322147651007,29.406426036746982,16.0,16.0,32.0,48.0,160.0
55,138.0,45.608695652173914,48.82135388707026,16.0,16.0,32.0,32.0,208.0
56,134.0,47.80597014925373,47.1783494393207,16.0,16.0,32.0,48.0,208.0
57,99.0,72.14141414141415,100.17138477924743,16.0,16.0,32.0,80.0,384.0
58,161.0,20.70807453416149,9.814300631955899,16.0,16.0,16.0,16.0,86.0
59,96.0,75.89583333333333,101.1239447063971,16.0,16.0,32.0,80.0,384.0
60,135.0,45.91111111111111,52.43837416031426,16.0,16.0,32.0,32.0,208.0
61,147.0,23.98639455782313,18.51544575300036,16.0,16.0,16.0,16.0,96.0
62,99.0,73.27272727272727,99.89564127912548,16.0,16.0,32.0,80.0,352.0
63,133.0,46.8421052631579,51.04852743331631,16.0,16.0,32.0,32.0,208.0
64,91.0,80.94505494505495,136.38714200045584,16.0,16.0,32.0,80.0,832.0
65,151.0,37.2317880794702,31.62434583431132,16.0,16.0,32.0,48.0,176.0
66,149.0,27.530201342281877,18.0095909309381,16.0,16.0,16.0,32.0,102.0
67,114.0,20.82456140350877,11.011856533718785,16.0,16.0,16.0,16.0,102.0
68,110.0,63.03636363636364,98.84757307213908,16.0,16.0,32.0,32.0,368.0
69,112.0,17.910714285714285,10.443803776547956,16.0,16.0,16.0,16.0,102.0
