id,count,mean,std,min,25%,50%,75%,max
0,72.0,13.652777777777779,14.525509103314938,0.0,6.5,11.0,17.25,115.0
1,65.0,12.384615384615385,12.276364877901953,0.0,4.0,9.0,17.0,88.0
2,81.0,13.62962962962963,12.326236697026026,0.0,5.0,12.0,17.0,96.0
3,63.0,13.555555555555555,12.51679874792502,0.0,6.5,12.0,17.5,87.0
4,101.0,13.089108910891088,13.373929123410958,0.0,2.0,11.0,21.0,104.0
5,64.0,13.15625,13.185151280349963,0.0,6.0,11.0,17.25,95.0
6,69.0,12.666666666666666,12.750624744401703,1.0,2.0,13.0,19.0,86.0
7,101.0,13.475247524752476,12.791867775587692,0.0,6.0,10.0,18.0,113.0
8,105.0,13.285714285714286,11.454520677708167,0.0,3.0,13.0,21.0,81.0
9,84.0,12.857142857142858,12.580481015515884,0.0,4.75,10.0,18.25,99.0
10,92.0,15.097826086956522,13.73537966576929,1.0,6.0,13.0,22.0,108.0
11,103.0,12.611650485436893,11.017128384357976,0.0,8.0,9.0,17.5,90.0
12,109.0,14.844036697247706,12.164896607868162,2.0,6.0,15.0,17.0,106.0
13,80.0,13.825,11.973361783770809,1.0,7.0,13.0,17.0,93.0
14,94.0,14.691489361702128,10.7283431220784,2.0,6.0,14.5,20.0,84.0
15,67.0,13.059701492537313,14.61203385031928,1.0,4.0,10.0,19.0,111.0
16,63.0,13.412698412698413,14.008793230054355,0.0,5.0,11.0,19.5,102.0
17,78.0,13.91025641025641,13.469721598214267,0.0,7.0,11.0,17.75,109.0
18,64.0,12.25,11.40175425099138,2.0,5.0,11.0,15.0,82.0
19,84.0,13.202380952380953,12.224584908718832,0.0,6.0,11.5,17.0,100.0
20,96.0,13.739583333333334,11.140485477153437,3.0,6.0,12.0,17.0,91.0
21,80.0,13.5125,11.525419073080448,0.0,7.0,11.0,18.5,80.0
22,78.0,14.115384615384615,13.46180818910594,0.0,5.0,12.0,18.75,98.0
23,76.0,13.118421052631579,12.434325721178086,0.0,7.0,11.0,18.5,97.0
24,82.0,13.182926829268293,13.222808622646065,0.0,5.0,12.0,18.0,107.0
25,115.0,12.91304347826087,10.526962222713822,0.0,7.0,10.0,16.0,89.0
26,79.0,13.0,10.85333459333452,0.0,7.0,11.0,17.5,83.0
27,100.0,13.4,11.817637905121549,0.0,6.0,12.0,17.0,101.0
28,100.0,10.85,11.580526147744145,0.0,2.75,10.0,15.0,92.0
29,65.0,14.353846153846154,14.51015890810509,2.0,7.0,12.0,21.0,110.0
30,73.0,13.657534246575343,14.067514960679791,0.0,5.0,12.0,20.0,103.0
31,90.0,14.38888888888889,12.047373199114883,0.0,5.0,14.0,19.0,85.0
32,82.0,14.829268292682928,12.38856987934949,0.0,8.0,12.0,21.0,94.0
33,89.0,13.426966292134832,13.254405477261853,0.0,9.0,10.0,19.0,112.0
34,87.0,12.942528735632184,13.17710869391087,0.0,5.0,12.0,17.0,114.0
35,76.0,13.56578947368421,12.758615939895455,3.0,6.25,13.0,16.0,105.0
36,72.0,14.027777777777779,19.214117625301867,0.0,5.0,11.0,18.5,160.0
37,63.0,13.412698412698413,17.178977137895966,0.0,4.0,12.0,17.0,133.0
