id,crossroad,crossroad_waiting_time,traffic_waiting_time
0,A,157.0,
0,A,35.0,
0,A,0.0,
0,A,7.0,
0,A,7.0,
0,A,,150.0
0,A,,14.0
0,A,,7.0
0,A,,14.0
0,A,,7.0
0,H,28.0,
0,H,0.0,
0,H,14.0,
0,H,28.0,
0,H,,105.0
0,H,,259.0
0,H,,49.0
0,H,,70.0
0,C,14.0,
0,C,14.0,
0,C,28.0,
0,C,0.0,
0,C,21.0,
0,C,,42.0
0,C,,77.0
0,C,,42.0
0,I,14.0,
0,I,0.0,
0,I,49.0,
0,I,35.0,
0,I,98.0,
0,I,,7.0
0,I,,7.0
0,I,,56.0
0,B,21.0,
0,B,0.0,
0,B,7.0,
0,B,0.0,
0,B,35.0,
0,B,,42.0
0,B,,14.0
0,G,35.0,
0,G,49.0,
0,G,21.0,
0,G,7.0,
0,G,,21.0
0,G,,434.0
0,G,,238.0
0,G,,112.0
1,A,150.0,
1,A,0.0,
1,A,0.0,
1,A,0.0,
1,A,7.0,
1,A,14.0,
1,A,0.0,
1,A,7.0,
1,A,,150.0
1,A,,14.0
1,A,,7.0
1,H,14.0,
1,H,0.0,
1,H,7.0,
1,H,0.0,
1,H,7.0,
1,H,14.0,
1,H,0.0,
1,H,0.0,
1,H,,14.0
1,H,,14.0
1,H,,14.0
1,H,,42.0
1,H,,7.0
1,H,,7.0
1,H,,35.0
1,H,,21.0
1,F,0.0,
1,F,0.0,
1,F,0.0,
1,F,7.0,
1,F,0.0,
1,F,0.0,
1,F,0.0,
1,F,,14.0
1,F,,42.0
1,F,,42.0
1,F,,28.0
1,F,,35.0
1,F,,21.0
1,C,0.0,
1,C,0.0,
1,C,14.0,
1,C,0.0,
1,C,0.0,
1,C,0.0,
1,C,0.0,
1,C,,91.0
1,C,,21.0
1,C,,7.0
1,C,,14.0
1,C,,14.0
1,C,,28.0
1,C,,21.0
1,I,7.0,
1,I,21.0,
1,I,0.0,
1,I,0.0,
1,I,0.0,
1,I,0.0,
1,I,0.0,
1,I,0.0,
1,I,,14.0
1,I,,7.0
1,I,,63.0
1,I,,35.0
1,I,,35.0
1,I,,7.0
1,I,,14.0
1,I,,14.0
1,D,0.0,
1,D,0.0,
1,D,0.0,
1,D,7.0,
1,D,7.0,
1,D,0.0,
1,D,7.0,
1,D,0.0,
1,D,,21.0
1,D,,7.0
1,D,,7.0
1,D,,7.0
1,D,,7.0
1,D,,14.0
1,G,14.0,
1,G,0.0,
1,G,7.0,
1,G,0.0,
1,G,7.0,
1,G,0.0,
1,G,7.0,
1,G,42.0,
1,G,,7.0
1,G,,7.0
1,G,,7.0
1,G,,14.0
1,G,,42.0
1,G,,42.0
1,G,,42.0
1,G,,7.0
2,A,28.0,
2,A,7.0,
2,A,0.0,
2,A,14.0,
2,A,0.0,
2,A,0.0,
2,A,21.0,
2,A,,7.0
2,A,,42.0
2,A,,7.0
2,A,,14.0
2,A,,7.0
2,A,,7.0
2,H,7.0,
2,H,14.0,
2,H,7.0,
2,H,0.0,
