id,count,mean,std,min,25%,50%,75%,max
0,28.0,50.857142857142854,55.36793716230057,7.0,12.25,24.5,78.75,203.0
1,43.0,40.93023255813954,36.421733012844335,7.0,10.5,28.0,70.0,150.0
2,37.0,39.24324324324324,36.30381477154938,7.0,14.0,28.0,56.0,154.0
3,43.0,43.2093023255814,29.476833631349084,7.0,17.5,42.0,63.0,150.0
4,27.0,56.888888888888886,60.120605282109224,7.0,7.0,14.0,101.5,182.0
5,35.0,47.285714285714285,44.64604022265608,7.0,14.0,35.0,56.0,189.0
6,15.0,38.93333333333333,45.79374047472718,7.0,7.0,14.0,52.5,150.0
7,40.0,41.025,57.83508273420031,7.0,12.25,14.0,42.0,301.0
8,32.0,54.5625,74.85553290473332,7.0,7.0,24.5,71.75,350.0
9,28.0,43.607142857142854,56.861325322756215,7.0,7.0,14.0,56.0,273.0
10,10.0,24.8,44.862258327264605,7.0,7.0,7.0,12.25,150.0
11,16.0,20.75,36.08416088350492,7.0,7.0,7.0,14.0,150.0
12,23.0,41.21739130434783,43.50439530745364,7.0,7.0,14.0,73.5,150.0
13,36.0,27.305555555555557,32.969093270988076,7.0,7.0,21.0,28.0,150.0
14,35.0,32.68571428571428,35.49214613086661,7.0,7.0,14.0,42.0,150.0
15,16.0,39.125,44.541927813390984,7.0,7.0,28.0,38.5,150.0
16,29.0,47.172413793103445,45.059539156160014,7.0,21.0,35.0,56.0,182.0
17,33.0,44.0,39.66263985162863,7.0,14.0,35.0,63.0,154.0
18,30.0,40.93333333333333,35.00830771681777,7.0,14.0,35.0,54.25,150.0
19,32.0,55.0,69.95113501811518,7.0,7.0,21.0,75.25,252.0
20,35.0,39.885714285714286,39.75866271020948,7.0,7.0,21.0,52.5,150.0
21,42.0,40.23809523809524,36.7714162079995,7.0,21.0,28.0,54.25,182.0
22,17.0,63.1764705882353,129.41079712205124,7.0,7.0,14.0,42.0,539.0
23,36.0,42.27777777777778,52.9148162406124,7.0,14.0,21.0,43.75,266.0
24,34.0,56.911764705882355,61.783280884001655,7.0,7.0,45.5,68.25,287.0
25,22.0,24.954545454545453,34.3129536455081,7.0,7.0,7.0,28.0,150.0
26,38.0,43.0,54.38352294185774,7.0,7.0,28.0,56.0,245.0
27,23.0,77.73913043478261,95.1927314792585,7.0,14.0,42.0,98.0,392.0
28,29.0,73.72413793103448,97.59204320307944,7.0,14.0,28.0,84.0,329.0
29,38.0,29.92105263157895,30.18267050580548,7.0,8.75,21.0,42.0,150.0
30,24.0,59.041666666666664,87.26893922595363,7.0,7.0,24.5,71.75,406.0
31,13.0,60.0,86.01937766185787,7.0,7.0,35.0,56.0,315.0
32,35.0,41.285714285714285,34.76608508689047,7.0,14.0,35.0,56.0,150.0
33,7.0,28.428571428571427,53.67139878575038,7.0,7.0,7.0,10.5,150.0
34,30.0,52.36666666666667,53.866042872227425,7.0,8.75,31.5,77.0,182.0
35,18.0,34.388888888888886,36.005128538109,7.0,14.0,21.0,42.0,150.0
36,26.0,60.42307692307692,71.37964588139849,7.0,8.75,31.5,84.0,266.0
37,44.0,43.34090909090909,34.26432355850288,7.0,14.0,35.0,70.0,157.0
38,33.0,43.36363636363637,52.77536012538083,7.0,14.0,21.0,49.0,238.0
39,46.0,42.52173913043478,30.470196097851844,7.0,15.75,35.0,68.25,157.0
40,27.0,60.0,65.47812318159872,7.0,7.0,42.0,91.0,266.0
41,40.0,40.85,38.59889064434831,7.0,14.0,21.0,64.75,157.0
42,24.0,26.666666666666668,37.684810302510904,7.0,7.0,7.0,29.75,164.0
43,40.0,44.525,61.181523731873874,7.0,12.25,21.0,56.0,329.0
44,33.0,66.9090909090909,85.53448267963469,7.0,7.0,35.0,77.0,406.0
45,39.0,31.128205128205128,36.27104070828514,7.0,7.0,21.0,38.5,185.0
46,12.0,24.75,47.604669366087876,7.0,7.0,7.0,8.75,171.0
47,20.0,23.6,37.61774497284633,7.0,7.0,7.0,15.75,157.0
48,28.0,43.857142857142854,41.9273748511013,7.0,7.0,31.5,57.75,171.0
49,31.0,32.38709677419355,38.38634950027144,7.0,10.5,21.0,35.0,171.0
50,35.0,39.68571428571428,37.98046822231862,7.0,10.5,28.0,49.0,164.0
51,19.0,34.421052631578945,41.788243680986646,7.0,7.0,14.0,35.0,164.0
52,36.0,50.833333333333336,49.961985549015154,7.0,19.25,35.0,63.0,203.0
53,30.0,53.3,43.1006440467121,7.0,15.75,49.0,70.0,171.0
54,35.0,33.885714285714286,35.66162167518748,7.0,7.0,21.0,49.0,178.0
55,33.0,60.54545454545455,65.54058423464184,7.0,7.0,28.0,98.0,252.0
56,31.0,38.25806451612903,34.927513263839714,7.0,14.0,28.0,49.0,164.0
57,33.0,47.18181818181818,39.27264835850657,7.0,14.0,35.0,70.0,185.0
58,19.0,56.89473684210526,117.8029874818509,7.0,7.0,14.0,38.5,511.0
59,37.0,48.513513513513516,56.523653663076516,7.0,14.0,21.0,63.0,238.0
60,32.0,60.03125,68.71562923828104,7.0,12.25,28.0,75.25,280.0
61,15.0,40.333333333333336,44.81815108487482,7.0,7.0,28.0,49.0,164.0
62,39.0,41.0,44.21300118386232,7.0,14.0,28.0,52.5,203.0
63,32.0,67.6875,90.56825531590935,7.0,14.0,28.0,91.0,371.0
64,31.0,64.45161290322581,87.41122685699568,7.0,7.0,28.0,80.5,294.0
65,41.0,36.609756097560975,36.12469934046545,7.0,14.0,28.0,49.0,171.0
66,24.0,61.375,84.87987035395582,7.0,7.0,14.0,82.25,364.0
67,13.0,55.69230769230769,87.47702995204381,7.0,7.0,14.0,56.0,308.0
68,39.0,35.97435897435897,35.55609887686542,7.0,7.0,21.0,49.0,185.0
69,7.0,31.428571428571427,58.690877039102496,7.0,7.0,7.0,14.0,164.0
70,33.0,59.90909090909091,74.62714135803894,7.0,14.0,21.0,77.0,343.0
71,17.0,37.64705882352941,44.85245419214899,7.0,7.0,21.0,42.0,178.0
72,28.0,62.607142857142854,71.45645619728936,7.0,14.0,31.5,92.75,287.0
73,45.0,43.62222222222222,36.504849546382744,7.0,14.0,28.0,70.0,199.0
74,31.0,48.41935483870968,65.71340512333252,7.0,10.5,21.0,56.0,273.0
75,45.0,44.24444444444445,31.12887840425785,7.0,21.0,35.0,70.0,164.0
76,28.0,69.85714285714286,87.36204544381377,7.0,7.0,28.0,91.0,294.0
77,37.0,42.648648648648646,42.688937036957775,7.0,7.0,21.0,70.0,192.0
78,20.0,30.6,43.009668435682784,7.0,7.0,10.5,43.75,185.0
79,31.0,58.354838709677416,71.36130995952769,7.0,7.0,21.0,77.0,301.0
80,26.0,85.1923076923077,84.57802042174751,7.0,15.75,52.5,138.25,308.0
81,35.0,42.285714285714285,63.3062451284935,7.0,7.0,21.0,38.5,322.0
82,13.0,25.0,48.52490769354092,7.0,7.0,7.0,14.0,185.0
83,22.0,27.5,46.927248658606295,7.0,7.0,7.0,19.25,192.0
84,23.0,50.95652173913044,49.28717172290055,7.0,7.0,35.0,80.5,185.0
85,33.0,35.303030303030305,40.64440678654694,7.0,7.0,21.0,42.0,199.0
86,34.0,54.85294117647059,61.865020396530234,7.0,14.0,31.5,63.0,217.0
87,17.0,34.76470588235294,48.660211430598906,7.0,7.0,14.0,28.0,185.0
88,37.0,46.62162162162162,50.01408210102839,7.0,14.0,35.0,56.0,206.0
89,31.0,56.096774193548384,56.48383535060255,7.0,21.0,42.0,73.5,238.0
90,34.0,40.64705882352941,45.805836833934606,7.0,7.0,28.0,56.0,185.0
91,35.0,66.68571428571428,71.04711420581972,7.0,14.0,42.0,98.0,294.0
92,38.0,43.0,45.63308425230951,7.0,7.0,28.0,61.25,192.0
93,37.0,42.270270270270274,39.09862788772392,7.0,14.0,35.0,63.0,192.0
94,20.0,53.0,120.30487586916308,7.0,7.0,7.0,21.0,525.0
95,29.0,62.62068965517241,66.31494864503104,7.0,14.0,42.0,84.0,259.0
96,29.0,77.10344827586206,95.2250510360986,7.0,7.0,35.0,119.0,357.0
97,15.0,40.8,66.23896134451385,7.0,7.0,14.0,31.5,203.0
98,38.0,45.39473684210526,48.26813591307904,7.0,14.0,28.0,49.0,192.0
99,33.0,67.75757575757575,92.6917034795423,7.0,14.0,35.0,84.0,392.0
100,33.0,62.03030303030303,73.4193796148558,7.0,14.0,35.0,91.0,252.0
101,44.0,34.27272727272727,37.10849187360209,7.0,12.25,21.0,50.75,199.0
102,28.0,61.107142857142854,80.63789169317099,7.0,7.0,21.0,75.25,329.0
103,16.0,69.3125,93.75622201575032,7.0,7.0,35.0,64.75,329.0
104,38.0,35.44736842105263,39.38287278200132,7.0,14.0,28.0,40.25,227.0
105,11.0,33.36363636363637,59.07837629331518,7.0,7.0,7.0,21.0,199.0
