id,count,mean,std,min,25%,50%,75%,max
0,9.0,21.88888888888889,40.147990125423604,0.0,7.0,7.0,21.0,127.0
1,10.0,19.0,43.34358853010058,0.0,0.0,7.0,7.0,141.0
2,10.0,16.9,41.42315509202284,0.0,0.0,3.5,7.0,134.0
3,10.0,25.3,39.06134776078379,0.0,0.0,7.0,31.5,120.0
4,10.0,21.1,40.029017252765804,0.0,0.0,7.0,12.25,127.0
5,9.0,28.88888888888889,48.33591947104256,0.0,7.0,7.0,14.0,141.0
6,9.0,19.555555555555557,38.7882427776482,0.0,0.0,0.0,21.0,120.0
7,13.0,24.846153846153847,39.78661029761594,0.0,0.0,7.0,21.0,134.0
8,11.0,20.454545454545453,45.385820773372906,0.0,0.0,7.0,10.5,155.0
9,11.0,20.454545454545453,41.63739577918782,0.0,0.0,0.0,24.5,141.0
10,5.0,31.0,50.333885206687555,0.0,7.0,7.0,21.0,120.0
11,10.0,16.9,40.203510073403066,0.0,0.0,0.0,5.25,127.0
12,8.0,18.5,41.49698784249286,0.0,0.0,0.0,14.0,120.0
13,11.0,12.818181818181818,37.973196288482704,0.0,0.0,0.0,3.5,127.0
14,9.0,18.77777777777778,43.48211637494712,0.0,0.0,7.0,7.0,134.0
15,8.0,28.125,41.135447001339365,0.0,0.0,10.5,42.0,120.0
16,9.0,35.111111111111114,40.98915845819613,7.0,21.0,21.0,35.0,141.0
17,9.0,18.77777777777778,38.983258514963126,0.0,0.0,7.0,7.0,120.0
18,9.0,22.666666666666668,40.196392872992966,0.0,0.0,14.0,14.0,127.0
19,11.0,23.636363636363637,40.29211517722227,0.0,7.0,7.0,21.0,141.0
20,12.0,24.583333333333332,37.12744227248855,0.0,7.0,10.5,22.75,134.0
21,10.0,19.7,35.97236593707886,0.0,7.0,7.0,17.5,120.0
22,9.0,18.77777777777778,41.294000102247836,0.0,0.0,0.0,14.0,127.0
23,8.0,21.125,45.87074230923236,0.0,0.0,7.0,8.75,134.0
24,10.0,26.0,42.05023450852828,0.0,7.0,10.5,26.25,141.0
25,8.0,22.875,45.97961504841031,0.0,0.0,3.5,17.5,134.0
26,11.0,21.09090909090909,41.10828273098877,0.0,3.5,7.0,14.0,141.0
27,11.0,16.636363636363637,36.97640525327665,0.0,0.0,7.0,10.5,127.0
28,12.0,12.333333333333334,34.07300539972512,0.0,0.0,0.0,7.0,120.0
29,13.0,16.76923076923077,35.798402771990276,0.0,0.0,7.0,14.0,134.0
30,9.0,19.555555555555557,50.90459485918514,0.0,0.0,0.0,7.0,155.0
31,6.0,22.333333333333332,47.96943471281131,0.0,0.0,3.5,7.0,120.0
32,11.0,22.363636363636363,40.48276850036995,0.0,3.5,7.0,21.0,141.0
33,7.0,33.142857142857146,56.95737754797755,0.0,0.0,0.0,52.5,127.0
34,11.0,33.81818181818182,49.29871840487983,0.0,3.5,14.0,31.5,141.0
35,6.0,23.5,50.820271545909705,0.0,0.0,3.5,7.0,127.0
36,9.0,21.88888888888889,47.606313773606864,0.0,0.0,7.0,14.0,148.0
37,10.0,32.3,44.47983313318021,0.0,14.0,21.0,28.0,155.0
