id,crossroad,crossroad_waiting_time,traffic_waiting_time
0,G,7.0,
0,A,127.0,
0,A,0.0,
0,A,,120.0
0,A,,14.0
0,H,7.0,
0,H,,56.0
0,I,21.0,
0,I,,49.0
0,C,7.0,
0,C,7.0,
0,C,,28.0
0,C,,21.0
0,B,0.0,
0,B,21.0,
0,B,,42.0
0,B,,42.0
1,G,0.0,
1,G,0.0,
1,G,,21.0
1,G,,42.0
1,A,141.0,
1,A,21.0,
1,A,,120.0
1,A,,14.0
1,H,0.0,
1,H,,7.0
1,D,7.0,
1,D,7.0,
1,D,,91.0
1,D,,7.0
1,I,7.0,
1,I,,35.0
1,F,0.0,
1,F,,35.0
1,C,7.0,
1,C,,14.0
2,G,7.0,
2,G,,21.0
2,A,0.0,
2,A,0.0,
2,H,0.0,
2,H,,42.0
2,D,7.0,
2,D,,42.0
2,I,14.0,
2,I,,28.0
2,C,134.0,
2,C,0.0,
2,C,,120.0
2,B,7.0,
2,B,0.0,
2,B,,42.0
2,B,,7.0
3,G,21.0,
3,G,,35.0
3,A,35.0,
3,A,63.0,
3,A,,14.0
3,A,,7.0
3,H,0.0,
3,H,,63.0
3,D,0.0,
3,D,7.0,
3,D,,49.0
3,I,0.0,
3,I,,49.0
3,F,7.0,
3,F,,91.0
3,C,120.0,
3,C,0.0,
3,C,,120.0
3,C,,7.0
4,G,0.0,
4,H,0.0,
4,H,,70.0
4,E,0.0,
4,E,0.0,
4,E,,105.0
4,D,127.0,
4,D,49.0,
4,D,,120.0
4,D,,14.0
4,I,7.0,
4,I,7.0,
4,I,,42.0
4,I,,14.0
4,F,7.0,
4,F,14.0,
4,F,,28.0
5,G,14.0,
5,G,77.0,
5,G,,14.0
5,G,,7.0
5,A,7.0,
5,A,,63.0
5,H,7.0,
5,H,,28.0
5,H,,98.0
5,D,141.0,
5,D,0.0,
5,D,,120.0
5,D,,35.0
5,I,7.0,
5,I,,28.0
5,F,7.0,
5,F,,28.0
5,C,0.0,
5,C,,35.0
6,G,0.0,
6,G,0.0,
6,G,,28.0
6,G,,35.0
6,E,0.0,
6,E,21.0,
6,E,,7.0
6,E,,7.0
6,D,120.0,
6,D,0.0,
6,D,0.0,
6,D,,120.0
6,D,,7.0
6,D,,7.0
6,F,21.0,
6,F,14.0,
6,F,,7.0
6,F,,7.0
7,G,7.0,
7,G,84.0,
7,G,,28.0
7,A,0.0,
7,A,0.0,
7,A,,35.0
7,A,,28.0
7,H,21.0,
7,H,28.0,
7,H,,7.0
7,H,,7.0
7,E,0.0,
7,E,21.0,
7,E,,7.0
7,E,,14.0
7,D,134.0,
7,D,7.0,
7,D,14.0,
7,D,,120.0
7,D,,7.0
7,D,,7.0
7,B,7.0,
7,B,0.0,
7,B,,28.0
7,B,,28.0
8,G,7.0,
8,G,0.0,
8,G,,133.0
8,H,0.0,
8,H,0.0,
8,H,,21.0
8,E,155.0,
8,E,7.0,
8,E,,120.0
8,E,,14.0
8,D,0.0,
8,D,,56.0
8,I,7.0,
8,I,14.0,
8,I,,21.0
8,F,28.0,
8,F,7.0,
8,F,,14.0
8,F,,14.0
9,H,28.0,
9,H,0.0,
9,H,,7.0
9,H,,7.0
9,E,141.0,
9,E,21.0,
9,E,,120.0
9,I,0.0,
9,I,28.0,
9,I,,7.0
9,F,0.0,
9,F,0.0,
9,F,,7.0
9,F,,7.0
9,C,0.0,
9,C,7.0,
9,C,,14.0
9,B,0.0,
9,B,,7.0
10,E,120.0,
10,E,7.0,
10,E,,120.0
10,E,,7.0
10,D,21.0,
10,D,0.0,
10,D,,42.0
10,D,,7.0
10,F,7.0,
10,F,,42.0
11,A,0.0,
11,A,0.0,
11,A,,7.0
11,A,,42.0
11,H,0.0,
11,H,35.0,
11,H,,7.0
11,E,127.0,
11,E,0.0,
11,E,0.0,
11,E,,120.0
11,B,7.0,
11,B,0.0,
11,B,0.0,
11,B,,7.0
12,G,0.0,
12,A,120.0,
12,A,14.0,
12,A,,120.0
12,D,14.0,
12,I,0.0,
12,I,,14.0
12,F,0.0,
12,F,,7.0
12,C,0.0,
12,C,0.0,
12,C,,7.0
13,A,0.0,
13,A,0.0,
13,A,,21.0
13,A,,21.0
13,E,0.0,
13,D,0.0,
13,D,7.0,
13,D,,49.0
13,F,127.0,
13,F,0.0,
13,F,,120.0
13,F,,7.0
13,C,0.0,
13,C,0.0,
13,C,,14.0
13,B,7.0,
13,B,0.0,
13,B,,21.0
13,B,,7.0
14,G,0.0,
14,G,,56.0
14,A,0.0,
14,A,,70.0
14,D,7.0,
14,D,,7.0
14,I,14.0,
14,I,0.0,
14,I,,14.0
14,I,,35.0
14,F,134.0,
14,F,0.0,
14,F,,120.0
14,F,,28.0
14,C,7.0,
14,B,7.0,
15,G,7.0,
15,G,0.0,
15,G,,14.0
15,G,,49.0
15,E,42.0,
15,E,0.0,
15,E,,28.0
15,D,14.0,
15,D,0.0,
15,D,,140.0
15,F,120.0,
15,F,42.0,
15,F,,120.0
15,F,,7.0
16,G,7.0,
16,G,,42.0
16,A,35.0,
16,A,,21.0
16,H,21.0,
16,H,,14.0
16,D,35.0,
16,D,,14.0
16,I,28.0,
16,I,,21.0
16,F,141.0,
16,F,7.0,
16,F,,120.0
16,F,,14.0
16,C,21.0,
16,C,21.0,
16,C,,21.0
16,C,,7.0
17,G,120.0,
17,G,7.0,
17,G,,120.0
17,G,,35.0
17,A,0.0,
17,A,,49.0
17,H,0.0,
17,H,28.0,
17,H,,63.0
17,H,,84.0
17,I,7.0,
17,I,,7.0
17,F,0.0,
17,C,0.0,
17,C,,14.0
17,B,7.0,
17,B,,21.0
18,G,127.0,
18,G,14.0,
18,G,,120.0
18,G,,35.0
18,A,0.0,
18,A,,91.0
18,D,7.0,
18,D,,7.0
18,I,0.0,
18,I,28.0,
18,I,,7.0
18,I,,35.0
18,F,0.0,
18,F,,7.0
18,C,14.0,
18,C,,14.0
18,B,14.0,
18,B,,28.0
19,G,141.0,
19,G,7.0,
19,G,,120.0
19,G,,14.0
19,A,21.0,
19,A,35.0,
19,A,,7.0
19,A,,63.0
19,H,7.0,
19,H,,35.0
19,D,21.0,
19,D,7.0,
19,D,,35.0
19,D,,35.0
19,I,0.0,
19,C,7.0,
19,B,14.0,
19,B,0.0,
20,G,134.0,
20,G,0.0,
20,G,,120.0
20,A,21.0,
20,A,49.0,
20,A,,7.0
20,A,,14.0
20,D,7.0,
20,D,28.0,
20,D,,21.0
20,D,,35.0
20,I,7.0,
20,F,21.0,
20,C,7.0,
20,C,7.0,
20,C,,7.0
20,C,,14.0
20,B,14.0,
20,B,0.0,
20,B,,7.0
20,B,,7.0
21,G,7.0,
21,G,,126.0
21,A,0.0,
21,A,,49.0
21,H,120.0,
21,H,7.0,
21,H,,120.0
21,H,,35.0
21,I,21.0,
21,I,21.0,
21,I,,14.0
21,I,,28.0
21,F,7.0,
21,F,7.0,
21,F,,42.0
21,F,,14.0
21,C,7.0,
21,C,,14.0
21,B,0.0,
21,B,,42.0
22,A,7.0,
22,A,21.0,
22,A,,14.0
22,H,127.0,
22,H,0.0,
22,H,0.0,
22,H,,120.0
22,H,,21.0
22,E,0.0,
22,E,14.0,
22,B,0.0,
22,B,0.0,
22,B,,42.0
22,B,,42.0
23,G,0.0,
23,G,,7.0
23,A,134.0,
23,A,7.0,
23,A,,120.0
23,A,,7.0
23,H,0.0,
23,H,,7.0
23,I,7.0,
23,I,,7.0
23,F,7.0,
23,F,,14.0
23,C,0.0,
23,C,,35.0
23,B,14.0,
23,B,,14.0
24,G,28.0,
24,G,35.0,
24,G,,14.0
24,G,,70.0
24,A,21.0,
24,A,,35.0
24,H,141.0,
24,H,0.0,
24,H,,120.0
24,H,,28.0
24,D,0.0,
24,D,14.0,
24,D,,35.0
24,I,7.0,
24,I,,14.0
24,C,7.0,
24,C,,14.0
24,B,7.0,
24,B,,35.0
25,H,134.0,
25,H,0.0,
25,H,,120.0
25,H,,7.0
25,E,28.0,
25,E,0.0,
25,E,,35.0
25,C,0.0,
25,C,0.0,
25,C,,7.0
25,B,7.0,
25,B,14.0,
25,B,,7.0
25,B,,7.0
26,G,7.0,
26,A,7.0,
26,A,,28.0
26,H,21.0,
26,I,141.0,
26,I,35.0,
26,I,,120.0
26,I,,14.0
26,F,7.0,
26,F,7.0,
26,F,,14.0
26,F,,7.0
26,C,7.0,
26,C,0.0,
26,C,,14.0
