id,count,mean,std,min,25%,50%,75%,max
0,5.0,46.4,47.24193052786899,7.0,7.0,35.0,63.0,120.0
1,10.0,33.7,37.41375267049389,7.0,7.0,21.0,38.5,120.0
2,10.0,28.8,34.49895328524878,7.0,7.0,17.5,33.25,120.0
3,9.0,39.0,34.781460578877365,7.0,14.0,28.0,49.0,120.0
4,8.0,48.25,43.93745554763043,7.0,7.0,45.5,63.0,120.0
5,9.0,45.22222222222222,43.8029045206416,7.0,14.0,21.0,77.0,120.0
6,6.0,41.0,41.535526961867234,7.0,15.75,28.0,45.5,120.0
7,7.0,34.142857142857146,39.63343946479442,7.0,10.5,21.0,35.0,120.0
8,10.0,31.6,38.629867546584556,7.0,7.0,21.0,21.0,120.0
9,11.0,25.545454545454547,33.15829801531929,7.0,7.0,14.0,24.5,120.0
10,5.0,39.4,48.304244119952855,7.0,7.0,14.0,49.0,120.0
11,5.0,43.6,46.155173057849105,7.0,7.0,42.0,42.0,120.0
12,3.0,56.333333333333336,57.84750066626331,7.0,24.5,42.0,81.0,120.0
13,9.0,25.77777777777778,36.02005614160595,7.0,7.0,14.0,21.0,120.0
14,8.0,35.125,41.78666055094616,7.0,7.0,10.5,54.25,120.0
15,5.0,68.8,65.37354204875243,7.0,14.0,49.0,120.0,154.0
16,7.0,42.142857142857146,41.32968493882886,7.0,17.5,21.0,56.0,120.0
17,10.0,40.0,35.33647784749729,7.0,14.0,35.0,54.25,120.0
18,9.0,36.666666666666664,36.45202326346235,7.0,14.0,21.0,49.0,120.0
19,9.0,44.44444444444444,39.058005296965405,7.0,14.0,35.0,42.0,120.0
20,10.0,24.6,34.95139482195239,7.0,7.0,10.5,24.5,120.0
21,9.0,34.333333333333336,36.235341863986875,7.0,14.0,21.0,28.0,120.0
22,8.0,34.25,44.771642811047265,7.0,7.0,14.0,33.25,120.0
23,8.0,49.125,60.729934957976035,7.0,12.25,21.0,56.25,168.0
24,9.0,49.888888888888886,35.32507765187659,14.0,21.0,49.0,70.0,120.0
25,10.0,25.3,37.49681467953126,7.0,7.0,7.0,14.0,120.0
26,9.0,34.333333333333336,35.89568219159513,7.0,14.0,21.0,42.0,120.0
27,8.0,36.875,39.32079602449574,7.0,7.0,24.5,47.25,120.0
28,9.0,39.0,37.32961290986018,7.0,7.0,35.0,56.0,120.0
29,6.0,35.166666666666664,43.54040269297778,7.0,8.75,17.5,36.75,120.0
30,7.0,34.142857142857146,39.426846063008774,7.0,10.5,28.0,31.5,120.0
31,3.0,63.333333333333336,56.500737458314056,7.0,35.0,63.0,91.5,120.0
32,10.0,33.7,32.42444208378063,7.0,21.0,21.0,33.25,120.0
33,1.0,120.0,,120.0,120.0,120.0,120.0,120.0
34,9.0,26.555555555555557,37.6434294104267,7.0,7.0,7.0,21.0,120.0
35,6.0,41.0,40.5807836296935,7.0,19.25,35.0,35.0,120.0
36,9.0,32.77777777777778,42.853756479968524,7.0,7.0,14.0,21.0,127.0
37,10.0,42.1,45.12562711167815,7.0,14.0,21.0,63.0,141.0
38,8.0,34.25,44.99444410146657,7.0,14.0,14.0,28.0,141.0
39,7.0,34.142857142857146,44.87920294683115,7.0,7.0,7.0,42.0,127.0
40,4.0,75.5,45.20693162189474,28.0,49.0,70.0,96.5,134.0
41,8.0,28.125,51.38214670486238,7.0,7.0,10.5,14.0,155.0
42,4.0,38.75,58.92580080066795,7.0,7.0,10.5,42.25,127.0
43,13.0,29.692307692307693,38.17150904227003,7.0,7.0,14.0,28.0,141.0
44,9.0,48.333333333333336,50.91414341811124,7.0,14.0,21.0,56.0,155.0
45,12.0,28.083333333333332,39.421863646120705,7.0,7.0,17.5,28.0,148.0
46,5.0,45.0,49.563091106185055,7.0,14.0,21.0,56.0,127.0
47,6.0,34.0,50.175691325581155,7.0,7.0,10.5,29.75,134.0
48,5.0,36.6,55.20235502222709,7.0,7.0,7.0,28.0,134.0
49,10.0,33.0,37.78300617414601,7.0,8.75,24.5,35.0,134.0
50,6.0,42.166666666666664,53.154178261606745,7.0,15.75,21.0,36.75,148.0
51,5.0,64.6,56.58003181335266,7.0,14.0,56.0,119.0,127.0
52,6.0,57.333333333333336,56.24470345434018,7.0,19.25,38.5,78.75,155.0
53,8.0,36.875,40.94050561485532,7.0,14.0,24.5,36.75,134.0
54,8.0,43.875,47.6877866963859,7.0,12.25,28.0,49.0,127.0
55,8.0,41.25,46.373483802707774,7.0,12.25,28.0,49.0,148.0
56,7.0,57.142857142857146,58.88244948321067,7.0,14.0,42.0,87.5,148.0
57,8.0,46.5,45.05552130427524,14.0,19.25,28.0,57.75,148.0
58,8.0,36.875,43.08276917747976,7.0,7.0,21.0,40.25,127.0
59,5.0,43.6,66.74054240115225,7.0,7.0,14.0,28.0,162.0
60,8.0,43.875,45.476642356269004,7.0,12.25,28.0,59.5,141.0
61,4.0,58.0,54.49770637375485,7.0,28.0,45.5,75.5,134.0
62,9.0,32.77777777777778,41.27280514387706,7.0,7.0,14.0,35.0,134.0
63,9.0,45.22222222222222,43.03712867332629,14.0,14.0,28.0,56.0,148.0
