id,crossroad,crossroad_waiting_time,traffic_waiting_time
0,H,0.0,
0,H,,42.0
0,B,14.0,
0,B,14.0,
0,B,,21.0
0,B,,14.0
0,I,0.0,
0,I,,21.0
0,A,134.0,
0,A,7.0,
0,A,,120.0
0,A,,7.0
0,G,14.0,
0,G,,28.0
0,C,0.0,
0,C,7.0,
0,C,,21.0
0,C,,21.0
1,H,0.0,
1,H,,14.0
1,I,0.0,
1,I,,14.0
1,A,120.0,
1,A,0.0,
1,A,,120.0
1,A,,21.0
1,D,28.0,
1,D,7.0,
1,D,,77.0
1,D,,21.0
1,G,0.0,
1,G,7.0,
1,G,,21.0
1,G,,63.0
1,F,7.0,
1,F,,49.0
1,C,7.0,
1,C,,7.0
2,H,7.0,
2,H,,21.0
2,B,7.0,
2,B,0.0,
2,B,,35.0
2,B,,56.0
2,I,0.0,
2,I,,77.0
2,A,14.0,
2,A,28.0,
2,A,,7.0
2,D,14.0,
2,D,,35.0
2,G,7.0,
2,G,,7.0
2,C,141.0,
2,C,21.0,
2,C,,120.0
2,C,,70.0
3,H,7.0,
3,H,,35.0
3,I,0.0,
3,I,,21.0
3,A,0.0,
3,A,0.0,
3,A,,7.0
3,A,,7.0
3,D,0.0,
3,D,0.0,
3,D,,14.0
3,D,,14.0
3,G,0.0,
3,F,0.0,
3,F,,14.0
3,C,120.0,
3,C,0.0,
3,C,,120.0
3,C,,14.0
4,E,49.0,
4,E,7.0,
4,E,,56.0
4,H,0.0,
4,H,,28.0
4,I,21.0,
4,I,,28.0
4,D,127.0,
4,D,0.0,
4,D,,120.0
4,D,,7.0
4,G,7.0,
4,G,,70.0
4,F,28.0,
4,F,56.0,
4,F,,7.0
5,H,7.0,
5,H,7.0,
5,H,,14.0
5,H,,42.0
5,I,0.0,
5,I,0.0,
5,I,,14.0
5,I,,42.0
5,A,14.0,
5,D,155.0,
5,D,14.0,
5,D,,120.0
5,D,,21.0
5,G,14.0,
5,G,7.0,
5,G,,14.0
5,G,,35.0
5,F,7.0,
5,F,7.0,
5,F,,14.0
5,F,,35.0
5,C,0.0,
5,C,7.0,
5,C,,49.0
5,C,,7.0
6,E,0.0,
6,E,0.0,
6,D,120.0,
6,D,0.0,
6,D,,120.0
6,G,0.0,
6,G,0.0,
6,G,,21.0
6,G,,14.0
6,F,0.0,
6,F,21.0,
6,F,,7.0
6,F,,42.0
7,E,0.0,
7,E,14.0,
7,H,28.0,
7,H,77.0,
7,H,,14.0
7,B,7.0,
7,B,0.0,
7,B,,14.0
7,B,,14.0
7,A,21.0,
7,A,21.0,
7,A,,35.0
7,A,,14.0
7,D,134.0,
7,D,0.0,
7,D,,120.0
7,D,,7.0
7,G,0.0,
8,E,148.0,
8,E,0.0,
8,E,,120.0
8,E,,7.0
8,H,14.0,
8,H,28.0,
8,H,,14.0
8,H,,56.0
8,I,14.0,
8,I,28.0,
8,I,,7.0
8,I,,7.0
8,D,0.0,
8,D,28.0,
8,D,,42.0
8,D,,7.0
8,G,7.0,
8,G,0.0,
8,G,,14.0
8,G,,63.0
8,F,0.0,
8,F,0.0,
8,F,,49.0
8,F,,14.0
9,E,141.0,
9,E,0.0,
9,E,,120.0
9,H,7.0,
9,H,0.0,
9,H,,7.0
9,H,,7.0
9,B,0.0,
9,B,0.0,
9,I,0.0,
9,I,0.0,
9,F,0.0,
9,F,14.0,
9,F,,14.0
9,C,0.0,
9,C,0.0,
9,C,,14.0
9,C,,14.0
10,E,120.0,
10,E,0.0,
10,E,,120.0
10,E,,7.0
10,D,126.0,
10,D,0.0,
10,D,,28.0
10,F,0.0,
11,E,127.0,
11,E,0.0,
11,E,,120.0
11,H,7.0,
11,B,21.0,
11,B,14.0,
11,B,,14.0
11,A,0.0,
11,A,0.0,
11,A,,28.0
12,I,0.0,
12,I,0.0,
12,I,,14.0
12,A,127.0,
12,A,7.0,
12,A,,120.0
12,D,0.0,
12,D,,7.0
12,G,42.0,
12,G,,21.0
12,F,28.0,
12,F,42.0,
12,F,,56.0
12,F,,21.0
12,C,21.0,
12,C,0.0,
12,C,,7.0
13,E,7.0,
13,E,28.0,
13,B,7.0,
13,B,0.0,
13,B,,35.0
13,A,0.0,
13,A,7.0,
13,A,,42.0
13,D,0.0,
13,D,0.0,
13,D,,42.0
13,F,127.0,
13,F,0.0,
13,F,0.0,
13,F,,120.0
13,C,0.0,
13,C,0.0,
13,C,,21.0
14,B,14.0,
14,B,,14.0
14,I,7.0,
14,I,21.0,
14,I,,14.0
14,I,,7.0
14,A,7.0,
14,A,,21.0
14,D,0.0,
14,D,,7.0
14,G,0.0,
14,G,0.0,
14,G,,42.0
14,F,134.0,
14,F,0.0,
14,F,,120.0
14,C,7.0,
14,C,,7.0
15,E,35.0,
15,E,0.0,
15,E,,35.0
15,D,14.0,
15,D,0.0,
15,D,,140.0
15,G,0.0,
15,F,120.0,
15,F,0.0,
15,F,,120.0
16,H,0.0,
16,H,,7.0
16,I,7.0,
16,I,,7.0
16,A,28.0,
16,A,,70.0
16,A,,56.0
16,D,14.0,
16,D,,14.0
16,G,42.0,
16,G,,21.0
16,F,141.0,
16,F,21.0,
16,F,,120.0
16,F,,21.0
16,C,14.0,
16,C,14.0,
16,C,,14.0
16,C,,7.0
