id,count,mean,std,min,25%,50%,75%,max
0,21.0,16.761904761904763,20.980716770179143,7.0,7.0,7.0,14.0,100.0
1,31.0,17.903225806451612,19.645788079059383,7.0,7.0,14.0,21.0,100.0
2,34.0,12.823529411764707,16.528158870564617,7.0,7.0,7.0,14.0,100.0
3,44.0,15.636363636363637,15.191936216434966,7.0,7.0,14.0,14.0,100.0
4,25.0,20.52,22.23945442975914,7.0,7.0,14.0,21.0,100.0
5,36.0,16.38888888888889,16.93057720352276,7.0,7.0,10.5,21.0,100.0
6,16.0,15.0,23.047776465420693,7.0,7.0,7.0,14.0,100.0
7,35.0,16.057142857142857,18.438997767109313,7.0,7.0,7.0,17.5,100.0
8,34.0,15.294117647058824,20.743059316405613,7.0,7.0,7.0,12.25,100.0
9,32.0,12.96875,17.47714521421361,7.0,7.0,7.0,8.75,100.0
10,6.0,22.5,37.96709101313926,7.0,7.0,7.0,7.0,100.0
11,19.0,14.842105263157896,21.171949886307214,7.0,7.0,7.0,14.0,100.0
12,18.0,13.333333333333334,21.793145171603577,7.0,7.0,7.0,7.0,100.0
13,32.0,15.15625,21.742049900388135,7.0,7.0,7.0,14.0,100.0
14,45.0,12.644444444444444,14.632087335646261,7.0,7.0,7.0,14.0,100.0
15,14.0,14.642857142857142,24.69695447701114,7.0,7.0,7.0,7.0,100.0
16,32.0,15.375,19.219865395117928,7.0,7.0,7.0,14.0,100.0
17,36.0,15.222222222222221,16.642649361738584,7.0,7.0,7.0,15.75,100.0
18,38.0,12.947368421052632,15.78221265003319,7.0,7.0,7.0,14.0,100.0
19,31.0,12.709677419354838,16.755483775741595,7.0,7.0,7.0,14.0,100.0
20,39.0,15.846153846153847,16.542669646352127,7.0,7.0,7.0,21.0,100.0
21,43.0,13.232558139534884,15.48092099097086,7.0,7.0,7.0,14.0,100.0
22,23.0,16.52173913043478,20.56888551631807,7.0,7.0,7.0,14.0,100.0
23,30.0,16.4,20.528533548579947,7.0,7.0,7.0,14.0,100.0
24,39.0,16.743589743589745,17.735955078994266,7.0,7.0,7.0,21.0,100.0
25,13.0,17.923076923076923,27.250264642328215,7.0,7.0,7.0,7.0,100.0
26,29.0,18.896551724137932,20.780046795606264,7.0,7.0,7.0,28.0,100.0
27,36.0,17.36111111111111,19.64419620255419,7.0,7.0,7.0,21.0,100.0
28,34.0,13.647058823529411,17.183294129704876,7.0,7.0,7.0,14.0,100.0
29,34.0,15.911764705882353,17.29313692394274,7.0,7.0,7.0,21.0,100.0
30,15.0,16.466666666666665,24.254209256676802,7.0,7.0,7.0,14.0,100.0
31,9.0,19.666666666666668,30.516389039334257,7.0,7.0,7.0,14.0,100.0
32,28.0,16.821428571428573,19.212367875019453,7.0,7.0,7.0,15.75,100.0
33,4.0,30.25,46.5,7.0,7.0,7.0,30.25,100.0
34,38.0,16.44736842105263,19.02444710056561,7.0,7.0,7.0,19.25,100.0
35,9.0,18.88888888888889,30.567320967188326,7.0,7.0,7.0,14.0,100.0
36,24.0,17.875,21.706165223172246,7.0,7.0,10.5,15.75,107.0
37,36.0,14.444444444444445,18.85500228350851,7.0,7.0,7.0,14.0,114.0
38,34.0,18.38235294117647,23.879767911519185,7.0,7.0,10.5,21.0,142.0
39,55.0,15.309090909090909,14.30730547304383,7.0,7.0,14.0,14.0,107.0
40,26.0,20.53846153846154,24.431505511090826,7.0,7.0,14.0,21.0,128.0
41,43.0,14.209302325581396,18.381613665024968,7.0,7.0,7.0,14.0,121.0
42,14.0,15.142857142857142,26.558664073379845,7.0,7.0,7.0,7.0,107.0
43,42.0,15.547619047619047,20.26435339661848,7.0,7.0,7.0,14.0,121.0
44,37.0,19.16216216216216,25.616307212305124,7.0,7.0,7.0,14.0,128.0
45,37.0,14.621621621621621,20.320147844157248,7.0,7.0,7.0,14.0,121.0
46,11.0,19.90909090909091,33.84805620845766,7.0,7.0,7.0,14.0,121.0
47,23.0,13.478260869565217,21.073183228534777,7.0,7.0,7.0,7.0,107.0
48,18.0,17.61111111111111,26.782652174800386,7.0,7.0,7.0,14.0,121.0
49,39.0,16.205128205128204,18.38789574289434,7.0,7.0,7.0,21.0,114.0
50,33.0,17.454545454545453,23.368101801776323,7.0,7.0,7.0,14.0,121.0
51,13.0,19.53846153846154,28.099867688346222,7.0,7.0,7.0,14.0,107.0
52,24.0,21.666666666666668,35.6464116941196,7.0,7.0,7.0,14.0,140.0
53,38.0,16.63157894736842,19.280884039157453,7.0,7.0,10.5,19.25,114.0
54,34.0,15.088235294117647,20.943455833409853,7.0,7.0,7.0,14.0,128.0
55,43.0,17.953488372093023,20.06056720507043,7.0,7.0,14.0,21.0,121.0
56,43.0,15.674418604651162,18.06169444436347,7.0,7.0,7.0,21.0,114.0
57,40.0,15.45,19.315132900768738,7.0,7.0,7.0,14.0,121.0
58,26.0,19.46153846153846,24.896956873048996,7.0,7.0,7.0,19.25,114.0
59,33.0,18.515151515151516,22.833803357250318,7.0,7.0,7.0,21.0,128.0
60,44.0,18.181818181818183,19.84272197109024,7.0,7.0,14.0,21.0,128.0
61,25.0,16.6,23.636130534981113,7.0,7.0,7.0,14.0,114.0
62,29.0,18.896551724137932,21.732702198014543,7.0,7.0,14.0,21.0,114.0
63,43.0,18.11627906976744,18.901006904805463,7.0,7.0,14.0,21.0,114.0
64,37.0,18.405405405405407,23.840278078471712,7.0,7.0,7.0,21.0,128.0
65,34.0,15.705882352941176,20.413200440601273,7.0,7.0,7.0,19.25,121.0
66,34.0,11.588235294117647,19.596099870249105,7.0,7.0,7.0,7.0,121.0
67,13.0,19.53846153846154,33.3581958560296,7.0,7.0,7.0,7.0,121.0
68,37.0,15.378378378378379,20.434653779182927,7.0,7.0,7.0,14.0,128.0
69,11.0,17.363636363636363,34.37229328186505,7.0,7.0,7.0,7.0,121.0
70,36.0,19.11111111111111,27.137509916063493,7.0,7.0,7.0,15.75,128.0
71,11.0,19.90909090909091,33.84805620845766,7.0,7.0,7.0,14.0,121.0
72,26.0,21.076923076923077,29.691646066761706,7.0,7.0,10.5,19.25,142.0
73,33.0,17.87878787878788,25.81999900241765,7.0,7.0,14.0,21.0,156.0
74,39.0,17.82051282051282,23.936178073843074,7.0,7.0,7.0,21.0,149.0
75,55.0,16.581818181818182,17.454375349900634,7.0,7.0,14.0,21.0,128.0
76,26.0,21.076923076923077,31.33422802868847,7.0,7.0,14.0,19.25,156.0
77,35.0,17.057142857142857,26.445218468220922,7.0,7.0,7.0,17.5,149.0
78,18.0,14.5,30.117905559552405,7.0,7.0,7.0,7.0,135.0
79,37.0,19.72972972972973,26.64441639302548,7.0,7.0,7.0,21.0,142.0
80,42.0,20.547619047619047,31.550348752239188,7.0,7.0,7.0,14.0,170.0
81,36.0,20.47222222222222,29.407954328340782,7.0,7.0,7.0,21.0,156.0
82,16.0,15.0,32.0,7.0,7.0,7.0,7.0,135.0
