id,count,mean,std,min,25%,50%,75%,max
0,34.0,18.88235294117647,24.35689772986644,7.0,7.0,7.0,21.0,110.0
1,45.0,11.933333333333334,16.18276299591075,7.0,7.0,7.0,7.0,110.0
2,54.0,14.092592592592593,16.005032838782622,7.0,7.0,7.0,14.0,110.0
3,34.0,13.941176470588236,18.24071565659868,7.0,7.0,7.0,14.0,110.0
4,26.0,21.192307692307693,24.634965769441173,7.0,7.0,7.0,21.0,110.0
5,32.0,12.84375,18.571760343544835,7.0,7.0,7.0,14.0,110.0
6,10.0,20.8,31.70629099861554,7.0,7.0,10.5,14.0,110.0
7,32.0,19.1875,23.804902585324186,7.0,7.0,7.0,21.0,110.0
8,40.0,19.2,22.529980026622304,7.0,7.0,7.0,21.0,110.0
9,27.0,13.666666666666666,21.224079213514504,7.0,7.0,7.0,7.0,110.0
10,13.0,16.53846153846154,28.67523723998165,7.0,7.0,7.0,7.0,110.0
11,13.0,22.46153846153846,28.797035103795512,7.0,7.0,14.0,14.0,110.0
12,19.0,17.210526315789473,23.857397984618753,7.0,7.0,7.0,14.0,110.0
13,34.0,15.176470588235293,18.36411287569399,7.0,7.0,7.0,14.0,110.0
14,41.0,17.024390243902438,20.659728706928906,7.0,7.0,7.0,14.0,110.0
15,15.0,20.4,25.89208373229161,7.0,7.0,14.0,21.0,110.0
16,23.0,14.521739130434783,22.13362223409402,7.0,7.0,7.0,7.0,110.0
17,39.0,13.948717948717949,17.59477900722514,7.0,7.0,7.0,14.0,110.0
18,39.0,12.871794871794872,17.18656067240589,7.0,7.0,7.0,14.0,110.0
19,42.0,18.952380952380953,23.37181164477099,7.0,7.0,7.0,19.25,110.0
20,34.0,17.441176470588236,23.147997068233458,7.0,7.0,7.0,21.0,110.0
21,36.0,13.36111111111111,17.50126979520185,7.0,7.0,7.0,14.0,110.0
22,19.0,15.736842105263158,24.24376690859176,7.0,7.0,7.0,14.0,110.0
23,29.0,14.89655172413793,20.132320900174086,7.0,7.0,7.0,14.0,110.0
24,43.0,24.046511627906977,23.002022155797825,7.0,7.0,14.0,31.5,110.0
25,19.0,24.57894736842105,28.17862820861403,7.0,7.0,7.0,35.0,110.0
26,24.0,14.5,21.350084003500356,7.0,7.0,7.0,14.0,110.0
27,39.0,21.128205128205128,23.701187497653372,7.0,7.0,14.0,24.5,110.0
28,46.0,18.52173913043478,20.57802401747476,7.0,7.0,7.0,21.0,110.0
29,37.0,14.324324324324325,17.77022174258894,7.0,7.0,7.0,14.0,110.0
30,24.0,19.166666666666668,22.088097653963196,7.0,7.0,7.0,28.0,110.0
31,13.0,23.0,31.016124838541646,7.0,7.0,7.0,14.0,110.0
32,28.0,17.178571428571427,20.399806773646567,7.0,7.0,10.5,21.0,110.0
33,7.0,23.714285714285715,38.40448882493766,7.0,7.0,7.0,14.0,110.0
34,38.0,20.57894736842105,21.48366013779016,7.0,7.0,14.0,21.0,110.0
35,11.0,20.181818181818183,30.63272166105448,7.0,7.0,7.0,17.5,110.0
