id,count,mean,std,min,25%,50%,75%,max
0,31.0,32.41935483870968,36.707650604516026,7.0,7.0,21.0,38.5,140.0
1,42.0,19.428571428571427,23.122307734795385,7.0,7.0,7.0,21.0,130.0
2,41.0,22.121951219512194,26.71066745885548,7.0,7.0,7.0,21.0,130.0
3,41.0,18.536585365853657,20.68827875993507,7.0,7.0,14.0,28.0,130.0
4,30.0,33.03333333333333,36.25245136380514,7.0,7.0,14.0,49.0,130.0
5,39.0,18.41025641025641,22.57236077562901,7.0,7.0,7.0,24.5,130.0
6,16.0,22.5625,31.702720703434903,7.0,7.0,14.0,15.75,130.0
7,30.0,42.36666666666667,45.420247143479,7.0,7.0,21.0,68.25,175.0
8,32.0,40.59375,49.269410371822964,7.0,7.0,17.5,59.5,217.0
9,34.0,20.08823529411765,34.420191085570714,7.0,7.0,7.0,14.0,168.0
10,10.0,25.6,41.684529504361684,7.0,7.0,7.0,7.0,130.0
11,17.0,16.294117647058822,29.7904445793495,7.0,7.0,7.0,7.0,130.0
12,15.0,51.6,46.50161287525413,7.0,10.5,35.0,84.0,133.0
13,37.0,17.135135135135137,23.484228942186057,7.0,7.0,7.0,21.0,130.0
14,33.0,36.60606060606061,35.57381357292485,7.0,14.0,21.0,49.0,161.0
15,23.0,20.565217391304348,26.587464727431446,7.0,7.0,7.0,24.5,130.0
16,36.0,19.75,23.879907872519105,7.0,7.0,7.0,21.0,130.0
17,37.0,30.945945945945947,43.913390735468,7.0,7.0,14.0,42.0,217.0
18,36.0,17.805555555555557,24.161148795351412,7.0,7.0,7.0,14.0,130.0
19,37.0,38.32432432432432,43.68132963359241,7.0,7.0,21.0,49.0,182.0
20,29.0,39.48275862068966,51.76638504560324,7.0,7.0,14.0,42.0,210.0
21,36.0,22.666666666666668,25.79922479455536,7.0,7.0,10.5,29.75,130.0
22,18.0,31.333333333333332,37.43700591346356,7.0,7.0,14.0,42.0,130.0
23,38.0,24.789473684210527,29.97220144025067,7.0,7.0,14.0,28.0,133.0
24,34.0,46.029411764705884,48.001568973169185,7.0,14.0,35.0,56.0,203.0
25,17.0,18.764705882352942,29.890486387320436,7.0,7.0,7.0,21.0,130.0
26,35.0,29.114285714285714,39.96820164652324,7.0,7.0,14.0,28.0,161.0
27,30.0,53.56666666666667,54.114618672064836,7.0,7.0,42.0,75.25,224.0
28,38.0,36.76315789473684,45.88436359143071,7.0,7.0,14.0,50.75,189.0
29,47.0,16.76595744680851,22.166575666547118,7.0,7.0,7.0,14.0,130.0
30,28.0,30.392857142857142,42.13060758211416,7.0,7.0,14.0,35.0,189.0
31,11.0,31.545454545454547,37.728937531723936,7.0,7.0,7.0,42.0,130.0
32,29.0,22.586206896551722,25.786925315775424,7.0,7.0,14.0,28.0,130.0
33,8.0,26.75,43.47988040461933,7.0,7.0,7.0,15.75,130.0
34,34.0,32.64705882352941,45.22327260412207,7.0,7.0,14.0,35.0,210.0
35,14.0,31.285714285714285,31.97457781384496,7.0,14.0,21.0,33.25,130.0
36,27.0,40.333333333333336,43.54396540368048,7.0,7.0,28.0,49.0,158.0
37,47.0,17.51063829787234,24.26920784829449,7.0,7.0,7.0,14.0,137.0
38,37.0,25.08108108108108,30.59264470276981,7.0,7.0,14.0,35.0,165.0
39,54.0,18.22222222222222,20.15193858989297,7.0,7.0,14.0,21.0,144.0
40,22.0,55.54545454545455,55.50266168883663,7.0,7.0,42.0,75.25,189.0
41,46.0,17.58695652173913,20.62530924962126,7.0,7.0,14.0,21.0,137.0
42,15.0,27.8,41.27468958090418,7.0,7.0,7.0,21.0,151.0
43,37.0,32.08108108108108,54.34221725856037,7.0,7.0,7.0,35.0,266.0
44,38.0,41.18421052631579,45.46864394054785,7.0,7.0,21.0,54.25,182.0
45,38.0,18.342105263157894,25.61067800509218,7.0,7.0,7.0,14.0,144.0
46,12.0,24.25,37.81564130452804,7.0,7.0,7.0,22.75,137.0
47,18.0,23.555555555555557,34.64818511879293,7.0,7.0,7.0,21.0,151.0
48,24.0,41.0,49.64745275658552,7.0,7.0,17.5,56.0,182.0
49,37.0,21.486486486486488,26.239941587864376,7.0,7.0,14.0,35.0,158.0
50,38.0,34.36842105263158,36.87189001278915,7.0,14.0,21.0,42.0,165.0
51,21.0,24.857142857142858,32.212242570621676,7.0,7.0,14.0,28.0,151.0
52,43.0,19.790697674418606,23.941951763871838,7.0,7.0,7.0,21.0,137.0
53,38.0,36.21052631578947,53.81608214105521,7.0,7.0,17.5,35.0,252.0
54,28.0,22.392857142857142,27.36087946078716,7.0,7.0,14.0,29.75,137.0
55,38.0,44.13157894736842,48.739889348004894,7.0,14.0,24.5,61.25,245.0
56,38.0,35.10526315789474,48.886404164051974,7.0,7.0,10.5,28.0,189.0
57,38.0,25.342105263157894,29.675976557432257,7.0,7.0,14.0,28.0,137.0
58,25.0,20.88,33.62826192356661,7.0,7.0,7.0,14.0,151.0
59,33.0,34.484848484848484,48.41624289179795,7.0,7.0,14.0,35.0,210.0
60,38.0,42.473684210526315,49.357896951401294,7.0,7.0,24.5,54.25,210.0
61,23.0,20.869565217391305,32.25227877477819,7.0,7.0,7.0,24.5,158.0
62,34.0,28.323529411764707,35.65977326890929,7.0,7.0,14.0,33.25,147.0
63,32.0,51.96875,46.58082422503782,7.0,19.25,42.0,70.0,189.0
64,39.0,35.46153846153846,50.843333234682355,7.0,7.0,14.0,35.0,231.0
65,41.0,15.804878048780488,24.10105756206055,7.0,7.0,7.0,14.0,144.0
66,35.0,27.914285714285715,37.48048231575801,7.0,7.0,14.0,28.0,154.0
67,15.0,24.066666666666666,36.028692269726726,7.0,7.0,7.0,21.0,144.0
68,37.0,23.756756756756758,29.777326763650038,7.0,7.0,14.0,35.0,165.0
69,9.0,23.0,43.0,7.0,7.0,7.0,7.0,137.0
70,35.0,37.714285714285715,45.39796019554145,7.0,7.0,14.0,56.0,186.0
71,13.0,31.0,39.86644370060281,7.0,7.0,14.0,49.0,144.0
72,27.0,42.666666666666664,48.692915295759406,7.0,7.0,14.0,73.5,193.0
73,41.0,18.878048780487806,26.951989835586556,7.0,7.0,7.0,14.0,144.0
74,44.0,22.84090909090909,33.344532121625996,7.0,7.0,14.0,21.0,193.0
75,54.0,18.48148148148148,20.665111187828415,7.0,7.0,14.0,21.0,151.0
76,26.0,51.30769230769231,57.85068312873702,7.0,7.0,17.5,84.0,200.0
77,47.0,17.361702127659573,21.992514074126394,7.0,7.0,7.0,21.0,144.0
78,16.0,31.3125,46.28278117543643,7.0,7.0,7.0,35.0,179.0
79,36.0,33.75,45.754234776684875,7.0,7.0,7.0,42.0,193.0
80,35.0,43.91428571428571,47.98306774181874,7.0,7.0,28.0,59.5,186.0
81,38.0,20.0,29.076785576460466,7.0,7.0,7.0,21.0,165.0
82,8.0,33.75,56.97806595524281,7.0,7.0,7.0,29.75,172.0
83,20.0,25.75,41.482875350780844,7.0,7.0,7.0,22.75,179.0
84,24.0,56.458333333333336,71.57481896690292,7.0,12.25,24.5,66.5,294.0
85,37.0,22.43243243243243,36.999655058857975,7.0,7.0,14.0,21.0,221.0
86,37.0,40.5945945945946,56.38728159368498,7.0,7.0,28.0,42.0,301.0
87,14.0,25.785714285714285,45.6932558084191,7.0,7.0,7.0,24.5,179.0
88,36.0,20.333333333333332,26.81044572550035,7.0,7.0,10.5,21.0,144.0
89,39.0,32.94871794871795,52.81195474608533,7.0,7.0,14.0,31.5,235.0
90,42.0,21.761904761904763,29.649011437318123,7.0,7.0,7.0,21.0,158.0
91,34.0,42.529411764705884,50.446031945411065,7.0,7.0,28.0,54.25,210.0
92,40.0,35.975,52.85708234329771,7.0,7.0,14.0,42.0,245.0
93,37.0,33.21621621621622,55.41617049158082,7.0,7.0,14.0,35.0,315.0
94,24.0,29.333333333333332,47.11010845710907,7.0,7.0,7.0,22.75,193.0
95,34.0,40.05882352941177,51.43924994532494,7.0,7.0,17.5,47.25,207.0
96,35.0,44.31428571428572,51.18350574652152,7.0,7.0,28.0,63.0,207.0
97,10.0,38.2,52.956585992678946,7.0,7.0,17.5,40.25,179.0
98,38.0,27.736842105263158,30.829684020197263,7.0,7.0,17.5,35.0,151.0
99,35.0,44.91428571428571,52.42606638853224,7.0,7.0,28.0,66.5,217.0
100,42.0,34.42857142857143,48.74730404410016,7.0,7.0,14.0,47.25,231.0
101,39.0,22.71794871794872,30.321044210206566,7.0,7.0,14.0,28.0,172.0
102,28.0,37.892857142857146,42.71554430026293,7.0,7.0,21.0,43.75,179.0
103,13.0,41.23076923076923,55.187791292026795,7.0,7.0,7.0,42.0,179.0
104,34.0,24.0,35.74827819545151,7.0,7.0,7.0,26.25,200.0
105,11.0,25.181818181818183,45.37139667636027,7.0,7.0,7.0,14.0,158.0
106,36.0,41.138888888888886,52.46231451665514,7.0,7.0,21.0,40.25,210.0
107,11.0,48.09090909090909,71.8504760533353,7.0,7.0,7.0,56.0,196.0
108,28.0,39.892857142857146,49.24416813428871,7.0,7.0,17.5,54.25,214.0
109,35.0,22.314285714285713,29.481570942032313,7.0,7.0,14.0,28.0,172.0
110,37.0,25.83783783783784,47.96035024053927,7.0,7.0,7.0,21.0,284.0
111,30.0,26.266666666666666,34.05060466659762,7.0,7.0,14.0,33.25,165.0
112,26.0,55.07692307692308,78.4591221347387,7.0,7.0,28.0,56.0,347.0
113,45.0,18.755555555555556,27.1428506873236,7.0,7.0,7.0,14.0,165.0
114,19.0,29.68421052631579,52.31109148543606,7.0,7.0,7.0,28.0,228.0
115,36.0,36.083333333333336,51.22352974952039,7.0,7.0,7.0,49.0,221.0
116,33.0,47.63636363636363,58.21877821084564,7.0,7.0,14.0,84.0,221.0
117,37.0,24.135135135135137,38.13292698076192,7.0,7.0,14.0,14.0,193.0
118,9.0,31.555555555555557,63.553345921184814,7.0,7.0,7.0,14.0,200.0
119,18.0,26.27777777777778,46.82860558092238,7.0,7.0,7.0,26.25,207.0
120,21.0,60.857142857142854,57.64311382488433,7.0,21.0,42.0,84.0,207.0
121,37.0,23.945945945945947,43.396713870692736,7.0,7.0,7.0,21.0,263.0
122,33.0,38.303030303030305,50.71950121038557,7.0,7.0,14.0,42.0,235.0
123,16.0,30.0,69.39452427965769,7.0,7.0,7.0,8.75,284.0
124,32.0,23.75,31.988909368414628,7.0,7.0,14.0,28.0,172.0
125,36.0,34.138888888888886,62.066854636306836,7.0,7.0,14.0,22.75,326.0
126,38.0,27.92105263157895,39.820123650117765,7.0,7.0,14.0,28.0,189.0
