id,count,mean,std,min,25%,50%,75%,max
0,24.0,106.83333333333333,141.17878479205834,7.0,14.0,31.5,150.5,469.0
1,42.0,45.714285714285715,43.981307400950065,7.0,14.0,31.5,61.25,203.0
2,48.0,37.666666666666664,29.627713689039798,7.0,19.25,28.0,49.0,170.0
3,43.0,49.372093023255815,38.93952775401143,7.0,28.0,42.0,59.5,196.0
4,16.0,165.0625,157.8782099172228,7.0,75.25,133.0,220.5,602.0
5,37.0,45.270270270270274,47.20737268728303,7.0,14.0,21.0,56.0,170.0
6,18.0,38.22222222222222,43.653118688609524,7.0,7.0,17.5,54.25,170.0
7,32.0,77.71875,102.47965474715835,7.0,7.0,28.0,119.0,434.0
8,24.0,111.79166666666667,169.1225383295038,7.0,7.0,35.0,124.25,595.0
9,29.0,68.62068965517241,104.52354956560316,7.0,7.0,35.0,77.0,413.0
10,9.0,32.111111111111114,55.74819379236525,7.0,7.0,7.0,7.0,170.0
11,15.0,55.2,110.63272571893003,7.0,10.5,14.0,28.0,427.0
12,23.0,71.0,95.77720358870752,7.0,10.5,35.0,87.5,427.0
13,37.0,27.864864864864863,37.59666220569333,7.0,7.0,14.0,21.0,170.0
14,29.0,52.689655172413794,72.58645261650604,7.0,14.0,28.0,77.0,322.0
15,17.0,42.94117647058823,47.863700478853616,7.0,7.0,28.0,63.0,170.0
16,38.0,41.5,33.73165166908262,7.0,14.0,35.0,54.25,170.0
17,38.0,52.73684210526316,57.665711490018666,7.0,15.75,35.0,70.0,322.0
18,38.0,37.26315789473684,30.293772627859497,7.0,14.0,35.0,52.5,170.0
19,24.0,118.20833333333333,176.0182745370903,7.0,7.0,42.0,168.5,742.0
20,29.0,52.44827586206897,68.26292980972102,7.0,7.0,28.0,56.0,308.0
21,34.0,49.26470588235294,41.12015565906852,7.0,21.0,35.0,77.0,170.0
22,18.0,77.5,118.4101794113804,7.0,7.0,31.5,54.25,392.0
23,29.0,51.241379310344826,62.10225161113254,7.0,7.0,28.0,77.0,273.0
24,24.0,119.66666666666667,151.69926389625846,7.0,26.25,70.0,141.75,651.0
25,24.0,48.208333333333336,59.11814197135196,7.0,14.0,21.0,56.0,245.0
26,38.0,42.973684210526315,44.31123757297841,7.0,14.0,31.5,49.0,175.0
27,24.0,110.33333333333333,159.8998780940522,7.0,12.25,66.5,141.75,602.0
28,21.0,141.76190476190476,191.72868975766374,7.0,7.0,56.0,175.0,700.0
29,37.0,30.513513513513512,33.075353043905345,7.0,7.0,21.0,42.0,170.0
30,19.0,121.3157894736842,140.36897909580188,7.0,35.0,49.0,169.0,476.0
31,11.0,109.0,99.43037765190275,7.0,10.5,126.0,183.0,259.0
32,39.0,37.38461538461539,34.35696159028908,7.0,10.5,28.0,49.0,170.0
33,8.0,80.75,124.0745743494613,7.0,7.0,7.0,110.75,350.0
34,23.0,99.91304347826087,145.1556885314643,7.0,10.5,35.0,133.0,588.0
35,15.0,50.06666666666667,56.728006017016554,7.0,14.0,35.0,45.5,182.0
36,19.0,137.52631578947367,146.48715090449727,7.0,28.0,98.0,179.5,483.0
37,42.0,48.38095238095238,45.116625231078395,7.0,14.0,35.0,68.25,210.0
38,49.0,39.46938775510204,31.313669832316794,7.0,21.0,28.0,56.0,177.0
39,43.0,51.48837209302326,40.90952391909275,7.0,28.0,42.0,66.5,203.0
40,20.0,134.5,151.2507503243677,7.0,7.0,112.0,178.25,574.0
41,37.0,49.054054054054056,53.750941049098515,7.0,14.0,28.0,56.0,205.0
42,19.0,34.0,45.76145879570615,7.0,7.0,14.0,42.0,191.0
43,28.0,88.07142857142857,120.9783967771622,7.0,7.0,35.0,108.5,434.0
44,22.0,123.54545454545455,168.0075755867736,7.0,24.5,70.0,98.0,609.0
45,34.0,62.44117647058823,139.2693468800373,7.0,7.0,14.0,49.0,693.0
46,13.0,26.0,50.54206169122902,7.0,7.0,7.0,7.0,184.0
47,19.0,39.526315789473685,67.68092495185908,7.0,7.0,7.0,21.0,245.0
48,25.0,57.48,83.60976816935526,7.0,7.0,28.0,77.0,350.0
49,34.0,32.588235294117645,36.621005436985016,7.0,8.75,24.5,35.0,198.0
50,33.0,60.515151515151516,70.65546741588776,7.0,14.0,28.0,77.0,259.0
51,18.0,34.333333333333336,45.280823106216495,7.0,7.0,14.0,40.25,177.0
52,32.0,51.46875,48.005365543527965,7.0,19.25,35.0,57.75,196.0
53,35.0,53.65714285714286,58.39920570427954,7.0,14.0,35.0,66.5,294.0
54,36.0,42.44444444444444,44.01716836770752,7.0,7.0,28.0,63.0,191.0
55,22.0,126.72727272727273,172.7646849435276,7.0,14.0,59.5,147.0,700.0
56,30.0,61.666666666666664,68.50992041596822,7.0,7.0,24.5,105.0,203.0
57,36.0,49.44444444444444,43.615491641286255,7.0,14.0,28.0,78.75,184.0
58,18.0,95.77777777777777,172.729831735117,7.0,7.0,17.5,77.0,665.0
59,31.0,52.0,56.89229590492313,7.0,10.5,28.0,63.0,238.0
60,27.0,110.0,145.01697513368245,7.0,14.0,42.0,140.0,609.0
61,21.0,50.76190476190476,78.37468007073763,7.0,7.0,14.0,56.0,329.0
62,35.0,46.857142857142854,42.24100520830918,7.0,14.0,42.0,56.0,177.0
63,25.0,107.04,162.47217197620847,7.0,7.0,56.0,105.0,651.0
64,25.0,126.92,179.5935039656687,7.0,7.0,35.0,182.0,700.0
65,31.0,38.903225806451616,40.38593388686187,7.0,14.0,28.0,49.0,198.0
66,24.0,96.04166666666667,131.01658679149273,7.0,14.0,42.0,98.0,476.0
67,12.0,124.41666666666667,130.65948689303627,7.0,12.25,77.0,229.25,392.0
68,46.0,35.5,34.694059690064776,7.0,14.0,28.0,42.0,191.0
69,11.0,60.0,71.95971094994754,7.0,7.0,14.0,94.5,184.0
70,27.0,92.37037037037037,125.19650650942798,7.0,14.0,42.0,91.0,462.0
71,17.0,42.11764705882353,52.04190901684571,7.0,14.0,21.0,63.0,219.0
72,18.0,122.61111111111111,142.81874110374142,7.0,15.75,73.5,181.75,469.0
73,43.0,48.883720930232556,44.66819967287134,7.0,17.5,42.0,66.5,212.0
74,49.0,40.61224489795919,33.368408416826064,7.0,21.0,35.0,49.0,198.0
75,43.0,52.13953488372093,42.80386130521006,7.0,24.5,42.0,63.0,210.0
