id,count,mean,std,min,25%,50%,75%,max
0,30.0,21.5,22.358752047094406,7.0,7.0,14.0,31.5,120.0
1,43.0,14.837209302325581,19.701257190436376,7.0,7.0,7.0,14.0,120.0
2,33.0,15.515151515151516,20.474253973162874,7.0,7.0,7.0,14.0,120.0
3,43.0,14.348837209302326,17.82037854460079,7.0,7.0,7.0,14.0,120.0
4,28.0,25.535714285714285,27.35294979401422,7.0,7.0,14.0,29.75,120.0
5,30.0,14.733333333333333,21.159384211972828,7.0,7.0,7.0,14.0,120.0
6,14.0,17.571428571428573,29.803753727739334,7.0,7.0,7.0,14.0,120.0
7,35.0,18.62857142857143,22.201067428346395,7.0,7.0,7.0,17.5,120.0
8,33.0,28.242424242424242,31.662310306409953,7.0,7.0,14.0,42.0,120.0
9,37.0,14.972972972972974,19.88786129846613,7.0,7.0,7.0,14.0,120.0
10,8.0,29.0,42.871902220452036,7.0,7.0,7.0,22.75,120.0
11,13.0,17.846153846153847,31.13370669078278,7.0,7.0,7.0,7.0,120.0
12,23.0,17.391304347826086,24.879234003179846,7.0,7.0,7.0,14.0,120.0
13,34.0,14.647058823529411,19.762042516417107,7.0,7.0,7.0,14.0,120.0
14,41.0,16.585365853658537,18.968362620105218,7.0,7.0,7.0,21.0,120.0
15,17.0,19.823529411764707,29.623122923903647,7.0,7.0,7.0,14.0,120.0
16,36.0,15.38888888888889,20.075966837102627,7.0,7.0,7.0,14.0,120.0
17,37.0,18.37837837837838,21.852220013525386,7.0,7.0,7.0,21.0,120.0
18,36.0,15.0,19.88969582472291,7.0,7.0,7.0,14.0,120.0
19,40.0,21.55,24.423559454147064,7.0,7.0,7.0,28.0,120.0
20,33.0,17.636363636363637,22.492801878904203,7.0,7.0,7.0,14.0,120.0
21,37.0,20.08108108108108,23.63422468744377,7.0,7.0,7.0,21.0,120.0
22,23.0,17.08695652173913,25.49494253497466,7.0,7.0,7.0,14.0,120.0
23,36.0,15.972222222222221,20.746753427410706,7.0,7.0,7.0,15.75,120.0
24,43.0,25.74418604651163,26.30869222940786,7.0,7.0,14.0,28.0,120.0
25,18.0,19.11111111111111,27.148586549468593,7.0,7.0,7.0,14.0,120.0
26,37.0,17.81081081081081,21.427964384366,7.0,7.0,7.0,21.0,120.0
27,33.0,35.03030303030303,29.787250679280607,7.0,7.0,28.0,56.0,120.0
28,40.0,23.125,25.07239517876184,7.0,7.0,14.0,29.75,120.0
29,35.0,14.428571428571429,19.659282666414438,7.0,7.0,7.0,14.0,120.0
30,23.0,24.391304347826086,26.260476922960557,7.0,7.0,21.0,28.0,120.0
31,15.0,26.2,32.443797558239076,7.0,7.0,7.0,28.0,120.0
32,33.0,13.818181818181818,20.154798661631656,7.0,7.0,7.0,14.0,120.0
33,13.0,16.23076923076923,31.23874156170466,7.0,7.0,7.0,7.0,120.0
34,35.0,23.62857142857143,28.51221174317059,7.0,7.0,14.0,28.0,120.0
35,10.0,38.6,39.30846671590684,7.0,7.0,24.5,57.75,120.0
36,31.0,23.516129032258064,28.64713012704989,7.0,7.0,14.0,28.0,155.0
37,45.0,16.044444444444444,19.62252364869092,7.0,7.0,14.0,14.0,127.0
38,34.0,17.529411764705884,25.678944675424138,7.0,7.0,7.0,21.0,155.0
39,53.0,15.735849056603774,17.15556754592898,7.0,7.0,14.0,21.0,127.0
40,29.0,32.13793103448276,33.04620589625882,7.0,7.0,28.0,35.0,155.0
41,37.0,15.35135135135135,20.942004860269886,7.0,7.0,7.0,14.0,127.0
42,14.0,24.071428571428573,37.76947136290058,7.0,7.0,7.0,24.5,148.0
43,37.0,21.216216216216218,28.196862645745945,7.0,7.0,7.0,28.0,148.0
44,37.0,31.243243243243242,33.16156192324465,7.0,7.0,14.0,42.0,148.0
45,36.0,17.13888888888889,27.71090840164653,7.0,7.0,7.0,14.0,155.0
46,11.0,24.272727272727273,40.022720819781625,7.0,7.0,7.0,7.0,127.0
47,20.0,15.45,29.97099475018788,7.0,7.0,7.0,7.0,141.0
48,22.0,23.59090909090909,30.621590719324463,7.0,7.0,14.0,26.25,141.0
49,42.0,14.523809523809524,23.61194209555431,7.0,7.0,7.0,14.0,155.0
50,38.0,20.105263157894736,24.974353844071246,7.0,7.0,7.0,26.25,134.0
51,18.0,18.72222222222222,32.80029690603703,7.0,7.0,7.0,14.0,148.0
52,39.0,16.71794871794872,21.356557871121556,7.0,7.0,7.0,21.0,127.0
53,40.0,17.7,25.703636378476165,7.0,7.0,7.0,21.0,162.0
54,33.0,20.181818181818183,24.370133546841902,7.0,7.0,7.0,21.0,127.0
55,37.0,23.675675675675677,29.607669852828913,7.0,7.0,14.0,28.0,155.0
56,43.0,16.302325581395348,22.55948209862406,7.0,7.0,7.0,14.0,134.0
57,40.0,20.15,25.231797196069678,7.0,7.0,7.0,21.0,127.0
58,25.0,20.2,30.839638994860707,7.0,7.0,7.0,14.0,148.0
59,26.0,19.423076923076923,30.346232816510287,7.0,7.0,10.5,14.0,148.0
60,41.0,25.975609756097562,28.385284748332232,7.0,7.0,14.0,28.0,155.0
61,20.0,20.35,29.014107276506575,7.0,7.0,7.0,17.5,134.0
62,36.0,22.583333333333332,25.223996511258875,7.0,7.0,14.0,29.75,127.0
63,38.0,34.28947368421053,34.45083288110741,7.0,7.0,21.0,49.0,148.0
64,46.0,26.347826086956523,29.2743478085085,7.0,7.0,14.0,35.0,141.0
65,33.0,17.424242424242426,27.673351693269712,7.0,7.0,7.0,14.0,162.0
66,31.0,19.677419354838708,25.87068752697306,7.0,7.0,7.0,21.0,141.0
67,15.0,30.4,36.93778553189132,7.0,7.0,7.0,45.5,141.0
68,39.0,14.564102564102564,23.332600721099578,7.0,7.0,7.0,14.0,148.0
69,11.0,21.09090909090909,35.43855117087758,7.0,7.0,7.0,14.0,127.0
70,36.0,25.5,30.394078370630027,7.0,7.0,7.0,36.75,162.0
71,14.0,26.071428571428573,36.31160925975283,7.0,8.75,14.0,28.0,148.0
72,30.0,22.666666666666668,33.181146841951175,7.0,7.0,10.5,21.0,176.0
73,46.0,16.76086956521739,20.064545605075743,7.0,7.0,14.0,14.0,134.0
74,41.0,17.4390243902439,26.107516906523113,7.0,7.0,7.0,21.0,169.0
75,56.0,16.392857142857142,17.742274704454097,7.0,7.0,14.0,15.75,134.0
76,29.0,24.17241379310345,31.438226237584036,7.0,7.0,14.0,28.0,162.0
77,37.0,16.864864864864863,23.786273074754412,7.0,7.0,7.0,14.0,134.0
78,9.0,33.55555555555556,59.49603161369485,7.0,7.0,7.0,21.0,190.0
79,40.0,19.8,32.311941112559886,7.0,7.0,7.0,17.5,197.0
80,34.0,38.11764705882353,42.186285798200046,7.0,7.0,21.0,56.0,190.0
81,38.0,18.81578947368421,30.503748341366173,7.0,7.0,7.0,14.0,176.0
82,9.0,29.666666666666668,47.73887304912004,7.0,7.0,7.0,7.0,141.0
83,21.0,18.714285714285715,33.44270153133993,7.0,7.0,7.0,21.0,162.0
84,22.0,24.545454545454547,37.101825488046465,7.0,7.0,14.0,28.0,183.0
85,38.0,17.157894736842106,27.854376448593705,7.0,7.0,7.0,21.0,176.0
86,37.0,18.37837837837838,30.460677156833746,7.0,7.0,7.0,21.0,190.0
