id,count,mean,std,min,25%,50%,75%,max
0,21.0,12.80952380952381,15.90791956108355,7.0,7.0,7.0,14.0,80.0
1,26.0,12.23076923076923,16.280805120896673,7.0,7.0,7.0,7.0,80.0
2,34.0,10.588235294117647,12.827805138457308,7.0,7.0,7.0,7.0,80.0
3,41.0,12.195121951219512,11.929416398540043,7.0,7.0,7.0,14.0,80.0
4,19.0,12.68421052631579,17.24352577886987,7.0,7.0,7.0,7.0,80.0
5,25.0,11.04,14.601598086054375,7.0,7.0,7.0,7.0,80.0
6,12.0,13.666666666666666,20.98628700900286,7.0,7.0,7.0,7.0,80.0
7,38.0,9.842105263157896,11.931168166883664,7.0,7.0,7.0,7.0,80.0
8,33.0,10.909090909090908,13.239060664289111,7.0,7.0,7.0,7.0,80.0
9,22.0,11.909090909090908,15.943080573773008,7.0,7.0,7.0,7.0,80.0
10,9.0,16.666666666666668,23.942639787625755,7.0,7.0,7.0,14.0,80.0
11,15.0,13.266666666666667,18.68332589949302,7.0,7.0,7.0,10.5,80.0
12,15.0,16.066666666666666,19.314933773292278,7.0,7.0,7.0,17.5,80.0
13,24.0,10.333333333333334,14.907443914299026,7.0,7.0,7.0,7.0,80.0
14,28.0,13.107142857142858,15.907927876130483,7.0,7.0,7.0,7.0,80.0
15,15.0,12.333333333333334,18.806027402582043,7.0,7.0,7.0,7.0,80.0
16,27.0,12.037037037037036,14.771285766340151,7.0,7.0,7.0,10.5,80.0
17,26.0,12.5,14.862705002791383,7.0,7.0,7.0,12.25,80.0
18,26.0,11.423076923076923,14.302931383246099,7.0,7.0,7.0,12.25,80.0
19,28.0,11.357142857142858,14.56585119943291,7.0,7.0,7.0,7.0,80.0
20,29.0,9.758620689655173,13.571648948171838,7.0,7.0,7.0,7.0,80.0
21,24.0,15.0,15.612146887432958,7.0,7.0,7.0,15.75,80.0
22,23.0,14.130434782608695,16.06606912331386,7.0,7.0,7.0,17.5,80.0
23,25.0,12.72,14.990330216509573,7.0,7.0,7.0,14.0,80.0
24,34.0,15.735294117647058,15.878914594478813,7.0,7.0,7.0,14.0,80.0
25,16.0,13.3125,18.23081183052472,7.0,7.0,7.0,8.75,80.0
26,24.0,10.625,14.907869238002839,7.0,7.0,7.0,7.0,80.0
27,37.0,13.891891891891891,13.945895022836936,7.0,7.0,7.0,14.0,80.0
28,32.0,13.875,18.1707847754256,7.0,7.0,7.0,7.0,80.0
29,29.0,10.724137931034482,13.718851867110608,7.0,7.0,7.0,7.0,80.0
30,14.0,14.714285714285714,19.09663108198194,7.0,7.0,7.0,14.0,80.0
31,13.0,18.53846153846154,24.116437632920913,7.0,7.0,7.0,14.0,80.0
32,35.0,10.685714285714285,12.536467812349859,7.0,7.0,7.0,7.0,80.0
33,5.0,23.0,35.77708763999664,7.0,7.0,7.0,7.0,87.0
34,30.0,10.6,14.745192086072413,7.0,7.0,7.0,7.0,87.0
35,6.0,20.333333333333332,32.659863237109036,7.0,7.0,7.0,7.0,87.0
36,20.0,13.8,18.007600734426735,7.0,7.0,7.0,14.0,87.0
37,39.0,12.282051282051283,15.118738317501577,7.0,7.0,7.0,14.0,94.0
38,40.0,11.1,13.988640079795152,7.0,7.0,7.0,8.75,94.0
39,45.0,12.2,12.476523408531573,7.0,7.0,7.0,14.0,87.0
40,27.0,12.555555555555555,18.38338157001366,7.0,7.0,7.0,7.0,101.0
41,32.0,12.78125,18.492778669070415,7.0,7.0,7.0,8.75,108.0
42,14.0,14.714285714285714,23.173023345886723,7.0,7.0,7.0,7.0,94.0
43,39.0,13.179487179487179,19.206456966441745,7.0,7.0,7.0,7.0,94.0
44,31.0,11.387096774193548,15.719790964163268,7.0,7.0,7.0,7.0,94.0
45,21.0,15.80952380952381,23.474707767337698,7.0,7.0,7.0,7.0,108.0
46,11.0,15.545454545454545,26.105032604322236,7.0,7.0,7.0,7.0,94.0
47,19.0,15.263157894736842,21.941442536551584,7.0,7.0,7.0,10.5,101.0
48,17.0,19.941176470588236,23.362551734119535,7.0,7.0,14.0,21.0,101.0
49,27.0,13.851851851851851,18.287666511579502,7.0,7.0,7.0,14.0,101.0
50,36.0,12.13888888888889,16.56183698882598,7.0,7.0,7.0,7.0,101.0
51,14.0,14.214285714285714,25.048195302498097,7.0,7.0,7.0,7.0,101.0
52,28.0,11.107142857142858,19.17239389932013,7.0,7.0,7.0,7.0,108.0
53,28.0,13.357142857142858,19.43310326853389,7.0,7.0,7.0,8.75,108.0
54,30.0,12.7,18.849951980182137,7.0,7.0,7.0,7.0,108.0
55,37.0,13.702702702702704,18.046028902757502,7.0,7.0,7.0,14.0,108.0
56,41.0,12.536585365853659,18.001524325700327,7.0,7.0,7.0,7.0,108.0
57,33.0,13.454545454545455,17.937549493121455,7.0,7.0,7.0,14.0,108.0
58,25.0,18.04,21.810700737634882,7.0,7.0,7.0,21.0,108.0
59,30.0,11.533333333333333,19.690244973753803,7.0,7.0,7.0,7.0,115.0
60,38.0,15.368421052631579,19.722974739493026,7.0,7.0,7.0,14.0,115.0
61,20.0,13.8,22.72860474565499,7.0,7.0,7.0,7.0,108.0
62,27.0,14.37037037037037,20.281003138875757,7.0,7.0,7.0,14.0,108.0
63,41.0,15.097560975609756,19.271487848696037,7.0,7.0,7.0,14.0,115.0
64,36.0,12.916666666666666,18.832153355365396,7.0,7.0,7.0,14.0,115.0
65,34.0,12.852941176470589,18.927505002847003,7.0,7.0,7.0,12.25,115.0
66,25.0,13.84,21.44115979450116,7.0,7.0,7.0,14.0,115.0
67,11.0,20.0,32.61594701982452,7.0,7.0,7.0,10.5,115.0
68,35.0,12.085714285714285,19.521287669334406,7.0,7.0,7.0,7.0,122.0
69,9.0,21.333333333333332,37.8714932369982,7.0,7.0,7.0,14.0,122.0
70,29.0,12.655172413793103,21.57425029663995,7.0,7.0,7.0,7.0,122.0
71,7.0,26.428571428571427,42.48080799159836,7.0,7.0,7.0,17.5,122.0
72,28.0,13.607142857142858,21.59447680707797,7.0,7.0,7.0,14.0,122.0
73,30.0,13.866666666666667,22.472563092669755,7.0,7.0,7.0,12.25,129.0
74,43.0,13.255813953488373,18.63188897620704,7.0,7.0,7.0,14.0,122.0
75,46.0,13.304347826086957,18.444956631035296,7.0,7.0,7.0,14.0,129.0
76,21.0,16.80952380952381,27.40368414578421,7.0,7.0,7.0,14.0,129.0
77,29.0,14.586206896551724,27.84718149546519,7.0,7.0,7.0,14.0,157.0
