crossroad,veics
11,E
35,C
15,F
22,H
31,B
19,G
28,I
12,A
6,D
10,E
3,C
14,F
25,H
33,B
18,G
27,I
0,A
7,D
8,E
2,C
51,F
24,H
67,B
20,G
26,I
1,A
4,D
9,E
71,C
13,F
61,H
69,B
17,G
29,I
36,A
5,D
46,E
39,C
16,F
21,H
30,B
53,G
64,I
48,A
42,D
47,E
38,C
49,F
58,H
32,B
55,G
63,I
23,A
40,D
44,E
34,C
52,F
94,H
103,B
56,G
65,I
37,A
78,D
82,E
107,C
50,F
60,H
105,B
54,G
62,I
59,A
43,D
83,E
75,C
87,F
96,H
66,B
90,G
99,I
84,A
41,D
45,E
70,C
85,F
97,H
68,B
91,G
100,I
120,A
79,D
118,E
111,C
88,F
132,H
139,B
126,G
101,I
72,A
115,D
119,E
13,C
86,F
57,H
102,B
6,G
98,I
73,A
114,D
80,E
106,C
122,F
28,H
11,B
127,G
134,I
95,A
10,D
81,E
16,C
35,F
130,H
104,B
89,G
135,I
131,A
77,D
15,E
49,C
71,F
27,H
138,B
5,G
14,I
7,A
46,D
25,E
30,C
124,F
64,H
47,B
42,G
136,I
32,A
19,D
117,E
74,C
34,F
63,H
2,B
24,G
21,I
43,A
20,D
31,E
52,C
26,F
93,H
0,B
92,G
50,I
79,A
82,D
67,E
66,C
29,F
9,H
83,B
78,G
137,I
68,A
113,D
61,E
85,C
107,F
129,H
38,B
60,G
86,I
108,A
55,D
103,E
102,C
65,F
99,H
36,B
41,G
122,I
11,A
56,D
51,E
88,C
62,F
17,H
13,B
96,G
35,I
115,A
118,D
116,E
138,C
121,F
53,H
119,B
132,G
71,I
104,A
1,D
139,E
110,C
8,F
45,H
72,B
114,G
57,I
19,A
91,D
97,E
124,C
101,F
100,H
49,B
28,G
34,I
47,A
76,D
87,E
26,C
123,F
89,H
7,B
27,G
93,I
109,A
127,D
4,E
0,C
98,F
81,H
25,B
77,G
9,I
20,A
37,D
40,E
29,C
134,F
133,H
43,B
64,G
107,I
2,A
24,D
65,C
44,F
117,H
79,B
63,G
129,I
83,A
15,D
62,C
21,F
135,H
61,B
113,G
55,A
92,D
36,C
80,F
31,H
74,B
125,G
17,I
38,A
73,D
12,C
137,F
67,H
108,B
99,G
18,I
13,A
60,D
76,E
121,C
57,F
103,H
85,B
1,G
53,I
3,A
51,D
123,E
72,C
116,F
5,H
115,B
128,G
45,I
119,A
32,D
7,E
101,C
4,F
139,H
110,B
23,G
89,I
56,A
96,D
43,E
25,C
70,F
136,H
26,B
37,G
8,I
91,A
68,D
133,E
48,C
93,F
41,H
19,B
100,G
81,I
127,A
132,D
79,E
61,C
40,F
77,H
97,B
15,G
54,I
49,A
104,D
98,C
9,F
113,H
29,B
135,G
44,I
39,A
28,D
134,C
129,F
125,H
20,B
73,G
90,I
24,A
109,D
115,E
21,C
17,F
34,H
65,B
59,G
117,I
74,A
87,D
84,C
18,F
1,H
55,B
51,G
80,I
75,A
27,D
137,C
53,F
7,H
62,B
32,G
116,I
92,A
2,D
108,C
106,F
23,H
56,B
95,G
5,I
85,A
64,D
57,C
45,F
43,H
133,B
136,G
41,I
60,A
63,D
19,C
12,F
8,H
121,B
14,G
30,I
110,A
38,D
28,E
97,C
89,F
37,H
91,B
68,G
77,I
111,A
99,D
93,C
81,F
79,H
101,B
104,G
70,I
26,A
3,D
9,C
48,F
44,H
98,B
50,G
113,I
96,A
39,D
20,C
54,F
73,H
127,B
109,G
66,I
29,A
123,D
64,E
129,C
90,F
59,H
24,B
34,G
125,I
16,A
128,D
55,C
117,F
80,H
134,B
87,G
102,I
22,A
100,D
17,C
5,F
32,H
92,B
86,G
1,I
65,A
135,D
56,C
76,F
116,H
21,B
8,G
23,I
52,A
136,D
133,C
41,F
95,H
137,B
2,G
138,I
132,A
112,D
18,C
84,F
30,H
57,B
38,G
106,I
62,A
14,D
120,C
28,F
68,H
60,B
3,G
37,I
58,A
74,D
53,C
77,F
115,H
93,B
39,G
0,I
121,A
75,D
45,C
20,F
70,H
96,B
44,G
12,I
27,A
110,D
100,E
89,C
113,F
104,H
129,B
123,G
73,I
63,A
111,D
91,C
64,F
66,H
22,B
131,G
4,I
101,A
29,D
136,E
81,C
125,F
109,H
17,B
80,G
59,I
94,A
16,D
112,E
127,C
56,F
102,H
132,B
116,G
36,I
98,A
50,D
54,C
1,F
2,H
