id,count,mean,std,min,25%,50%,75%,max
0,43.0,11.279069767441861,14.629268740301718,7.0,7.0,7.0,7.0,100.0
1,76.0,12.552631578947368,12.461561953294197,7.0,7.0,7.0,14.0,100.0
2,68.0,12.794117647058824,14.28239582679029,7.0,7.0,7.0,14.0,100.0
3,62.0,12.903225806451612,15.765400669695788,7.0,7.0,7.0,14.0,100.0
4,63.0,11.80952380952381,13.621445547438912,7.0,7.0,7.0,14.0,100.0
5,77.0,12.116883116883116,12.027352626818706,7.0,7.0,7.0,14.0,100.0
6,28.0,11.071428571428571,17.56665311285282,7.0,7.0,7.0,7.0,100.0
7,71.0,11.661971830985916,13.255665809620353,7.0,7.0,7.0,7.0,100.0
8,81.0,10.74074074074074,11.801247579999517,7.0,7.0,7.0,7.0,100.0
9,62.0,11.661290322580646,13.739906636267492,7.0,7.0,7.0,14.0,100.0
10,13.0,14.692307692307692,25.704683799470654,7.0,7.0,7.0,7.0,100.0
11,27.0,13.555555555555555,19.260029022530517,7.0,7.0,7.0,10.5,100.0
12,46.0,10.543478260869565,13.871964567651677,7.0,7.0,7.0,7.0,100.0
13,56.0,11.285714285714286,13.096445438243276,7.0,7.0,7.0,14.0,100.0
14,74.0,11.472972972972974,12.270047027377444,7.0,7.0,7.0,14.0,100.0
15,31.0,12.03225806451613,16.83346641063122,7.0,7.0,7.0,10.5,100.0
16,64.0,11.515625,13.254519669405854,7.0,7.0,7.0,7.0,100.0
17,81.0,13.679012345679013,13.113759148785128,7.0,7.0,7.0,14.0,100.0
18,70.0,12.32857142857143,13.742688626438053,7.0,7.0,7.0,14.0,100.0
19,74.0,11.18918918918919,13.337223300259218,7.0,7.0,7.0,7.0,100.0
20,74.0,9.58108108108108,11.365661762889317,7.0,7.0,7.0,7.0,100.0
21,75.0,13.0,13.181682622364898,7.0,7.0,7.0,14.0,100.0
22,41.0,9.951219512195122,14.567002470501944,7.0,7.0,7.0,7.0,100.0
23,69.0,13.115942028985508,15.157541543523763,7.0,7.0,7.0,14.0,100.0
24,76.0,12.18421052631579,13.17847793570086,7.0,7.0,7.0,8.75,100.0
25,27.0,11.481481481481481,17.975133187417917,7.0,7.0,7.0,7.0,100.0
26,63.0,12.476190476190476,13.422245789272738,7.0,7.0,7.0,14.0,100.0
27,70.0,11.32857142857143,13.317441357348574,7.0,7.0,7.0,7.0,100.0
28,80.0,11.3125,12.604594048966453,7.0,7.0,7.0,7.0,100.0
29,62.0,11.32258064516129,13.706255833333898,7.0,7.0,7.0,7.0,100.0
30,46.0,10.695652173913043,13.948906074539625,7.0,7.0,7.0,7.0,100.0
31,18.0,14.5,22.513394705740637,7.0,7.0,7.0,7.0,100.0
32,73.0,11.438356164383562,13.151875976632324,7.0,7.0,7.0,7.0,100.0
33,19.0,11.894736842105264,21.335663249962245,7.0,7.0,7.0,7.0,100.0
34,71.0,11.76056338028169,14.313295306644493,7.0,7.0,7.0,7.0,100.0
35,14.0,15.642857142857142,24.647069237092307,7.0,7.0,7.0,12.25,100.0
36,38.0,12.394736842105264,16.776011628068588,7.0,7.0,7.0,14.0,107.0
37,80.0,13.0625,14.168376044799047,7.0,7.0,7.0,14.0,114.0
38,65.0,13.384615384615385,15.195283301583576,7.0,7.0,7.0,14.0,114.0
39,65.0,12.738461538461538,13.983558339927425,7.0,7.0,7.0,14.0,107.0
40,58.0,14.637931034482758,19.385922072257785,7.0,7.0,7.0,14.0,121.0
41,80.0,12.625,15.110877128576512,7.0,7.0,7.0,14.0,128.0
42,33.0,11.93939393939394,17.959919602303682,7.0,7.0,7.0,7.0,107.0
43,83.0,12.843373493975903,16.62240768544798,7.0,7.0,7.0,14.0,121.0
44,72.0,13.833333333333334,18.47571683794857,7.0,7.0,7.0,14.0,121.0
45,63.0,12.031746031746032,15.608070962174226,7.0,7.0,7.0,14.0,128.0
46,12.0,18.25,32.91621595395304,7.0,7.0,7.0,7.0,121.0
47,42.0,11.714285714285714,16.030893519649105,7.0,7.0,7.0,7.0,107.0
48,47.0,13.0,18.556611384812598,7.0,7.0,7.0,14.0,128.0
49,63.0,13.253968253968255,16.02514984477097,7.0,7.0,7.0,14.0,121.0
50,84.0,11.857142857142858,14.565301941739644,7.0,7.0,7.0,14.0,128.0
51,33.0,11.93939393939394,17.44086328486099,7.0,7.0,7.0,14.0,107.0
52,62.0,12.338709677419354,15.039776276225691,7.0,7.0,7.0,14.0,114.0
53,86.0,13.616279069767442,15.28718694905382,7.0,7.0,7.0,14.0,121.0
54,86.0,12.313953488372093,12.931731723265724,7.0,7.0,7.0,14.0,114.0
55,67.0,12.462686567164178,16.7298756160213,7.0,7.0,7.0,7.0,128.0
56,74.0,10.432432432432432,13.13061995122817,7.0,7.0,7.0,7.0,114.0
57,71.0,14.32394366197183,15.743274888832758,7.0,7.0,7.0,21.0,128.0
58,44.0,10.863636363636363,16.853114968567777,7.0,7.0,7.0,7.0,114.0
59,68.0,12.794117647058824,15.072520041581068,7.0,7.0,7.0,14.0,121.0
60,85.0,12.376470588235295,14.084757440469563,7.0,7.0,7.0,14.0,121.0
61,34.0,12.617647058823529,19.02472825574628,7.0,7.0,7.0,7.0,114.0
62,73.0,12.205479452054794,14.763843695654286,7.0,7.0,7.0,14.0,114.0
63,76.0,12.552631578947368,14.92237223039474,7.0,7.0,7.0,14.0,114.0
64,85.0,13.611764705882353,16.00973968263951,7.0,7.0,7.0,14.0,121.0
65,70.0,12.528571428571428,15.288265300570275,7.0,7.0,7.0,14.0,128.0
66,39.0,12.256410256410257,19.629084152587602,7.0,7.0,7.0,7.0,128.0
67,21.0,19.761904761904763,30.084721640568258,7.0,7.0,7.0,14.0,121.0
68,71.0,13.04225352112676,17.225758635351312,7.0,7.0,7.0,14.0,128.0
69,14.0,16.642857142857142,30.305133210416667,7.0,7.0,7.0,7.0,121.0
70,71.0,14.619718309859154,18.954355848559004,7.0,7.0,7.0,14.0,135.0
71,17.0,15.764705882352942,27.646268762178163,7.0,7.0,7.0,7.0,121.0
72,45.0,14.2,20.875823337056673,7.0,7.0,7.0,14.0,142.0
73,73.0,12.780821917808218,16.715965900352128,7.0,7.0,7.0,14.0,135.0
74,67.0,15.283582089552239,19.88665303142793,7.0,7.0,7.0,14.0,149.0
75,66.0,12.757575757575758,16.45418871717249,7.0,7.0,7.0,14.0,128.0
76,56.0,14.660714285714286,21.974594244440382,7.0,7.0,7.0,14.0,156.0
77,67.0,14.238805970149254,19.675465072658852,7.0,7.0,7.0,14.0,156.0
78,31.0,12.709677419354838,22.888415626523237,7.0,7.0,7.0,10.5,135.0
79,85.0,12.541176470588235,16.849157772632406,7.0,7.0,7.0,14.0,142.0
80,68.0,15.882352941176471,25.104277694451607,7.0,7.0,7.0,14.0,170.0
81,67.0,14.134328358208956,19.226635188675786,7.0,7.0,7.0,14.0,149.0
82,25.0,13.8,28.502923826629903,7.0,7.0,7.0,7.0,149.0
83,38.0,12.578947368421053,20.84904765333921,7.0,7.0,7.0,12.25,135.0
84,49.0,14.612244897959183,22.708126598322508,7.0,7.0,7.0,14.0,156.0
85,77.0,13.571428571428571,19.106645696574684,7.0,7.0,7.0,14.0,156.0
