id,count,mean,std,min,25%,50%,75%,max
0,25.0,18.68,21.189069509222595,7.0,7.0,14.0,21.0,110.0
1,39.0,18.435897435897434,18.776798213409506,7.0,7.0,14.0,21.0,110.0
2,41.0,20.097560975609756,19.073286132767972,7.0,7.0,14.0,28.0,110.0
3,36.0,19.0,22.503333086456326,7.0,7.0,14.0,21.0,110.0
4,27.0,17.555555555555557,21.75445725032942,7.0,7.0,7.0,21.0,110.0
5,32.0,16.78125,19.315269532076798,7.0,7.0,7.0,21.0,110.0
6,13.0,16.53846153846154,28.244808917201592,7.0,7.0,7.0,14.0,110.0
7,38.0,14.131578947368421,19.429944920192312,7.0,7.0,7.0,7.0,110.0
8,36.0,19.77777777777778,21.018510360579263,7.0,7.0,7.0,29.75,110.0
9,26.0,20.115384615384617,23.56153971722039,7.0,7.0,14.0,21.0,110.0
10,12.0,16.75,29.489982890959617,7.0,7.0,7.0,8.75,110.0
11,17.0,16.764705882352942,25.021314443301897,7.0,7.0,7.0,21.0,110.0
12,14.0,14.857142857142858,27.447452292747272,7.0,7.0,7.0,7.0,110.0
13,40.0,13.25,16.98528775146303,7.0,7.0,7.0,14.0,110.0
14,36.0,15.694444444444445,19.4771946417114,7.0,7.0,7.0,14.0,110.0
15,17.0,13.470588235294118,24.932703541380203,7.0,7.0,7.0,7.0,110.0
16,33.0,18.181818181818183,20.938085134293182,7.0,7.0,7.0,21.0,110.0
17,36.0,19.194444444444443,20.40002723309729,7.0,7.0,14.0,21.0,110.0
18,39.0,16.102564102564102,18.188768761019407,7.0,7.0,7.0,21.0,110.0
19,38.0,16.526315789473685,19.90346546235342,7.0,7.0,7.0,19.25,110.0
20,38.0,14.131578947368421,18.16169276047889,7.0,7.0,7.0,14.0,110.0
21,38.0,17.81578947368421,18.690733739964962,7.0,7.0,10.5,21.0,110.0
22,21.0,12.571428571428571,22.42224660593008,7.0,7.0,7.0,7.0,110.0
23,30.0,20.7,23.52716698216971,7.0,7.0,10.5,21.0,110.0
24,43.0,17.372093023255815,19.112478167559185,7.0,7.0,7.0,21.0,110.0
25,22.0,13.909090909090908,21.82159064279729,7.0,7.0,7.0,14.0,110.0
26,43.0,15.581395348837209,17.67865616275542,7.0,7.0,7.0,17.5,110.0
27,40.0,17.275,19.489625774255202,7.0,7.0,10.5,21.0,110.0
28,37.0,15.837837837837839,19.082443230352858,7.0,7.0,7.0,14.0,110.0
29,29.0,16.586206896551722,20.626815489584892,7.0,7.0,7.0,14.0,110.0
30,23.0,15.434782608695652,23.125794506167825,7.0,7.0,7.0,7.0,110.0
31,7.0,31.714285714285715,37.39747890662455,7.0,7.0,14.0,38.5,110.0
32,44.0,20.954545454545453,21.31377384703462,7.0,7.0,14.0,22.75,110.0
33,8.0,20.75,36.145539143855636,7.0,7.0,7.0,8.75,110.0
34,39.0,17.53846153846154,20.94208323454066,7.0,7.0,7.0,17.5,110.0
35,7.0,25.714285714285715,37.963641754158616,7.0,7.0,7.0,21.0,110.0
36,36.0,15.694444444444445,20.143512879115978,7.0,7.0,14.0,14.0,124.0
37,37.0,20.37837837837838,22.568846954438165,7.0,7.0,14.0,28.0,124.0
38,44.0,19.045454545454547,22.517129960300192,7.0,7.0,14.0,21.0,138.0
39,43.0,18.023255813953487,22.03837386198492,7.0,7.0,7.0,21.0,117.0
40,36.0,18.22222222222222,20.913578789336313,7.0,7.0,7.0,21.0,117.0
41,33.0,21.363636363636363,22.25395776853269,7.0,7.0,14.0,28.0,124.0
