id,count,mean,std,min,25%,50%,75%,max
0,40.0,12.0,25.823860959813793,0.0,0.0,0.0,14.0,151.0
1,49.0,10.224489795918368,20.64104457357804,0.0,0.0,7.0,14.0,130.0
2,49.0,11.224489795918368,21.270348400729954,0.0,0.0,7.0,14.0,144.0
3,49.0,9.795918367346939,20.531459186490633,0.0,0.0,0.0,14.0,130.0
4,46.0,14.391304347826088,21.44810611775891,0.0,0.0,7.0,21.0,130.0
5,48.0,8.25,21.890928850952097,0.0,0.0,3.5,8.75,151.0
6,34.0,8.352941176470589,24.961646158980223,0.0,0.0,0.0,5.25,137.0
7,52.0,17.576923076923077,37.031701392104125,0.0,0.0,7.0,14.0,175.0
8,53.0,12.754716981132075,20.502256592851655,0.0,0.0,7.0,21.0,137.0
9,57.0,9.280701754385966,22.259632253704808,0.0,0.0,7.0,7.0,158.0
10,25.0,7.16,25.867740527537386,0.0,0.0,0.0,7.0,130.0
11,37.0,6.918918918918919,23.653022332578672,0.0,0.0,0.0,7.0,144.0
12,37.0,19.594594594594593,26.272566447679747,0.0,7.0,14.0,28.0,137.0
13,58.0,8.275862068965518,18.81562723353031,0.0,0.0,0.0,12.25,130.0
14,47.0,15.872340425531915,25.21095088256947,0.0,0.0,7.0,21.0,151.0
15,35.0,11.714285714285714,28.234908960958478,0.0,0.0,0.0,7.0,144.0
16,47.0,14.53191489361702,28.981141592294104,0.0,0.0,7.0,21.0,140.0
17,44.0,18.545454545454547,31.160092654021238,0.0,0.0,7.0,15.75,140.0
18,49.0,13.795918367346939,27.035454801547736,0.0,0.0,7.0,14.0,151.0
19,51.0,12.568627450980392,22.39486986071657,0.0,0.0,7.0,14.0,144.0
20,49.0,14.36734693877551,22.31095944966567,0.0,0.0,7.0,21.0,137.0
21,47.0,14.53191489361702,26.28840963306981,0.0,0.0,7.0,14.0,151.0
22,37.0,8.054054054054054,22.833875840204744,0.0,0.0,0.0,7.0,137.0
23,44.0,13.454545454545455,25.14003066125912,0.0,0.0,7.0,14.0,144.0
24,48.0,14.958333333333334,23.72713531707125,0.0,0.0,7.0,15.75,144.0
25,36.0,10.416666666666666,22.826519664635693,0.0,0.0,0.0,8.75,130.0
26,47.0,17.21276595744681,29.25965925253519,0.0,0.0,7.0,14.0,147.0
27,47.0,12.0,22.569698809417595,0.0,0.0,7.0,14.0,151.0
28,54.0,13.037037037037036,22.23456680186342,0.0,0.0,7.0,21.0,137.0
29,50.0,16.46,27.454013497899663,0.0,0.0,7.0,14.0,144.0
30,41.0,10.682926829268293,24.392046884579248,0.0,0.0,7.0,7.0,144.0
31,24.0,10.083333333333334,28.981128292415555,0.0,0.0,0.0,1.75,137.0
32,49.0,12.224489795918368,24.37234199706234,0.0,0.0,7.0,14.0,151.0
33,23.0,8.08695652173913,27.1191194605615,0.0,0.0,0.0,3.5,130.0
34,50.0,13.24,24.36672203758936,0.0,0.0,7.0,19.25,165.0
35,21.0,8.857142857142858,29.633234238411635,0.0,0.0,0.0,7.0,137.0
36,40.0,12.35,28.910604921431112,0.0,0.0,7.0,14.0,172.0
37,49.0,10.795918367346939,23.214560437934868,0.0,0.0,7.0,14.0,158.0
38,49.0,14.224489795918368,26.12172252656976,0.0,0.0,7.0,14.0,172.0
39,49.0,12.795918367346939,24.43186068081043,0.0,0.0,7.0,14.0,158.0
40,45.0,14.4,27.585734126042887,0.0,0.0,7.0,14.0,172.0
41,48.0,10.0,27.9109526278797,0.0,0.0,7.0,8.75,193.0
42,34.0,11.029411764705882,28.630864141022283,0.0,0.0,0.0,12.25,158.0
43,50.0,13.52,26.946083733474676,0.0,0.0,7.0,14.0,165.0
44,51.0,10.509803921568627,26.598776324500054,0.0,0.0,0.0,7.0,179.0
45,57.0,9.649122807017545,25.68107365083573,0.0,0.0,0.0,7.0,186.0
46,23.0,10.217391304347826,32.1586359414178,0.0,0.0,0.0,3.5,151.0
47,36.0,8.86111111111111,27.595188791607214,0.0,0.0,0.0,7.0,165.0
48,37.0,17.89189189189189,30.083018265925176,0.0,0.0,7.0,21.0,165.0
49,58.0,9.362068965517242,23.526542141121535,0.0,0.0,0.0,7.0,165.0
50,44.0,21.886363636363637,38.49809171295523,0.0,0.0,7.0,21.0,172.0
51,34.0,12.058823529411764,30.55044628595374,0.0,0.0,0.0,7.0,158.0
52,46.0,15.304347826086957,30.441104933382714,0.0,0.0,7.0,14.0,179.0
53,44.0,16.954545454545453,31.63965317883487,0.0,0.0,7.0,14.0,165.0
54,48.0,14.666666666666666,34.05148375767627,0.0,0.0,7.0,7.0,179.0
55,50.0,13.1,25.012853838433895,0.0,0.0,7.0,14.0,172.0
56,48.0,16.708333333333332,25.91143535718358,0.0,0.0,7.0,21.0,158.0
57,46.0,17.130434782608695,31.929511737681857,0.0,0.0,7.0,21.0,172.0
58,36.0,9.63888888888889,27.833333333333332,0.0,0.0,3.5,7.0,165.0
59,43.0,16.209302325581394,36.77703614481324,0.0,0.0,7.0,14.0,179.0
60,48.0,13.0625,27.18291566876738,0.0,0.0,7.0,14.0,179.0
61,36.0,10.61111111111111,26.896922583158922,0.0,0.0,0.0,14.0,158.0
62,47.0,13.48936170212766,26.088371839497622,0.0,0.0,7.0,14.0,158.0
63,46.0,15.91304347826087,27.805535889224586,0.0,0.0,7.0,19.25,172.0
64,52.0,12.596153846153847,23.753026321436344,0.0,0.0,7.0,14.0,165.0
65,49.0,13.081632653061224,28.875333139993003,0.0,0.0,7.0,14.0,179.0
66,41.0,12.902439024390244,28.075616536461656,0.0,0.0,7.0,14.0,172.0
67,24.0,13.291666666666666,32.43921294100528,0.0,0.0,7.0,7.0,158.0
68,48.0,13.354166666666666,26.53178710434626,0.0,0.0,7.0,14.0,179.0
69,23.0,10.217391304347826,34.05204108385112,0.0,0.0,0.0,7.0,165.0
70,47.0,12.446808510638299,26.978903602499667,0.0,0.0,7.0,14.0,179.0
71,21.0,12.19047619047619,32.782036312009424,0.0,0.0,0.0,7.0,151.0
72,39.0,14.461538461538462,34.483288213160634,0.0,0.0,7.0,14.0,214.0
73,49.0,12.224489795918368,28.712849407337394,0.0,0.0,0.0,14.0,186.0
74,46.0,20.32608695652174,47.141420498008415,0.0,7.0,10.5,21.0,319.0
75,49.0,13.36734693877551,29.875919705195564,0.0,0.0,7.0,14.0,186.0
76,42.0,17.095238095238095,43.3183392266666,0.0,0.0,7.0,14.0,263.0
77,48.0,11.020833333333334,33.03736735643401,0.0,0.0,3.5,14.0,228.0
78,34.0,10.411764705882353,31.059198263822648,0.0,0.0,0.0,7.0,179.0
79,48.0,16.708333333333332,33.408470281125155,0.0,0.0,7.0,14.0,186.0
80,50.0,15.62,30.172219957153587,0.0,0.0,7.0,19.25,200.0
81,56.0,9.696428571428571,29.308341749472895,0.0,0.0,0.0,7.0,214.0
82,23.0,12.043478260869565,36.2095897153196,0.0,0.0,0.0,7.0,172.0
83,35.0,10.114285714285714,34.967019274950935,0.0,0.0,0.0,7.0,207.0
84,37.0,14.486486486486486,32.05084642808606,0.0,0.0,7.0,14.0,193.0
85,56.0,11.196428571428571,31.709717261924123,0.0,0.0,0.0,14.0,228.0
86,44.0,19.818181818181817,33.750984638365686,0.0,0.0,7.0,28.0,200.0
87,33.0,12.636363636363637,37.371294282692915,0.0,0.0,0.0,14.0,214.0
88,46.0,14.695652173913043,33.478264633916595,0.0,0.0,7.0,12.25,186.0
89,44.0,13.772727272727273,38.91784049337882,0.0,0.0,7.0,14.0,256.0
90,47.0,13.638297872340425,33.230045029941685,0.0,0.0,0.0,10.5,186.0
91,48.0,13.9375,30.5957904558294,0.0,0.0,7.0,14.0,193.0
92,48.0,14.958333333333334,33.28341119826674,0.0,0.0,7.0,15.75,221.0
93,45.0,17.666666666666668,36.16439735933169,0.0,0.0,7.0,14.0,186.0
94,33.0,13.909090909090908,37.291389452160765,0.0,0.0,0.0,14.0,207.0
95,43.0,19.953488372093023,38.29394673560231,0.0,0.0,7.0,17.5,200.0
96,47.0,14.829787234042554,30.56875297831756,0.0,0.0,7.0,21.0,193.0
97,36.0,13.527777777777779,39.6033808882244,0.0,0.0,0.0,7.0,221.0
98,47.0,12.74468085106383,29.214698567603424,0.0,0.0,7.0,14.0,186.0
99,44.0,16.318181818181817,31.327061432772226,0.0,7.0,7.0,14.0,200.0
