id,count,mean,std,min,25%,50%,75%,max
0,33.0,17.848484848484848,21.5872086143062,7.0,7.0,7.0,21.0,120.0
1,35.0,24.62857142857143,24.32631800949662,7.0,7.0,21.0,28.0,120.0
2,41.0,23.24390243902439,23.86187386586066,7.0,7.0,14.0,28.0,120.0
3,37.0,21.216216216216218,23.709040862477305,7.0,7.0,7.0,28.0,120.0
4,32.0,24.75,29.37301812120074,7.0,7.0,14.0,22.75,120.0
5,36.0,21.02777777777778,21.88213375742361,7.0,7.0,14.0,22.75,120.0
6,14.0,25.571428571428573,31.726509870633876,7.0,7.0,14.0,29.75,120.0
7,39.0,17.256410256410255,21.36120185451572,7.0,7.0,7.0,17.5,120.0
8,39.0,20.307692307692307,25.48389981532597,7.0,7.0,7.0,21.0,120.0
9,40.0,17.35,20.304792916565667,7.0,7.0,10.5,21.0,120.0
10,7.0,27.142857142857142,42.25489546166445,7.0,7.0,7.0,21.0,120.0
11,9.0,21.11111111111111,37.20700352233583,7.0,7.0,7.0,14.0,120.0
12,12.0,20.5,32.48915903105918,7.0,7.0,7.0,15.75,120.0
13,38.0,17.342105263157894,20.510084949538086,7.0,7.0,7.0,21.0,120.0
14,33.0,17.848484848484848,21.869100936197075,7.0,7.0,7.0,21.0,120.0
15,16.0,20.625,30.18802190715163,7.0,7.0,7.0,15.75,120.0
16,37.0,22.72972972972973,25.20543222826805,7.0,7.0,14.0,28.0,120.0
17,36.0,26.27777777777778,23.44307526281008,7.0,7.0,21.0,35.0,120.0
18,37.0,19.324324324324323,21.029151795191957,7.0,7.0,14.0,21.0,120.0
19,42.0,17.357142857142858,23.46333042354516,7.0,7.0,7.0,14.0,120.0
20,33.0,14.454545454545455,20.564062872355304,7.0,7.0,7.0,14.0,120.0
21,41.0,22.21951219512195,20.220672831439057,7.0,14.0,14.0,28.0,120.0
22,22.0,17.545454545454547,26.966870808681552,7.0,7.0,7.0,12.25,120.0
23,35.0,26.428571428571427,29.109616072685668,7.0,7.0,14.0,24.5,120.0
24,41.0,21.195121951219512,25.40789199460979,7.0,7.0,7.0,21.0,120.0
25,13.0,27.0,34.1418609139377,7.0,7.0,7.0,35.0,120.0
26,39.0,23.0,20.62318572562649,7.0,14.0,14.0,28.0,120.0
27,36.0,28.02777777777778,29.07280134038992,7.0,7.0,14.0,43.75,120.0
28,42.0,19.357142857142858,22.12803257824726,7.0,7.0,7.0,28.0,120.0
29,38.0,17.157894736842106,21.080958893762684,7.0,7.0,7.0,21.0,120.0
30,23.0,20.73913043478261,27.55856143379758,7.0,7.0,7.0,21.0,120.0
