id,count,mean,std,min,25%,50%,75%,max
0,27.0,18.962962962962962,22.039268243962745,7.0,7.0,14.0,21.0,120.0
1,33.0,28.87878787878788,25.51685420432637,7.0,7.0,21.0,42.0,120.0
2,39.0,23.53846153846154,22.220007761908438,7.0,7.0,14.0,28.0,120.0
3,34.0,24.529411764705884,27.850504912584938,7.0,7.0,14.0,28.0,120.0
4,30.0,24.066666666666666,28.27809354805666,7.0,7.0,7.0,26.25,120.0
5,39.0,20.128205128205128,22.206186296875742,7.0,7.0,14.0,21.0,120.0
6,17.0,19.823529411764707,27.589027017361555,7.0,7.0,7.0,21.0,120.0
7,44.0,16.727272727272727,20.88101801443691,7.0,7.0,7.0,21.0,120.0
8,39.0,17.794871794871796,21.71972119523914,7.0,7.0,7.0,21.0,120.0
9,40.0,17.175,22.476069895529285,7.0,7.0,7.0,15.75,120.0
10,7.0,28.142857142857142,42.55360764740781,7.0,7.0,7.0,24.5,120.0
11,17.0,14.058823529411764,27.352949082857812,7.0,7.0,7.0,7.0,120.0
12,18.0,16.0,26.40187159141207,7.0,7.0,7.0,14.0,120.0
13,31.0,18.774193548387096,23.106578684318965,7.0,7.0,7.0,21.0,120.0
14,38.0,17.710526315789473,20.184162770413145,7.0,7.0,10.5,21.0,120.0
15,17.0,22.705882352941178,29.85331787649899,7.0,7.0,7.0,21.0,120.0
16,42.0,24.19047619047619,26.289419271284228,7.0,7.0,17.5,26.25,120.0
17,40.0,22.425,23.84015950299421,7.0,7.0,14.0,29.75,120.0
18,41.0,17.78048780487805,20.116550642595204,7.0,7.0,14.0,21.0,120.0
19,45.0,18.22222222222222,22.508472030133742,7.0,7.0,7.0,21.0,120.0
20,27.0,20.77777777777778,24.595705274472575,7.0,7.0,14.0,21.0,120.0
21,44.0,22.136363636363637,21.611356735700713,7.0,7.0,14.0,28.0,120.0
22,23.0,13.434782608695652,23.97882794723963,7.0,7.0,7.0,7.0,120.0
23,37.0,24.43243243243243,32.60669711419261,7.0,7.0,14.0,21.0,147.0
24,44.0,22.136363636363637,21.92544545869862,7.0,7.0,14.0,28.0,120.0
25,20.0,14.75,25.997722572320992,7.0,7.0,7.0,7.0,120.0
26,39.0,21.025641025641026,20.691324369975348,7.0,7.0,14.0,21.0,120.0
27,37.0,22.91891891891892,20.58232572213675,7.0,7.0,14.0,35.0,120.0
28,43.0,18.41860465116279,20.096472751561745,7.0,7.0,14.0,21.0,120.0
29,40.0,18.05,20.111165415235746,7.0,7.0,14.0,21.0,120.0
30,29.0,15.96551724137931,21.978045471757053,7.0,7.0,7.0,21.0,120.0
31,12.0,25.166666666666668,33.81993315764947,7.0,7.0,7.0,28.0,120.0
32,36.0,21.22222222222222,21.72044607685988,7.0,7.0,14.0,28.0,120.0
33,11.0,17.90909090909091,33.92478311044757,7.0,7.0,7.0,7.0,120.0
34,42.0,16.357142857142858,20.38031262903351,7.0,7.0,7.0,19.25,120.0
35,9.0,21.88888888888889,37.112815995436286,7.0,7.0,7.0,14.0,120.0
36,33.0,21.454545454545453,27.531902982143855,7.0,7.0,7.0,21.0,148.0
37,43.0,26.069767441860463,24.74286366461209,7.0,7.0,14.0,35.0,127.0
38,37.0,24.62162162162162,28.41982030531133,7.0,7.0,14.0,35.0,127.0
39,34.0,24.735294117647058,30.662689620438687,7.0,7.0,14.0,28.0,141.0
40,28.0,29.535714285714285,31.456592246573624,7.0,7.0,14.0,42.0,141.0
41,41.0,23.414634146341463,25.287324502362935,7.0,7.0,14.0,28.0,141.0
42,18.0,18.72222222222222,28.225573626340132,7.0,7.0,7.0,19.25,127.0
43,41.0,17.4390243902439,24.034401158014948,7.0,7.0,7.0,21.0,148.0
44,37.0,27.08108108108108,31.683660684244714,7.0,7.0,14.0,35.0,155.0
45,39.0,19.58974358974359,23.854512922602904,7.0,7.0,14.0,21.0,141.0
46,8.0,29.875,43.750714279883475,7.0,7.0,7.0,26.25,127.0
47,19.0,17.0,28.92711146619686,7.0,7.0,7.0,14.0,134.0
48,24.0,19.291666666666668,28.27117008492953,7.0,7.0,7.0,14.0,134.0
49,37.0,18.18918918918919,25.41307388578415,7.0,7.0,7.0,21.0,155.0
50,36.0,18.5,24.847535089018386,7.0,7.0,7.0,21.0,134.0
51,18.0,25.333333333333332,32.14123245193643,7.0,7.0,14.0,19.25,127.0
52,42.0,24.857142857142858,26.713996905405615,7.0,7.0,14.0,33.25,141.0
53,38.0,25.63157894736842,29.23846139020608,7.0,7.0,14.0,33.25,148.0
54,40.0,21.55,22.843896115671463,7.0,7.0,14.0,28.0,134.0
55,44.0,19.59090909090909,21.337071333897313,7.0,7.0,14.0,21.0,127.0
56,32.0,24.3125,33.85208575076903,7.0,7.0,10.5,29.75,148.0
57,40.0,25.575,24.603405538716874,7.0,7.0,21.0,35.0,141.0
58,22.0,14.681818181818182,28.534667909882405,7.0,7.0,7.0,7.0,141.0
59,36.0,26.083333333333332,29.083500477074622,7.0,7.0,17.5,29.75,148.0
60,41.0,23.414634146341463,24.60688481884298,7.0,7.0,14.0,28.0,148.0
61,25.0,15.72,25.039169315294785,7.0,7.0,7.0,7.0,127.0
62,42.0,22.023809523809526,21.461807365118812,7.0,7.0,17.5,28.0,127.0
