id,count,mean,std,min,25%,50%,75%,max
0,42.0,12.19047619047619,21.89357639977055,0.0,0.0,7.0,14.0,134.0
1,54.0,8.703703703703704,18.20287104622912,0.0,0.0,0.0,7.0,120.0
2,53.0,10.18867924528302,18.356571453562704,0.0,0.0,7.0,14.0,120.0
3,53.0,8.339622641509434,19.637036628452112,0.0,0.0,0.0,7.0,134.0
4,48.0,10.958333333333334,21.395921597185474,0.0,0.0,7.0,14.0,141.0
5,55.0,10.2,19.630286501937462,0.0,0.0,7.0,10.5,134.0
6,35.0,9.428571428571429,22.608282857871195,0.0,0.0,0.0,7.0,127.0
7,57.0,13.894736842105264,23.908818016526215,0.0,0.0,7.0,14.0,120.0
8,57.0,10.947368421052632,20.09123925338709,0.0,0.0,7.0,14.0,141.0
9,59.0,8.915254237288135,19.3838611644106,0.0,0.0,0.0,10.5,134.0
10,24.0,7.625,25.810029226943005,0.0,0.0,0.0,7.0,127.0
11,37.0,7.594594594594595,20.11696279740538,0.0,0.0,0.0,7.0,120.0
12,43.0,13.046511627906977,22.703003250432467,0.0,0.0,7.0,14.0,127.0
13,59.0,8.440677966101696,19.861825441717706,0.0,0.0,7.0,7.0,141.0
14,52.0,12.26923076923077,20.097912665606067,0.0,0.0,7.0,14.0,127.0
15,36.0,9.944444444444445,23.283279646800427,0.0,0.0,0.0,7.0,120.0
16,51.0,11.686274509803921,20.77256863854678,0.0,0.0,7.0,14.0,134.0
17,51.0,13.882352941176471,26.380786234548456,0.0,0.0,7.0,14.0,141.0
18,52.0,12.134615384615385,20.63504428854823,0.0,0.0,7.0,14.0,134.0
19,54.0,11.685185185185185,19.674544490494707,0.0,0.0,7.0,14.0,127.0
20,55.0,14.654545454545454,20.757165814723663,0.0,0.0,7.0,21.0,120.0
21,53.0,9.528301886792454,20.111806495750113,0.0,0.0,7.0,14.0,134.0
22,36.0,8.38888888888889,21.36924061459472,0.0,0.0,0.0,7.0,120.0
23,50.0,13.74,28.793997390329224,0.0,0.0,7.0,14.0,141.0
24,53.0,12.30188679245283,20.247112715017664,0.0,0.0,7.0,14.0,141.0
25,36.0,9.75,21.98749644684451,0.0,0.0,0.0,8.75,127.0
26,54.0,11.425925925925926,20.3484753050368,0.0,0.0,7.0,14.0,141.0
27,51.0,12.372549019607844,20.720965985507263,0.0,0.0,7.0,14.0,134.0
28,57.0,11.31578947368421,18.08823403559109,0.0,0.0,7.0,14.0,120.0
29,56.0,10.392857142857142,18.847405002404848,0.0,0.0,7.0,14.0,127.0
30,43.0,10.767441860465116,23.323641397989626,0.0,0.0,7.0,14.0,148.0
31,24.0,9.083333333333334,26.18150137965265,0.0,0.0,0.0,7.0,127.0
32,54.0,9.61111111111111,19.697156835984828,0.0,0.0,7.0,14.0,134.0
33,24.0,6.458333333333333,24.443331386604452,0.0,0.0,0.0,0.0,120.0
34,54.0,12.203703703703704,21.71199097414826,0.0,0.0,7.0,14.0,148.0
35,21.0,10.380952380952381,27.999064610226164,0.0,0.0,0.0,7.0,127.0
36,42.0,12.69047619047619,27.401698447659996,0.0,0.0,7.0,14.0,155.0
37,53.0,11.773584905660377,23.290507730894245,0.0,0.0,7.0,14.0,162.0
38,53.0,10.584905660377359,23.285381649194008,0.0,0.0,7.0,14.0,162.0
39,53.0,10.452830188679245,21.412223358252323,0.0,0.0,7.0,14.0,141.0
40,46.0,13.565217391304348,26.119938892146525,0.0,0.0,7.0,14.0,155.0
41,55.0,11.090909090909092,23.79174516606838,0.0,0.0,7.0,14.0,169.0
42,35.0,10.228571428571428,25.81163179914152,0.0,0.0,0.0,10.5,148.0
43,55.0,13.0,24.673422498262738,0.0,0.0,7.0,14.0,162.0
44,54.0,13.75925925925926,25.91709218576572,0.0,0.0,7.0,19.25,176.0
45,58.0,9.310344827586206,22.842870511657267,0.0,0.0,0.0,7.0,162.0
46,23.0,9.478260869565217,30.905824054283173,0.0,0.0,0.0,3.5,148.0
47,37.0,8.162162162162161,25.426925266900213,0.0,0.0,0.0,7.0,155.0
48,40.0,14.025,28.300120050483795,0.0,0.0,7.0,14.0,148.0
49,58.0,10.637931034482758,25.77684141897568,0.0,0.0,0.0,12.25,169.0
50,51.0,12.235294117647058,23.62421489514021,0.0,0.0,7.0,14.0,155.0
51,36.0,8.583333333333334,26.822565127146206,0.0,0.0,0.0,7.0,148.0
52,51.0,12.098039215686274,23.68143146176834,0.0,0.0,7.0,14.0,162.0
53,50.0,13.04,26.388742188397583,0.0,0.0,7.0,14.0,169.0
54,51.0,12.372549019607844,26.097479406497268,0.0,0.0,7.0,10.5,155.0
55,54.0,12.592592592592593,21.159340253044167,0.0,0.0,7.0,14.0,148.0
56,54.0,13.62962962962963,23.88122835586072,0.0,0.0,7.0,14.0,162.0
57,53.0,10.716981132075471,25.46066148038711,0.0,0.0,7.0,14.0,176.0
58,35.0,10.428571428571429,26.9676120715264,0.0,0.0,0.0,14.0,155.0
59,50.0,13.04,31.60596688692094,0.0,0.0,0.0,14.0,183.0
60,50.0,15.0,25.219040425836983,0.0,0.0,7.0,21.0,162.0
61,36.0,10.333333333333334,25.059928172283332,0.0,0.0,7.0,8.75,148.0
62,53.0,11.50943396226415,23.059807392541945,0.0,0.0,7.0,14.0,162.0
63,49.0,14.16326530612245,23.18795209691834,0.0,0.0,7.0,21.0,155.0
64,55.0,12.49090909090909,23.59917820859896,0.0,0.0,7.0,14.0,169.0
65,53.0,11.50943396226415,22.002292399367978,0.0,0.0,7.0,14.0,148.0
66,43.0,11.581395348837209,27.163729807488945,0.0,0.0,7.0,14.0,176.0
67,24.0,11.416666666666666,31.55797517429547,0.0,0.0,0.0,14.0,155.0
68,54.0,10.0,22.741367841903326,0.0,0.0,3.5,14.0,162.0
69,23.0,10.391304347826088,29.51230734092101,0.0,0.0,0.0,7.0,141.0
70,53.0,13.09433962264151,25.95133326272867,0.0,0.0,7.0,14.0,176.0
71,21.0,11.380952380952381,33.67265387592162,0.0,0.0,0.0,7.0,155.0
72,40.0,14.025,27.691049650911225,0.0,0.0,7.0,14.0,169.0
73,53.0,9.79245283018868,24.546939720404154,0.0,0.0,7.0,14.0,176.0
74,52.0,13.076923076923077,28.675224090169156,0.0,0.0,7.0,14.0,204.0
75,52.0,9.576923076923077,23.86016957835154,0.0,0.0,7.0,14.0,169.0
76,45.0,13.088888888888889,30.748113188396857,0.0,0.0,7.0,14.0,204.0
77,53.0,11.245283018867925,31.084194388527177,0.0,0.0,7.0,14.0,225.0
78,34.0,11.970588235294118,31.487838243030456,0.0,0.0,0.0,12.25,176.0
79,53.0,13.49056603773585,27.016820004119253,0.0,0.0,7.0,14.0,183.0
80,53.0,13.754716981132075,28.95414521962493,0.0,0.0,7.0,14.0,204.0
81,58.0,10.637931034482758,26.183360375562255,0.0,0.0,0.0,14.0,183.0
82,23.0,9.782608695652174,35.18904339000361,0.0,0.0,0.0,0.0,169.0
83,35.0,9.628571428571428,32.33563479059788,0.0,0.0,0.0,7.0,190.0
84,40.0,18.4,31.671227741700612,0.0,0.0,7.0,28.0,190.0
85,56.0,12.392857142857142,30.95843463944318,0.0,0.0,0.0,14.0,204.0
86,51.0,14.980392156862745,30.81395151296142,0.0,0.0,7.0,17.5,183.0
87,35.0,13.628571428571428,38.68126595827047,0.0,0.0,0.0,7.0,218.0
