id,count,mean,std,min,25%,50%,75%,max
0,42.0,13.19047619047619,23.224501459889183,0.0,0.0,7.0,14.0,134.0
1,53.0,8.867924528301886,17.868147138078996,0.0,0.0,7.0,14.0,120.0
2,53.0,10.320754716981131,17.837701629398573,0.0,0.0,7.0,14.0,120.0
3,51.0,11.27450980392157,21.35048330260704,0.0,0.0,7.0,14.0,134.0
4,48.0,10.520833333333334,19.545897521707158,0.0,0.0,7.0,14.0,120.0
5,53.0,10.584905660377359,21.587419735955326,0.0,0.0,0.0,14.0,141.0
6,35.0,9.428571428571429,23.857771842963967,0.0,0.0,0.0,7.0,134.0
7,54.0,16.74074074074074,23.341747509546945,0.0,0.0,7.0,21.0,127.0
8,55.0,12.49090909090909,20.976064602190903,0.0,0.0,7.0,14.0,148.0
9,57.0,10.456140350877194,20.859282085508287,0.0,0.0,7.0,14.0,134.0
10,24.0,7.916666666666667,24.99202771436048,0.0,0.0,0.0,7.0,120.0
11,35.0,8.628571428571428,21.972021934705047,0.0,0.0,0.0,7.0,127.0
12,42.0,15.19047619047619,22.253789039104785,0.0,0.0,7.0,21.0,127.0
13,60.0,7.6,17.229458415403997,0.0,0.0,3.5,7.0,127.0
14,54.0,13.37037037037037,22.04651711362522,0.0,0.0,7.0,14.0,141.0
15,36.0,8.38888888888889,22.535404244087665,0.0,0.0,0.0,7.0,134.0
16,51.0,11.686274509803921,20.03845322980637,0.0,0.0,7.0,14.0,120.0
17,51.0,13.607843137254902,21.179309177943033,0.0,0.0,7.0,17.5,134.0
18,52.0,12.673076923076923,25.627590182890824,0.0,0.0,7.0,14.0,148.0
19,54.0,11.685185185185185,19.102330267880212,0.0,0.0,7.0,14.0,127.0
20,56.0,12.392857142857142,19.76192718926386,0.0,0.0,7.0,14.0,120.0
21,52.0,10.51923076923077,19.99263627636522,0.0,0.0,7.0,14.0,134.0
22,33.0,14.878787878787879,32.45935687109109,0.0,0.0,0.0,14.0,127.0
23,50.0,12.76,23.976655313033135,0.0,0.0,7.0,14.0,148.0
24,52.0,13.346153846153847,20.507181540157227,0.0,7.0,7.0,21.0,141.0
25,36.0,9.75,21.914607000811127,0.0,0.0,0.0,7.0,120.0
26,53.0,11.11320754716981,20.365563295915535,0.0,0.0,7.0,14.0,141.0
27,51.0,13.745098039215685,21.5256527308743,0.0,0.0,7.0,17.5,134.0
28,56.0,10.767857142857142,19.08068139761792,0.0,0.0,7.0,14.0,127.0
29,54.0,12.074074074074074,25.822216448903685,0.0,0.0,7.0,14.0,133.0
30,43.0,9.627906976744185,22.11982869973062,0.0,0.0,0.0,14.0,141.0
31,24.0,8.5,25.813713915028895,0.0,0.0,0.0,7.0,127.0
32,54.0,11.296296296296296,19.32212499508391,0.0,0.0,7.0,14.0,134.0
33,22.0,11.5,27.303845882952093,0.0,0.0,0.0,7.0,120.0
34,54.0,12.333333333333334,22.158945550827283,0.0,0.0,7.0,14.0,141.0
35,21.0,10.380952380952381,28.519249973441077,0.0,0.0,0.0,7.0,127.0
36,41.0,13.341463414634147,24.484290633074874,0.0,0.0,7.0,14.0,155.0
37,53.0,9.528301886792454,23.305334296601334,0.0,0.0,0.0,7.0,162.0
38,51.0,10.03921568627451,23.273126806953748,0.0,0.0,7.0,14.0,162.0
39,51.0,9.627450980392156,23.12830368558293,0.0,0.0,0.0,7.0,155.0
40,45.0,12.777777777777779,24.98080070855224,0.0,0.0,7.0,14.0,155.0
41,53.0,11.11320754716981,25.1186877852377,0.0,0.0,7.0,14.0,176.0
42,35.0,10.82857142857143,25.530242406035324,0.0,0.0,7.0,7.0,148.0
43,53.0,16.528301886792452,27.389360492987127,0.0,0.0,7.0,21.0,162.0
44,54.0,14.018518518518519,25.662167102669073,0.0,0.0,7.0,14.0,169.0
45,56.0,10.392857142857142,23.42933559095875,0.0,0.0,7.0,14.0,162.0
46,23.0,8.869565217391305,29.08499198716205,0.0,0.0,0.0,7.0,141.0
47,35.0,8.82857142857143,26.153939883477815,0.0,0.0,0.0,7.0,155.0
48,42.0,14.023809523809524,24.129213237795987,0.0,0.0,7.0,14.0,141.0
49,58.0,9.672413793103448,23.083667751863064,0.0,0.0,0.0,12.25,162.0
50,53.0,13.622641509433961,25.297633223967765,0.0,0.0,7.0,14.0,169.0
51,36.0,9.36111111111111,26.074785606874016,0.0,0.0,0.0,7.0,148.0
52,51.0,10.862745098039216,24.25862288576426,0.0,0.0,7.0,7.0,155.0
53,50.0,12.9,22.537270718269582,0.0,0.0,7.0,14.0,141.0
54,51.0,12.784313725490197,26.815901048064894,0.0,0.0,7.0,14.0,169.0
55,53.0,11.11320754716981,23.797753915797706,0.0,0.0,7.0,14.0,162.0
56,55.0,13.636363636363637,24.29705334699666,0.0,0.0,7.0,14.0,155.0
57,52.0,10.384615384615385,23.38438715455824,0.0,0.0,7.0,14.0,162.0
58,33.0,12.969696969696969,28.75596117382104,0.0,0.0,0.0,14.0,155.0
59,50.0,17.8,32.266745375740285,0.0,0.0,7.0,19.25,183.0
60,49.0,14.306122448979592,27.48878868559618,0.0,0.0,7.0,21.0,169.0
61,36.0,14.222222222222221,28.554820569875375,0.0,0.0,0.0,14.0,148.0
62,52.0,12.134615384615385,23.821253359424148,0.0,0.0,7.0,14.0,169.0
63,49.0,13.020408163265307,22.216256994145798,0.0,0.0,7.0,21.0,148.0
64,54.0,12.203703703703704,23.52227337045307,0.0,0.0,7.0,14.0,162.0
65,52.0,15.096153846153847,36.207062259538034,0.0,0.0,0.0,14.0,161.0
66,42.0,10.023809523809524,26.07165369893096,0.0,0.0,7.0,7.0,169.0
67,24.0,11.125,31.43013300750675,0.0,0.0,0.0,7.0,155.0
68,53.0,11.245283018867925,23.273380023254497,0.0,0.0,7.0,14.0,162.0
69,22.0,13.090909090909092,32.90666322872139,0.0,0.0,0.0,7.0,148.0
70,52.0,11.865384615384615,27.41620305668254,0.0,0.0,7.0,14.0,190.0
71,21.0,10.047619047619047,32.1830330927279,0.0,0.0,0.0,7.0,148.0
72,41.0,13.341463414634147,26.469425528425777,0.0,0.0,7.0,14.0,169.0
73,51.0,12.098039215686274,28.81753278957849,0.0,0.0,7.0,14.0,190.0
74,51.0,11.27450980392157,28.34295569016933,0.0,0.0,7.0,14.0,197.0
75,50.0,9.54,24.248888045198512,0.0,0.0,0.0,14.0,169.0
76,45.0,16.666666666666668,38.018536148950965,0.0,0.0,7.0,21.0,246.0
77,53.0,11.50943396226415,29.735127272372807,0.0,0.0,7.0,14.0,211.0
78,34.0,11.352941176470589,29.759523408676866,0.0,0.0,0.0,12.25,169.0
79,53.0,16.264150943396228,30.238253245870425,0.0,0.0,7.0,14.0,183.0
80,53.0,12.30188679245283,29.087788149814283,0.0,0.0,7.0,14.0,211.0
81,55.0,13.50909090909091,30.968247015811585,0.0,0.0,7.0,10.5,190.0
82,23.0,13.73913043478261,39.311364758928,0.0,0.0,0.0,10.5,183.0
83,35.0,11.028571428571428,29.388358753970948,0.0,0.0,7.0,14.0,176.0
84,40.0,17.0,31.78775768218857,0.0,0.0,7.0,21.0,176.0
85,54.0,11.166666666666666,29.466802555251714,0.0,0.0,3.5,14.0,211.0
86,51.0,15.117647058823529,34.74515624303539,0.0,0.0,7.0,14.0,190.0
87,36.0,9.75,29.77666871898198,0.0,0.0,0.0,7.0,176.0
88,51.0,13.745098039215685,26.83493479571352,0.0,0.0,7.0,14.0,183.0
89,49.0,14.591836734693878,34.66862075863593,0.0,0.0,0.0,7.0,204.0
90,50.0,15.42,34.73931490401042,0.0,0.0,7.0,14.0,183.0
91,51.0,14.431372549019608,25.61269599394861,0.0,0.0,7.0,21.0,176.0
92,54.0,13.75925925925926,33.068787760806295,0.0,0.0,7.0,14.0,232.0
93,51.0,13.882352941176471,27.82707103438918,0.0,0.0,7.0,17.5,190.0
94,33.0,13.818181818181818,34.86532531170345,0.0,0.0,0.0,7.0,183.0
95,50.0,15.42,34.37553116472737,0.0,0.0,7.0,14.0,204.0
96,49.0,14.16326530612245,25.711011696333145,0.0,0.0,7.0,14.0,176.0
97,34.0,22.058823529411764,49.46253015650399,0.0,0.0,0.0,14.0,204.0
98,51.0,11.137254901960784,27.28444216607196,0.0,0.0,7.0,14.0,190.0
99,48.0,15.479166666666666,27.182589533722968,0.0,0.0,14.0,21.0,183.0
