id,count,mean,std,min,25%,50%,75%,max
0,49.0,20.163265306122447,21.27336650483368,7.0,7.0,14.0,28.0,120.0
1,76.0,23.592105263157894,22.15952925587783,7.0,7.0,14.0,28.0,120.0
2,72.0,22.375,21.069594606954553,7.0,7.0,14.0,28.0,120.0
3,76.0,20.82894736842105,20.190683104108345,7.0,7.0,14.0,21.0,120.0
4,56.0,20.767857142857142,21.932948291992595,7.0,7.0,14.0,21.0,120.0
5,80.0,21.975,18.990987202794614,7.0,7.0,14.0,29.75,120.0
6,30.0,19.4,22.267341169493513,7.0,7.0,7.0,26.25,120.0
7,86.0,17.593023255813954,21.630793902907055,7.0,7.0,7.0,21.0,120.0
8,68.0,21.735294117647058,22.041086225541516,7.0,7.0,14.0,28.0,120.0
9,72.0,18.09722222222222,18.900897752150442,7.0,7.0,14.0,21.0,120.0
10,11.0,19.818181818181817,34.271907393135216,7.0,7.0,7.0,7.0,120.0
11,31.0,12.67741935483871,20.496157520820326,7.0,7.0,7.0,7.0,120.0
12,45.0,16.2,20.34989390189005,7.0,7.0,7.0,14.0,120.0
13,67.0,12.656716417910447,17.034325629762602,7.0,7.0,7.0,10.5,120.0
14,77.0,14.558441558441558,16.530270086064842,7.0,7.0,7.0,14.0,120.0
15,35.0,18.428571428571427,21.817809393307318,7.0,7.0,7.0,24.5,120.0
16,76.0,23.407894736842106,22.6180916563586,7.0,7.0,14.0,28.0,120.0
17,72.0,27.430555555555557,34.76513811069971,7.0,7.0,14.0,35.0,231.0
18,82.0,16.23170731707317,17.25144386906789,7.0,7.0,7.0,14.0,120.0
19,83.0,16.710843373493976,20.036874616616196,7.0,7.0,7.0,14.0,120.0
20,65.0,16.49230769230769,21.0194278265096,7.0,7.0,7.0,14.0,120.0
21,81.0,23.604938271604937,28.20491048219515,7.0,7.0,14.0,28.0,189.0
22,45.0,14.644444444444444,20.020620682817317,7.0,7.0,7.0,14.0,120.0
23,80.0,21.5375,27.07137483474081,7.0,7.0,14.0,21.0,161.0
24,76.0,18.157894736842106,18.118905508945765,7.0,7.0,14.0,28.0,120.0
25,40.0,12.275,18.48212927571124,7.0,7.0,7.0,7.0,120.0
26,79.0,23.31645569620253,22.465097889265788,7.0,7.0,14.0,28.0,120.0
27,74.0,21.675675675675677,22.17125629506799,7.0,7.0,14.0,28.0,120.0
28,81.0,18.85185185185185,19.97442809638809,7.0,7.0,7.0,21.0,120.0
29,74.0,16.756756756756758,16.826927873680614,7.0,7.0,7.0,21.0,120.0
30,51.0,18.823529411764707,21.893109310788123,7.0,7.0,7.0,14.0,120.0
31,16.0,26.3125,38.118619684698274,7.0,7.0,7.0,19.25,120.0
32,75.0,21.946666666666665,22.38356861950623,7.0,7.0,14.0,28.0,120.0
33,16.0,15.375,28.156408388381735,7.0,7.0,7.0,7.0,120.0
34,77.0,18.92207792207792,22.081050600581197,7.0,7.0,7.0,21.0,120.0
35,20.0,17.2,26.830069541075506,7.0,7.0,7.0,7.0,120.0
36,58.0,18.482758620689655,21.864207215647767,7.0,7.0,7.0,26.25,134.0
37,80.0,22.675,21.405532823152008,7.0,7.0,14.0,28.0,127.0
38,73.0,21.397260273972602,23.454885611665567,7.0,7.0,14.0,28.0,134.0
39,85.0,20.6,24.387838499273908,7.0,7.0,14.0,21.0,141.0
40,61.0,22.9672131147541,27.010471557721676,7.0,7.0,14.0,28.0,148.0
41,78.0,23.166666666666668,21.178534015136716,7.0,7.0,14.0,28.0,127.0
42,38.0,16.42105263157895,21.75369689482111,7.0,7.0,7.0,21.0,134.0
43,78.0,20.115384615384617,22.188086641510772,7.0,7.0,10.5,26.25,141.0
44,81.0,21.185185185185187,22.835887934954002,7.0,7.0,14.0,28.0,155.0
