id,count,mean,std,min,25%,50%,75%,max
0,76.0,10.223684210526315,19.00568243742594,0.0,0.0,7.0,14.0,147.0
1,91.0,10.846153846153847,19.191967693064303,0.0,0.0,7.0,14.0,161.0
2,91.0,13.076923076923077,20.347115967751503,0.0,0.0,7.0,14.0,154.0
3,89.0,12.584269662921349,19.348954040772078,0.0,0.0,7.0,14.0,147.0
4,88.0,12.329545454545455,20.497671070910556,0.0,0.0,7.0,14.0,161.0
5,92.0,10.728260869565217,21.30423435230172,0.0,0.0,7.0,8.75,154.0
6,70.0,6.2,17.618007915157452,0.0,0.0,0.0,7.0,140.0
7,95.0,12.6,21.602009362803226,0.0,0.0,7.0,14.0,147.0
8,98.0,12.285714285714286,19.152131048824312,0.0,0.0,7.0,14.0,154.0
9,109.0,10.660550458715596,18.13898001516309,0.0,0.0,7.0,14.0,161.0
10,50.0,5.18,20.189601283829255,0.0,0.0,0.0,5.25,140.0
11,71.0,9.169014084507042,19.960665545369086,0.0,0.0,0.0,7.0,147.0
12,74.0,17.5,24.172468206165505,0.0,0.0,7.0,26.25,140.0
13,118.0,7.533898305084746,16.6043358581039,0.0,0.0,7.0,7.0,154.0
14,93.0,16.032258064516128,24.718173042144002,0.0,0.0,7.0,21.0,161.0
15,68.0,6.588235294117647,19.270451662768412,0.0,0.0,0.0,7.0,147.0
16,89.0,12.191011235955056,19.330190943711003,0.0,0.0,7.0,14.0,140.0
17,77.0,16.545454545454547,29.631306992216622,0.0,0.0,7.0,21.0,203.0
18,99.0,11.666666666666666,24.71841418861655,0.0,0.0,7.0,14.0,161.0
19,95.0,11.715789473684211,18.220670491139906,0.0,0.0,7.0,14.0,140.0
20,93.0,18.741935483870968,27.504111639584885,0.0,0.0,7.0,21.0,147.0
21,77.0,14.818181818181818,29.017112588376314,0.0,0.0,7.0,14.0,168.0
22,69.0,8.521739130434783,20.823211522419324,0.0,0.0,0.0,7.0,140.0
23,76.0,20.07894736842105,44.62966521881897,0.0,0.0,7.0,14.0,245.0
24,92.0,13.16304347826087,21.13654050410344,0.0,0.0,7.0,15.75,154.0
25,72.0,8.652777777777779,19.429293784489605,0.0,0.0,0.0,7.0,147.0
26,78.0,16.333333333333332,25.44393718342229,0.0,0.0,7.0,21.0,140.0
27,91.0,12.846153846153847,20.079244716275273,0.0,0.0,7.0,14.0,147.0
28,99.0,11.171717171717171,17.969952474038205,0.0,0.0,7.0,17.5,154.0
29,98.0,10.642857142857142,23.01377892955776,0.0,0.0,7.0,14.0,161.0
30,77.0,11.181818181818182,20.946502831290097,0.0,0.0,7.0,14.0,161.0
31,48.0,10.5,22.73997324050148,0.0,0.0,0.0,14.0,140.0
32,93.0,10.311827956989248,17.47232500806549,0.0,0.0,7.0,14.0,154.0
33,46.0,8.521739130434783,23.653742133290717,0.0,0.0,0.0,7.0,147.0
34,96.0,12.395833333333334,21.316402958466494,0.0,0.0,7.0,14.0,175.0
35,42.0,7.333333333333333,21.861723613420637,0.0,0.0,0.0,7.0,140.0
36,75.0,12.32,19.89374477269378,0.0,0.0,7.0,21.0,154.0
37,91.0,11.615384615384615,21.84428185069607,0.0,0.0,7.0,14.0,189.0
38,91.0,11.923076923076923,21.575310359158614,0.0,0.0,7.0,14.0,182.0
39,89.0,12.348314606741573,21.90895475059306,0.0,0.0,7.0,14.0,168.0
40,86.0,13.023255813953488,26.47972664875174,0.0,0.0,7.0,14.0,203.0
41,91.0,9.307692307692308,19.607080528156324,0.0,0.0,7.0,14.0,175.0
42,68.0,7.823529411764706,21.4830312603564,0.0,0.0,0.0,7.0,168.0
43,93.0,16.559139784946236,27.008236411039423,0.0,0.0,7.0,28.0,182.0
44,97.0,11.11340206185567,21.758081012513006,0.0,0.0,7.0,14.0,189.0
45,107.0,11.186915887850468,24.774123308031257,0.0,0.0,7.0,14.0,182.0
46,50.0,4.76,24.837069070242567,0.0,0.0,0.0,0.0,175.0
47,71.0,7.985915492957746,21.536343341130177,0.0,0.0,0.0,7.0,168.0
48,73.0,19.65753424657534,33.9469435615189,0.0,0.0,7.0,21.0,182.0
49,115.0,6.6347826086956525,17.44079228985715,0.0,0.0,0.0,7.0,175.0
50,93.0,17.387096774193548,32.68028000587315,0.0,0.0,7.0,14.0,203.0
51,68.0,7.617647058823529,22.09411984430402,0.0,0.0,0.0,7.0,168.0
52,89.0,12.191011235955056,22.769036193766617,0.0,0.0,7.0,14.0,182.0
53,77.0,14.818181818181818,31.69331959856893,0.0,0.0,7.0,14.0,189.0
54,99.0,11.454545454545455,27.22966296990371,0.0,0.0,7.0,14.0,189.0
55,95.0,12.74736842105263,21.68339320478832,0.0,0.0,7.0,14.0,168.0
56,91.0,15.538461538461538,26.49750834923821,0.0,0.0,7.0,21.0,175.0
57,76.0,15.56578947368421,30.2563868855556,0.0,0.0,7.0,14.0,203.0
58,69.0,10.855072463768115,26.831322434751755,0.0,0.0,0.0,7.0,161.0
59,76.0,18.69736842105263,45.98580063072865,0.0,0.0,7.0,14.0,301.0
60,92.0,14.304347826086957,23.01635306388056,0.0,0.0,7.0,14.0,189.0
61,72.0,10.208333333333334,24.753965395808834,0.0,0.0,0.0,14.0,175.0
62,77.0,14.0,26.799941083988656,0.0,0.0,7.0,14.0,182.0
63,90.0,9.566666666666666,19.13291768983086,0.0,0.0,7.0,14.0,175.0
64,98.0,11.571428571428571,20.65075321259306,0.0,0.0,7.0,14.0,189.0
65,98.0,8.428571428571429,20.84206689791873,0.0,0.0,0.0,7.0,168.0
66,76.0,10.5,22.472798371957744,0.0,0.0,7.0,14.0,182.0
67,46.0,9.891304347826088,25.62744038102697,0.0,0.0,0.0,12.25,168.0
68,93.0,10.086021505376344,23.135074028493623,0.0,0.0,7.0,14.0,203.0
69,46.0,12.478260869565217,28.80180482804258,0.0,0.0,0.0,14.0,175.0
70,95.0,12.010526315789473,25.68238685171018,0.0,0.0,7.0,14.0,210.0
71,42.0,6.333333333333333,24.96794693169103,0.0,0.0,0.0,5.25,161.0
72,74.0,14.567567567567568,30.385685653484245,0.0,0.0,7.0,14.0,196.0
73,91.0,12.384615384615385,26.00545636368954,0.0,0.0,7.0,14.0,231.0
74,88.0,17.5,36.22566563328702,0.0,0.0,7.0,21.0,308.0
75,89.0,11.01123595505618,22.10794508666638,0.0,0.0,7.0,14.0,189.0
76,84.0,11.416666666666666,30.99755463862105,0.0,0.0,7.0,8.75,266.0
77,90.0,11.122222222222222,23.787839296098934,0.0,0.0,7.0,14.0,217.0
78,67.0,7.522388059701493,23.575384060598118,0.0,0.0,0.0,7.0,189.0
79,89.0,18.56179775280899,34.29449831843552,0.0,0.0,7.0,14.0,196.0
80,95.0,12.08421052631579,26.790623620919327,0.0,0.0,7.0,14.0,231.0
81,106.0,10.5,23.629783466351668,0.0,0.0,7.0,14.0,217.0
82,48.0,7.4375,29.253045849780527,0.0,0.0,0.0,0.0,196.0
83,71.0,10.056338028169014,27.07813420663757,0.0,0.0,0.0,7.0,203.0
84,70.0,20.8,35.772064236078755,0.0,0.0,14.0,21.0,210.0
85,113.0,8.982300884955752,21.986595876353583,0.0,0.0,7.0,7.0,210.0
86,92.0,12.478260869565217,25.010098294936945,0.0,0.0,7.0,14.0,217.0
87,68.0,7.102941176470588,24.592888005968305,0.0,0.0,0.0,7.0,196.0
88,89.0,10.853932584269662,21.627292606690357,0.0,0.0,7.0,14.0,189.0
89,77.0,16.545454545454547,35.871681197871425,0.0,0.0,7.0,14.0,259.0
90,98.0,11.0,23.9974225420105,0.0,0.0,7.0,14.0,196.0
91,94.0,10.27659574468085,22.152649423003023,0.0,0.0,7.0,14.0,203.0
92,91.0,15.76923076923077,28.967060573875944,0.0,0.0,7.0,14.0,224.0
93,76.0,14.460526315789474,34.413346554100656,0.0,0.0,7.0,14.0,231.0
94,68.0,10.602941176470589,25.98112960781306,0.0,0.0,0.0,7.0,182.0
95,76.0,12.157894736842104,25.518648152062678,0.0,0.0,7.0,14.0,203.0
96,90.0,15.011111111111111,24.50979829037168,0.0,0.0,7.0,19.25,196.0
97,71.0,11.633802816901408,27.315217860389897,0.0,0.0,0.0,14.0,210.0
98,77.0,14.636363636363637,34.81866902853497,0.0,0.0,7.0,14.0,217.0
99,90.0,11.2,22.57432169523594,0.0,0.0,7.0,14.0,196.0
100,97.0,11.835051546391753,24.797379066971278,0.0,0.0,7.0,14.0,231.0
101,98.0,10.928571428571429,24.66319516762353,0.0,0.0,7.0,14.0,203.0
102,76.0,9.947368421052632,23.572806217810733,0.0,0.0,7.0,14.0,196.0
103,46.0,12.782608695652174,32.476256655852616,0.0,0.0,0.0,7.0,189.0
104,92.0,11.108695652173912,25.591660953675767,0.0,0.0,7.0,14.0,231.0
105,46.0,16.434782608695652,36.1844977082194,0.0,0.0,0.0,14.0,210.0
106,89.0,16.359550561797754,30.051564469565257,0.0,0.0,7.0,14.0,224.0
107,42.0,8.833333333333334,30.612381256263976,0.0,0.0,0.0,7.0,196.0
108,73.0,14.287671232876713,33.43753689595256,0.0,0.0,7.0,14.0,266.0
109,89.0,13.92134831460674,32.82433434868278,0.0,0.0,7.0,14.0,294.0
110,87.0,14.885057471264368,46.233589241206076,0.0,0.0,7.0,14.0,385.0
111,88.0,12.488636363636363,24.444163122569776,0.0,0.0,7.0,14.0,203.0
112,83.0,13.91566265060241,50.34132395985577,0.0,0.0,7.0,14.0,455.0
113,90.0,11.666666666666666,27.039712783528792,0.0,0.0,7.0,14.0,245.0
114,67.0,8.149253731343284,27.962774893377002,0.0,0.0,0.0,7.0,224.0
115,89.0,19.1123595505618,39.184713566948524,0.0,0.0,7.0,21.0,210.0
116,94.0,13.553191489361701,28.127825362038674,0.0,0.0,7.0,14.0,252.0
117,106.0,12.481132075471699,27.393510226251095,0.0,0.0,7.0,14.0,238.0
118,47.0,8.936170212765957,31.021314029942555,0.0,0.0,0.0,7.0,210.0
119,67.0,14.73134328358209,34.49004339838956,0.0,0.0,7.0,14.0,224.0
120,70.0,16.9,36.68398141905569,0.0,0.0,7.0,21.0,224.0
121,113.0,8.734513274336283,28.101861179820663,0.0,0.0,0.0,7.0,280.0
122,92.0,13.619565217391305,29.559715084094485,0.0,0.0,7.0,14.0,231.0
123,68.0,9.367647058823529,39.088840416764796,0.0,0.0,0.0,7.0,322.0
124,88.0,14.715909090909092,28.3605476592373,0.0,0.0,7.0,14.0,224.0
125,77.0,20.272727272727273,54.643253631753254,0.0,0.0,7.0,14.0,350.0
