id,count,mean,std,min,25%,50%,75%,max
0,6.0,44.333333333333336,48.83304891839815,7.0,21.0,24.5,43.75,140.0
1,8.0,40.25,45.0166635813895,7.0,17.5,21.0,43.75,140.0
2,7.0,44.0,44.219151205482596,14.0,17.5,35.0,42.0,140.0
3,6.0,46.666666666666664,49.03332200317114,7.0,15.75,35.0,49.0,140.0
4,7.0,48.0,51.980765673468106,7.0,10.5,21.0,73.5,140.0
5,8.0,37.625,46.42332387927431,7.0,12.25,14.0,43.75,140.0
6,4.0,49.0,61.29165250396392,7.0,17.5,24.5,56.0,140.0
7,10.0,27.3,40.60938588826753,7.0,7.0,14.0,21.0,140.0
8,5.0,60.2,58.27263508714875,7.0,7.0,49.0,98.0,140.0
9,10.0,29.4,40.65628282729907,7.0,7.0,14.0,33.25,140.0
10,4.0,45.5,63.773035054010094,7.0,7.0,17.5,56.0,140.0
11,5.0,33.6,59.4794082014944,7.0,7.0,7.0,7.0,140.0
12,5.0,44.8,55.25124432987913,7.0,7.0,28.0,42.0,140.0
13,7.0,35.0,46.783187863447985,7.0,14.0,21.0,24.5,140.0
14,7.0,46.0,49.47389884238624,7.0,10.5,28.0,63.0,140.0
15,6.0,35.0,52.1957852704603,7.0,7.0,14.0,26.25,140.0
16,6.0,52.5,48.64874099090335,7.0,19.25,42.0,64.75,140.0
17,8.0,53.375,45.816208922170766,14.0,19.25,35.0,77.0,140.0
18,6.0,43.166666666666664,49.97365972856768,7.0,10.5,31.5,42.0,140.0
19,9.0,31.11111111111111,42.73887119603314,7.0,7.0,14.0,28.0,140.0
20,9.0,32.666666666666664,42.57933771208754,7.0,7.0,14.0,28.0,140.0
21,8.0,42.875,40.02655368627182,14.0,26.25,35.0,35.0,140.0
22,1.0,140.0,,140.0,140.0,140.0,140.0,140.0
23,6.0,37.333333333333336,51.3757400595521,7.0,8.75,17.5,31.5,140.0
24,9.0,42.0,39.287402561126385,7.0,21.0,28.0,42.0,140.0
25,8.0,28.875,45.892537519731896,7.0,7.0,7.0,28.0,140.0
26,8.0,37.625,44.733935664101814,7.0,7.0,24.5,40.25,140.0
27,8.0,49.875,40.201057200028956,7.0,26.25,49.0,50.75,140.0
28,10.0,32.2,39.89931773295824,7.0,8.75,21.0,33.25,140.0
29,9.0,38.888888888888886,42.73887119603314,7.0,7.0,28.0,56.0,140.0
30,5.0,37.8,57.42560404558231,7.0,7.0,14.0,21.0,140.0
